artifact_type,task,model,fold,seed,path,sha256,status
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/code/run_peeh_bridge.py,215cc8b393cc08f21f2536d9049527156e69230a08e5261a24abd8eb2c68dcc4,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/outputs/p3_temporal_bridge/RUN_LEVEL_PEEH.csv,f7a0a6433ba9ddb6d7bab41201966fef93c19c9bd104caccd1b70ed7bb10c85b,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/outputs/p3_temporal_bridge/PROTECTED_BLOCK_SELECTION.csv,220be590a5f72aa56b918827acd651d1cfe64158ead57332dd17c4c4aa506c2f,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/outputs/p3_temporal_bridge/TASK_LEVEL_PEEH.csv,8b0f182a4b05ce0cfe4859bd2b615526fe0ec818d834570c8124a94f4bf8e9dd,REUSED_EXACT
global_peeh_artifact,ALL,ALL,,,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/protocol/p3_temporal_bridge/PROTOCOL_LOCK.json,2272ef4dbdf109f27c55513e6e9b06c542cc360573cc9ecf3dc520fab9dce598,REUSED_EXACT
frozen_64d_embeddings,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/litebn_ablation_v2_peeh_runtime/embeddings/OpenBMI_MI/OFFICIAL_FINAL_LITEBN_REFERENCE/fold0_seed0.npz,1138add14ab2ff8a2126d467590dc674c490ef24cf4ce623099fc9ef16563ce7,REUSED_EXACT
corrected_peeh_run,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/litebn_ablation_v2_peeh_runtime/run_results/OpenBMI_MI/OFFICIAL_FINAL_LITEBN_REFERENCE/fold0_seed0.json,d742fdde59a65ceca8a6851363c3dd4c26a9d8ccc038a3cd92a7c7a61967ff43,REUSED_EXACT
protected_union,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/litebn_ablation_v2_peeh_runtime/run_results/OpenBMI_MI/OFFICIAL_FINAL_LITEBN_REFERENCE/fold0_seed0.json#protected_coordinates,2587b2760d17a77b71c7f4eed2e33d5e90d666b11366c088f57685dc0d69dcc8,REUSED_EXACT
frozen_checkpoint,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,VERIFIED_EXACT
frozen_train_only_normalizer,OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,VERIFIED_EXACT
