task,model,fold,seed,protected_rank,active_rank,status,protected_coordinates,random_sets_sha256,basis_sha256,recovery_status,subject_id,session,BA,trials
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,4,S1,0.71,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,4,S2,0.77,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,12,S1,0.73,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,12,S2,0.61,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,13,S1,0.6699999999999999,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,13,S2,0.71,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,17,S1,0.6499999999999999,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,17,S2,0.65,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,18,S1,0.64,100
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,8,20,VALID,"[3, 4, 5, 6, 7, 8, 9, 10]",b5b2578c3a83bcc603d9cdfd2ae25736fed1443973041491d581ac133ea55d47,beec27e573506449fd0786b5b664b0b033b779e57fbd73cafe45bb7381a269f0,PASS,18,S2,0.6000000000000001,100
