task,biological_subjects,Full_PSWA_mean_pp,SameScale_PSWA_mean_pp,Full_minus_SameScale_PSWA_mean_pp,delta_CI95_low_pp,delta_CI95_high_pp,bootstrap_draws
OpenBMI_MI,14,8.858285714285712,8.38642857142857,0.47185714285714064,-0.841435714285716,1.7704285714285664,20000
OpenBMI_ERP,14,7.487592606302129,9.480972786865449,-1.9933801805633202,-3.2053097260178647,-0.7777914359745787,20000
OpenBMI_SSVEP,14,14.059714285714284,14.520571428571428,-0.46085714285714197,-1.6378607142857122,0.6985750000000005,20000
WBCIC_MI,10,15.715700000000002,18.8324,-3.1167000000000007,-5.001800000000005,-1.119082499999999,20000
