dataset,table_role,method_id,mean_subject_BA,Delta_BA_vs_B_STRONG,accuracy,macro_f1,NLL,Brier,ECE,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,switch_rate,rescue_precision,harm_rate,CI95_L,CI95_U,prospective,OUTER_TEST_USED
OpenBMI,Single model,B0_TARGET_KEEP_historical_pooled,0.8233173076923076,-0.02312499999999995,0.8233173076923076,0.8213913190201908,0.3871040495524437,0.12265613803108705,0.03254354883232071,,,,,,,,,True,False
OpenBMI,Static strong ensemble,A0_STATIC_B_STRONG,0.8464423076923075,0.0,0.8464423076923077,0.8448742470033863,0.3653566490828355,0.1139011059629209,0.0566225026715906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
OpenBMI,Dynamic KEEP-only / best final,A1_DYNAMIC_KEEP_FINAL,0.8509615384615383,0.0045192307692307,0.8509615384615384,0.8494798153192711,0.3529391127498543,0.1093313752461143,0.0172762266740616,0.5,0.8269230769230769,-0.0149999999999999,0.0127884615384615,0.6766917293233082,0.3233082706766917,0.0020192307692307,0.0072115384615384,True,False
OpenBMI,KEEP+ACTION without PERSIST,A2_KEEP_ACTION_NO_PERSIST,0.8464423076923077,-6.405132834375904e-18,0.8464423076923077,0.8450636661910493,0.3523482924113308,0.1096854422011908,0.0160021404970386,0.4038461538461538,0.6538461538461539,-0.04,0.0246153846153846,0.5,0.5,-0.0038461538461538,0.0037499999999999,True,False
OpenBMI,KEEP+ACTION+PERSIST,A3_KEEP_ACTION_PERSIST,0.845576923076923,-0.0008653846153846,0.8455769230769231,0.8441038792628925,0.353638427132902,0.1102040506186146,0.0147683317999473,0.3846153846153846,0.6346153846153846,-0.0449999999999999,0.0235576923076923,0.4816326530612245,0.5183673469387755,-0.0047115384615384,0.0026923076923076,True,False
OpenBMI,Best generic stacking control,M1_DYNAMIC_KEEP_LINEAR,0.848846153846154,0.0024038461538461,0.8488461538461538,0.8472300871885341,0.3504930920012434,0.1088987762040372,0.0114793675772648,0.4615384615384615,0.6153846153846154,-0.0200000000000001,0.0277884615384615,0.5432525951557093,0.4567474048442906,-0.0005769230769231,0.0056730769230769,True,False
OpenBMI,Oracle KEEP-only,ORACLE_KEEP_ONLY,0.9230769230769231,0.07663461538461558,,,,,,,,,,,,,,False,False
OpenBMI,Oracle KEEP+ACTION,ORACLE_KEEP_ACTION,0.9534615384615386,0.10701923076923103,,,,,,,,,,,,,,False,False
WBCIC-development,Single model,W0_EEGNET_STABLE,0.794354982754373,-0.009270756343927,0.7942647956070775,0.7937448928378986,0.4090973755842003,0.1351852408622129,0.0341202127074645,0.3170731707317073,0.3414634146341463,-0.06,0.1086028065893837,0.4573033707865168,0.5426966292134832,-0.0169590724316334,-0.0009780734170978,True,False
WBCIC-development,Static strong ensemble,W0_B_STRONG_PROBABILITY_MEAN,0.8036257390983,0.0,0.8035387431360586,0.8016119993866655,0.4383766031983004,0.1391006196531917,0.0892147889764046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
WBCIC-development,Direct transferred Dynamic KEEP,W1_MASKED_POOL_SHRUNK_THR,0.8019273527962552,-0.0016983863020448,0.80183038438072,0.8000844022382595,0.3811534814179312,0.126910227048179,0.0175564737663717,0.3658536585365853,0.5365853658536586,-0.065,0.0302623550945698,0.4717741935483871,0.5282258064516129,-0.0073170731707316,0.0034146341463414,True,False
WBCIC-development,Best generic stacking / development candidate,W1_RAW_LINEAR,0.8067887718649914,0.0031630327666913,0.8067114093959732,0.8032346743953254,0.381460902040139,0.126281300910772,0.0179189214373334,0.4390243902439024,0.6585365853658537,-0.0349999999999999,0.0549115314215985,0.5288888888888889,0.4711111111111111,-0.0018369672333086,0.0081733955407735,True,False
WBCIC-development,Oracle KEEP-only,WBCIC_ORACLE_KEEP_ONLY,0.9713414634146342,0.1677157243163342,0.9713239780353874,0.9713238687247041,,,,,,,,,,,,False,False
WBCIC-development,KEEP+ACTION / PERSIST,NOT_AVAILABLE_NO_LEGAL_ACTION_EXPERT,,,,,,,,,,,,,,,,False,False
