task,dataset,folds,LiteBN_BA,XS_BA,BPXS_BA,mean_delta_vs_LiteBN_pp,mean_delta_vs_XS_pp,positive_folds_vs_LiteBN,positive_folds_vs_XS,zero_folds_vs_LiteBN,negative_folds_vs_LiteBN,mean_gate_on_minus_off_BA,mean_lambda_channel,mean_abs_channel_residual
OpenBMI_ERP,OpenBMI,5,0.8375555555555557,0.8320101010101011,0.829949494949495,-0.7606060606060727,-0.20606060606061183,0,1,0,5,0.0053434343434342725,-0.20827621221542358,0.09664051126989517
WBCIC_MI,WBCIC,5,0.7956757575757575,0.7981689895920874,0.7948217171717171,-0.08540404040403571,-0.33472724203702287,3,1,0,2,0.0015916666666667245,0.09012526199221611,0.04418344467405289
