task,fold,gate_on_val_BA,gate_off_val_BA,BA_on_minus_off,lambda_channel,mean_abs_channel_residual,rms_channel_residual
OpenBMI_ERP,0,0.867070707070707,0.8576262626262626,0.009444444444444366,-0.3088674545288086,0.09545542083171583,0.0
OpenBMI_ERP,1,0.8249999999999998,0.8221212121212121,0.002878787878787703,-0.3290608823299408,0.11250053074048913,0.0
OpenBMI_ERP,2,0.7980808080808082,0.7897474747474748,0.008333333333333415,0.21829161047935486,0.1291203658773292,0.0
OpenBMI_ERP,3,0.8439393939393939,0.8394444444444445,0.00449494949494933,-0.309650719165802,0.07533990137325311,0.0
OpenBMI_ERP,4,0.8156565656565656,0.8140909090909091,0.001565656565656548,-0.3120936155319214,0.07078633752668867,0.0
WBCIC_MI,0,0.6926060606060606,0.6926060606060606,0.0,0.08261800557374954,0.004733848571777344,0.0
WBCIC_MI,1,0.8945025252525254,0.8935441919191918,0.0009583333333336164,0.264009565114975,0.0758298843625992,0.0
WBCIC_MI,2,0.876,0.8699999999999999,0.006000000000000116,-0.21937209367752075,0.07139320979042658,0.0
WBCIC_MI,3,0.741,0.742,-0.0010000000000000009,0.04970582202076912,0.006328522212921627,0.0
WBCIC_MI,4,0.7699999999999999,0.768,0.0019999999999998908,0.27366501092910767,0.06263175843253968,0.0
