task,dataset,fold,LiteBN_BA,LiteBN_macro_F1,XS_BA,XS_macro_F1,BPXS_BA,BPXS_macro_F1,BPXS_accuracy,delta_BA_vs_LiteBN,delta_BA_vs_LiteBN_pp,delta_BA_vs_XS,delta_BA_vs_XS_pp,selected_epoch,gate_on_val_BA,gate_off_val_BA,BA_on_minus_off,lambda_channel,mean_abs_channel_residual,rms_channel_residual,selected_checkpoint
OpenBMI_ERP,OpenBMI,0,0.8798484848484848,0.8354509330253693,0.8703030303030304,0.8344576563333945,0.867070707070707,0.8395490680205251,0.9047138047138047,-0.012777777777777777,-1.2777777777777777,-0.003232323232323364,-0.3232323232323364,17,0.867070707070707,0.8576262626262626,0.009444444444444366,-0.3088674545288086,0.09545542083171583,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/openbmi_erp/fold0_bpxs/selected_best.pt
OpenBMI_ERP,OpenBMI,1,0.8354545454545456,0.7891531584586357,0.8295454545454546,0.766032081869594,0.8249999999999998,0.7776227775056067,0.8585016835016835,-0.010454545454545716,-1.0454545454545716,-0.004545454545454741,-0.4545454545454741,10,0.8249999999999998,0.8221212121212121,0.002878787878787703,-0.3290608823299408,0.11250053074048913,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/openbmi_erp/fold1_bpxs/selected_best.pt
OpenBMI_ERP,OpenBMI,2,0.8008585858585859,0.7739201957667247,0.7959090909090909,0.7637118278572588,0.7980808080808082,0.759871635513704,0.8476430976430978,-0.002777777777777768,-0.2777777777777768,0.002171717171717269,0.2171717171717269,10,0.7980808080808082,0.7897474747474748,0.008333333333333415,0.21829161047935486,0.1291203658773292,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/openbmi_erp/fold2_bpxs/selected_best.pt
OpenBMI_ERP,OpenBMI,3,0.8526262626262627,0.80312901454835,0.8448484848484848,0.8153117919948214,0.8439393939393939,0.8185349319317452,0.892087542087542,-0.008686868686868854,-0.8686868686868854,-0.0009090909090909705,-0.09090909090909705,13,0.8439393939393939,0.8394444444444445,0.00449494949494933,-0.309650719165802,0.07533990137325311,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/openbmi_erp/fold3_bpxs/selected_best.pt
OpenBMI_ERP,OpenBMI,4,0.8189898989898992,0.7789262979062775,0.8194444444444444,0.7886938498239434,0.8156565656565656,0.7795428365349206,0.8638047138047139,-0.0033333333333335213,-0.33333333333335213,-0.0037878787878787845,-0.37878787878787845,13,0.8156565656565656,0.8140909090909091,0.001565656565656548,-0.3120936155319214,0.07078633752668867,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/openbmi_erp/fold4_bpxs/selected_best.pt
WBCIC_MI,WBCIC,0,0.6876994949494949,0.6691033391115113,0.7023522852155925,0.7016008105369808,0.6926060606060606,0.6804137972229789,0.6926410256410257,0.004906565656565665,0.49065656565656646,-0.009746224609531895,-0.9746224609531895,16,0.6926060606060606,0.6926060606060606,0.0,0.08261800557374954,0.004733848571777344,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/wbcic_mi/fold0_bpxs/selected_best.pt
WBCIC_MI,WBCIC,1,0.8926792929292929,0.8923931381296262,0.8914926627448445,0.8914484051623122,0.8945025252525254,0.8944310223899562,0.8945384615384615,0.0018232323232324488,0.18232323232324488,0.0030098625076808716,0.30098625076808716,22,0.8945025252525254,0.8935441919191918,0.0009583333333336164,0.264009565114975,0.0758298843625992,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/wbcic_mi/fold1_bpxs/selected_best.pt
WBCIC_MI,WBCIC,2,0.8879999999999999,0.887952455369032,0.883,0.8829905222323009,0.876,0.8758268496394157,0.876,-0.0119999999999999,-1.19999999999999,-0.007000000000000006,-0.7000000000000006,18,0.876,0.8699999999999999,0.006000000000000116,-0.21937209367752075,0.07139320979042658,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/wbcic_mi/fold2_bpxs/selected_best.pt
WBCIC_MI,WBCIC,3,0.749,0.7442326565590702,0.744,0.7431359091985439,0.741,0.7385958875718988,0.7409999999999999,-0.008000000000000007,-0.8000000000000007,-0.0030000000000000027,-0.30000000000000027,11,0.741,0.742,-0.0010000000000000009,0.04970582202076912,0.006328522212921627,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/wbcic_mi/fold3_bpxs/selected_best.pt
WBCIC_MI,WBCIC,4,0.7609999999999999,0.7567798487332543,0.77,0.7698195385181983,0.7699999999999999,0.7659663685011873,0.7699999999999999,0.009000000000000008,0.9000000000000008,-1.1102230246251565e-16,-1.1102230246251565e-14,20,0.7699999999999999,0.768,0.0019999999999998908,0.27366501092910767,0.06263175843253968,0.0,/root/rivermind-data/bpxs_first_screen_runtime/checkpoints/wbcic_mi/fold4_bpxs/selected_best.pt
