version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8237380952380953,0.8240714285714287,-0.00033333333333336325,0.0032422941962950897,3,9,7,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8223333333333332,0.8239285714285713,-0.001595238095238094,0.0046410863533964414,3,4,4,2
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8212857142857143,0.8239285714285713,-0.0026428571428571248,0.005018333734357271,2,2,4,4
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8214523809523809,0.8239285714285713,-0.0024761904761904318,0.004691382556857255,2,1,4,3
V0,V0__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8205714285714285,0.8211666666666668,-0.0005952380952381153,0.000706304617818623,1,4,1,1
V0,V0__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8239047619047619,0.824047619047619,-0.00014285714285713346,0.002531435020952717,3,9,11,1
V0,V0__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8204285714285714,0.8207380952380954,-0.0003095238095238706,0.0008702698515474984,2,4,1,1
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8237380952380953,0.8240714285714287,-0.00033333333333336325,0.0032422941962950897,3,9,7,1
V0,V0__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8215714285714286,0.8215952380952383,-2.3809523809537048e-05,0.0021274578955893754,2,5,13,2
V0,V0__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8225,0.8237619047619047,-0.0012619047619047308,0.003978114732558184,3,4,4,2
V0,V0__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8212619047619046,0.8211666666666668,9.523809523805937e-05,0.001872343166794054,1,4,8,2
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8223333333333332,0.8239285714285713,-0.001595238095238094,0.0046410863533964414,3,4,4,2
