dataset,seed,action,config_id,inner_fold,n_subjects,heldout_mean_safe_gain,heldout_harm_rate
hmc,0,official_t3a,official_t3a-06d8b003eb93,0,9,0.0,0.0
hmc,0,official_t3a,official_t3a-06d8b003eb93,1,12,0.0,0.0
hmc,0,official_t3a,official_t3a-06d8b003eb93,2,14,0.0,0.0
hmc,0,official_t3a,official_t3a-0ad43336d54d,0,9,0.0,0.0
hmc,0,official_t3a,official_t3a-0ad43336d54d,1,12,0.0,0.0
hmc,0,official_t3a,official_t3a-0ad43336d54d,2,14,0.0,0.0
hmc,0,official_t3a,official_t3a-0e621b80ffab,0,9,0.0,0.0
hmc,0,official_t3a,official_t3a-0e621b80ffab,1,12,0.0,0.0
hmc,0,official_t3a,official_t3a-0e621b80ffab,2,14,0.0,0.0
hmc,0,official_t3a,official_t3a-13d4c0513513,0,9,0.0,0.0
hmc,0,official_t3a,official_t3a-13d4c0513513,1,12,0.0,0.0
hmc,0,official_t3a,official_t3a-13d4c0513513,2,14,0.0,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,0,9,0.0041666666666667,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,1,12,0.0019097222222222,0.0833333333333333
hmc,0,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,2,14,-0.012797619047619,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,0,9,-0.0016203703703703,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,1,12,-0.0026041666666666,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,2,14,-0.0013392857142856,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-c57fb28bc115,0,9,0.0043981481481481,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-c57fb28bc115,1,12,0.0019097222222222,0.0833333333333333
hmc,0,robust_residual_adapter,robust_residual_adapter-c57fb28bc115,2,14,-0.012797619047619,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-eb848adad861,0,9,0.0043981481481481,0.0
hmc,0,robust_residual_adapter,robust_residual_adapter-eb848adad861,1,12,0.0019097222222222,0.0833333333333333
hmc,0,robust_residual_adapter,robust_residual_adapter-eb848adad861,2,14,-0.012797619047619,0.0
hmc,1,official_t3a,official_t3a-06d8b003eb93,0,13,0.0,0.0
hmc,1,official_t3a,official_t3a-06d8b003eb93,1,15,0.0,0.0
hmc,1,official_t3a,official_t3a-06d8b003eb93,2,7,0.0,0.0
hmc,1,official_t3a,official_t3a-0ad43336d54d,0,13,0.0,0.0
hmc,1,official_t3a,official_t3a-0ad43336d54d,1,15,0.0,0.0
hmc,1,official_t3a,official_t3a-0ad43336d54d,2,7,0.0,0.0
hmc,1,official_t3a,official_t3a-0e621b80ffab,0,13,0.0,0.0
hmc,1,official_t3a,official_t3a-0e621b80ffab,1,15,0.0,0.0
hmc,1,official_t3a,official_t3a-0e621b80ffab,2,7,0.0,0.0
hmc,1,official_t3a,official_t3a-13d4c0513513,0,13,0.0,0.0
hmc,1,official_t3a,official_t3a-13d4c0513513,1,15,0.0,0.0
hmc,1,official_t3a,official_t3a-13d4c0513513,2,7,0.0,0.0
hmc,1,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,0,13,-0.0155448717948717,0.1538461538461538
hmc,1,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,1,15,0.0040277777777777,0.0666666666666666
hmc,1,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,2,7,0.0029761904761904,0.2857142857142857
hmc,1,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,0,13,-0.0155448717948717,0.1538461538461538
hmc,1,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,1,15,0.0040277777777777,0.0666666666666666
hmc,1,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,2,7,0.0029761904761904,0.2857142857142857
hmc,1,robust_residual_adapter,robust_residual_adapter-81635b9b8859,0,13,-0.0155448717948717,0.1538461538461538
hmc,1,robust_residual_adapter,robust_residual_adapter-81635b9b8859,1,15,0.0040277777777777,0.0666666666666666
hmc,1,robust_residual_adapter,robust_residual_adapter-81635b9b8859,2,7,0.0029761904761904,0.2857142857142857
hmc,1,robust_residual_adapter,robust_residual_adapter-e7baf271ea28,0,13,-0.0221153846153846,0.1538461538461538
hmc,1,robust_residual_adapter,robust_residual_adapter-e7baf271ea28,1,15,0.0072222222222221,0.0
hmc,1,robust_residual_adapter,robust_residual_adapter-e7baf271ea28,2,7,0.0023809523809523,0.2857142857142857
hmc,2,official_t3a,official_t3a-06d8b003eb93,0,11,0.0,0.0
hmc,2,official_t3a,official_t3a-06d8b003eb93,1,13,0.0,0.0
hmc,2,official_t3a,official_t3a-06d8b003eb93,2,11,0.0,0.0
hmc,2,official_t3a,official_t3a-0ad43336d54d,0,11,0.0,0.0
hmc,2,official_t3a,official_t3a-0ad43336d54d,1,13,0.0,0.0
hmc,2,official_t3a,official_t3a-0ad43336d54d,2,11,0.0,0.0
hmc,2,official_t3a,official_t3a-0e621b80ffab,0,11,0.0,0.0
hmc,2,official_t3a,official_t3a-0e621b80ffab,1,13,0.0,0.0
hmc,2,official_t3a,official_t3a-0e621b80ffab,2,11,0.0,0.0
hmc,2,official_t3a,official_t3a-13d4c0513513,0,11,0.0,0.0
hmc,2,official_t3a,official_t3a-13d4c0513513,1,13,0.0,0.0
hmc,2,official_t3a,official_t3a-13d4c0513513,2,11,0.0,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,0,11,-0.0147727272727272,0.0909090909090909
hmc,2,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,1,13,0.0057692307692307,0.0769230769230769
hmc,2,robust_residual_adapter,robust_residual_adapter-0fc0ca7c17b4,2,11,-0.0005681818181818,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,0,11,-0.0147727272727273,0.0909090909090909
hmc,2,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,1,13,0.0030448717948718,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-18e58b1e3304,2,11,0.0003787878787878,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,0,11,-0.0147727272727273,0.0909090909090909
hmc,2,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,1,13,0.0028846153846154,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-49954ec03dfe,2,11,0.0005681818181817,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-81635b9b8859,0,11,-0.0147727272727273,0.0909090909090909
hmc,2,robust_residual_adapter,robust_residual_adapter-81635b9b8859,1,13,0.0030448717948718,0.0
hmc,2,robust_residual_adapter,robust_residual_adapter-81635b9b8859,2,11,0.0003787878787878,0.0
hmc,3,official_t3a,official_t3a-06d8b003eb93,0,9,0.0,0.0
hmc,3,official_t3a,official_t3a-06d8b003eb93,1,14,0.0,0.0
hmc,3,official_t3a,official_t3a-06d8b003eb93,2,12,0.0,0.0
hmc,3,official_t3a,official_t3a-0ad43336d54d,0,9,0.0,0.0
hmc,3,official_t3a,official_t3a-0ad43336d54d,1,14,0.0,0.0
hmc,3,official_t3a,official_t3a-0ad43336d54d,2,12,0.0,0.0
hmc,3,official_t3a,official_t3a-0e621b80ffab,0,9,0.0,0.0
hmc,3,official_t3a,official_t3a-0e621b80ffab,1,14,0.0,0.0
hmc,3,official_t3a,official_t3a-0e621b80ffab,2,12,0.0,0.0
hmc,3,official_t3a,official_t3a-13d4c0513513,0,9,0.0,0.0
hmc,3,official_t3a,official_t3a-13d4c0513513,1,14,0.0,0.0
hmc,3,official_t3a,official_t3a-13d4c0513513,2,12,0.0,0.0
hmc,3,robust_residual_adapter,robust_residual_adapter-346f250d78e3,0,9,0.0106481481481481,0.0
hmc,3,robust_residual_adapter,robust_residual_adapter-346f250d78e3,1,14,-0.0052083333333333,0.0
