benchmark,method_id,mean_subject_BA,source_predictions,source_predictions_sha256,subjects,information_matched,target_future_labels_used_for_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8377777777777777,D:\nips-temp\TotalP\P1\CRCICLR_V7_FUTURE_UTILITY_META\experiments\persist_eeg_final_model_v7\outputs\diagnostics\OPENBMI_CONFORMER_NORM_PREDICTIONS.csv,5740f6a4c7aedd77ab60ea0a0373f114c343721bafadf70af6df261c38969d0a,54,True,False,False
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8249672025129341,D:\nips-temp\TotalP\P1\CRCICLR_V7_FUTURE_UTILITY_META\experiments\persist_eeg_final_model_v7\outputs\diagnostics\WBCIC_CONFORMER_NORM_PREDICTIONS.csv,dffd218c3ff08689b9e49dba508870c9cade2016a124e046ee346384aa7d4429,41,True,False,False
