benchmark,scope,method_id,mean_subject_BA,selection_status,OUTER_TEST_USED
WBCIC,full pre-V8 locked reference,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8249672025129341,locked before V8,False
WBCIC,V8_SEARCH folds 0/1 exploratory,MULTISCALE_TCN_STAGED_BANK_K4__E0_GENERIC_BLEND50,0.8229166666666665,promoted search-scope matched baseline; not a full-scope estimate,False
