benchmark,scope,method_id,mean_subject_BA,selection_status,OUTER_TEST_USED
OpenBMI,full pre-V8 locked reference,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8377777777777777,locked before V8,False
OpenBMI,V8_SEARCH folds 0/1 exploratory,RAW_ENCODER_FINETUNE_BANK__TAIL_FAST_RESIDUAL50,0.8588888888888889,promoted search-scope matched baseline; not a full-scope estimate,False
