subject,method_BA,control_BA,delta_BA
14,0.615,0.615,0.0
16,0.765,0.765,0.0
17,0.74,0.745,-0.0050000000000000044
25,0.835,0.8400000000000001,-0.0050000000000001155
30,0.7050000000000001,0.7,0.0050000000000001155
49,0.73,0.73,0.0
5,0.81,0.825,-0.014999999999999902
6,0.84,0.835,0.0050000000000000044
9,0.7849999999999999,0.7849999999999999,0.0
