version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8090238095238096,0.8124523809523809,-0.0034285714285714254,0.004615855548972431,1,2,2,1
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8081666666666667,0.8124523809523809,-0.00428571428571427,0.005091008480344401,0,2,2,2
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8077380952380953,0.8124523809523809,-0.0047142857142856934,0.00567126664036548,0,1,2,3
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.807,0.8124523809523809,-0.0054523809523809195,0.005829396144578883,0,1,2,4
V1,V1__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8083333333333333,0.8099285714285716,-0.001595238095238072,0.002129056086295954,0,2,4,1
V1,V1__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8091666666666667,0.812595238095238,-0.0034285714285714032,0.004894811914003358,1,2,2,1
V1,V1__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8083333333333333,0.8099285714285716,-0.001595238095238094,0.0021290560862959967,0,2,5,1
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8090238095238096,0.8124523809523809,-0.0034285714285714254,0.004615855548972431,1,2,2,1
V1,V1__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8084761904761905,0.8099285714285716,-0.0014523809523809383,0.0022059494898857327,1,2,4,2
V1,V1__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8083095238095238,0.812595238095238,-0.00428571428571427,0.005421047417431466,0,2,2,2
V1,V1__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8084761904761905,0.8099285714285716,-0.0014523809523809606,0.002205949489885776,1,2,5,2
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8081666666666667,0.8124523809523809,-0.00428571428571427,0.005091008480344401,0,2,2,2
