benchmark,family_id,method_id,subject_id,source_fold,BA,NLL,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-37,0,0.855,0.3685906756235596,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-1,0,0.965,0.16292799779223674,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-5,0,0.845,0.3538200827348974,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-16,0,0.555,0.6712139141614607,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-28,0,0.785,0.48471485668642517,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-37,0,0.855,0.3650586545729142,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_STANDALONE,sub-1,0,0.9299999999999999,0.2995790138797219,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_STANDALONE,sub-5,0,0.79,0.4343496058079675,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_STANDALONE,sub-16,0,0.595,0.7168763247005259,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_STANDALONE,sub-28,0,0.74,0.5421305910176857,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_STANDALONE,sub-37,0,0.845,0.3667153783501721,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,sub-1,0,0.965,0.16711587259306768,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,sub-5,0,0.855,0.35163723214215237,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,sub-16,0,0.55,0.6691227784710648,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,sub-28,0,0.78,0.4868299268378482,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,sub-37,0,0.855,0.35777409228881524,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_STANDALONE,sub-1,0,0.935,0.3118933638991504,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_STANDALONE,sub-5,0,0.77,0.4437341833826652,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_STANDALONE,sub-16,0,0.5700000000000001,0.718865538666738,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_STANDALONE,sub-28,0,0.7050000000000001,0.5339888607641606,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_STANDALONE,sub-37,0,0.855,0.36739857594114056,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,sub-1,0,0.965,0.16942702373443752,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,sub-5,0,0.8300000000000001,0.35794051776197966,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,sub-16,0,0.5549999999999999,0.6680527252079205,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,sub-28,0,0.74,0.4867225497876071,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,sub-37,0,0.855,0.36055855149668853,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-11,1,0.65,0.5589467539765336,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-13,1,0.88,0.27745711679712204,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-18,1,0.635,0.6064698790974259,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-27,1,0.575,0.714517121710462,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-36,1,0.995,0.055899000058224235,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-44,1,0.825,0.3698917365341517,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_STANDALONE,sub-45,1,0.89,0.2147278624952176,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-11,1,0.7749999999999999,0.46012406810689627,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-13,1,0.91,0.30410103346121387,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-18,1,0.655,0.6207952306849628,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-27,1,0.65,0.6246077542193192,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-36,1,0.98,0.0545621318936665,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-44,1,0.86,0.32031642957906814,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,sub-45,1,0.95,0.1529350314593402,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-11,1,0.64,0.562599872518358,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-13,1,0.875,0.275444505549984,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-18,1,0.615,0.6273645741538764,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-27,1,0.5549999999999999,0.7087261562788875,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-36,1,0.985,0.057858448768848735,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-44,1,0.83,0.3716369196638968,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_STANDALONE,sub-45,1,0.905,0.21177595132422458,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-11,1,0.77,0.45835207950884593,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-13,1,0.9,0.30559381408378433,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-18,1,0.64,0.6351977932013394,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-27,1,0.645,0.6240787434365532,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-36,1,0.98,0.05584436139818114,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-44,1,0.87,0.3232969239288909,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,sub-45,1,0.9450000000000001,0.15295522759355218,False
