benchmark,family_id,candidate_id,origin_family,origin_method,origin_file,complete_expected_trials,mean_subject_BA,positive_subject_fraction,eligible,eligibility_rule,selection_scope,internal_holdout_used,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB000__LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8008333333333333,0.25,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB001__LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_STANDALONE,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_STANDALONE,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7799999999999999,0.0,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB002__LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8049999999999998,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB003__LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_STANDALONE,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_STANDALONE,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7891666666666667,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB004__LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7983333333333333,0.08333333333333333,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB005__LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_STANDALONE,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_STANDALONE,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7899999999999999,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB006__LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8016666666666666,0.25,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB007__LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_STANDALONE,WBCIC_S1S2_to_S3_authorized_development__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_STANDALONE,WBCIC_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7829166666666668,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB008__META_SGD_CONFORMER_NORM_K4__E0_BLEND50,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,WBCIC_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8079166666666667,0.4166666666666667,True,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB009__META_SGD_CONFORMER_NORM_K4__E0_STANDALONE,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E0_STANDALONE,WBCIC_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.7795833333333332,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTIBACKBONE_COMPETENCE_UNION_F01,MB010__META_SGD_CONFORMER_NORM_K4__E1_BLEND50,WBCIC_S1S2_to_S3_authorized_development__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E1_BLEND50,WBCIC_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8004166666666667,0.3333333333333333,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
