benchmark,family_id,candidate_id,origin_family,origin_method,origin_file,complete_expected_trials,mean_subject_BA,positive_subject_fraction,eligible,eligibility_rule,selection_scope,internal_holdout_used,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB000__LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_BLEND50,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8155555555555556,0.3333333333333333,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB001__LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_STANDALONE,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E0_STANDALONE,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7744444444444444,0.05555555555555555,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB002__LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_BLEND50,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8222222222222223,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB003__LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_STANDALONE,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E1_STANDALONE,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7777777777777778,0.1111111111111111,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB004__LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_BLEND50,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8199999999999998,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB005__LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_STANDALONE,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E2_STANDALONE,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7783333333333334,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB006__LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_BLEND50,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.8161111111111111,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB007__LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_STANDALONE,OpenBMI_MI_S1_to_S2__LR_COVERAGE_CONFORMER_NORM_K4_R4,LR_COVERAGE_CONFORMER_NORM_K4_R4__E3_STANDALONE,OPENBMI_LR_COVERAGE_CONFORMER_NORM_K4_R4_SEARCH_PREDICTIONS.csv,True,0.7799999999999999,0.1111111111111111,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB008__META_SGD_CONFORMER_NORM_K4__E0_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8372222222222221,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB009__META_SGD_CONFORMER_NORM_K4__E0_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E0_STANDALONE,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8077777777777778,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB010__META_SGD_CONFORMER_NORM_K4__E1_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E1_BLEND50,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8383333333333334,0.2777777777777778,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB011__META_SGD_CONFORMER_NORM_K4__E1_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E1_STANDALONE,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8088888888888889,0.1111111111111111,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB012__META_SGD_CONFORMER_NORM_K4__E2_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.838888888888889,0.3333333333333333,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB013__META_SGD_CONFORMER_NORM_K4__E2_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E2_STANDALONE,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8066666666666666,0.05555555555555555,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB014__META_SGD_CONFORMER_NORM_K4__E3_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E3_BLEND50,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.8377777777777777,0.2777777777777778,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB015__META_SGD_CONFORMER_NORM_K4__E3_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,META_SGD_CONFORMER_NORM_K4__E3_STANDALONE,OPENBMI_META_SGD_CONFORMER_NORM_K4_SEARCH_PREDICTIONS.csv,True,0.7966666666666667,0.1111111111111111,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB016__META_SGD_MI_SPECIFIC_K4__E0_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E0_BLEND50,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8438888888888889,0.3333333333333333,True,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB017__META_SGD_MI_SPECIFIC_K4__E0_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E0_STANDALONE,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8316666666666666,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB018__META_SGD_MI_SPECIFIC_K4__E1_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E1_BLEND50,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8366666666666666,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB019__META_SGD_MI_SPECIFIC_K4__E1_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E1_STANDALONE,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8216666666666667,0.2222222222222222,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB020__META_SGD_MI_SPECIFIC_K4__E2_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E2_BLEND50,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.846111111111111,0.4444444444444444,True,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB021__META_SGD_MI_SPECIFIC_K4__E2_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E2_STANDALONE,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8177777777777777,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB022__META_SGD_MI_SPECIFIC_K4__E3_BLEND50,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E3_BLEND50,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8433333333333333,0.5,True,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB023__META_SGD_MI_SPECIFIC_K4__E3_STANDALONE,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,META_SGD_MI_SPECIFIC_K4__E3_STANDALONE,OPENBMI_META_SGD_MI_SPECIFIC_K4_SEARCH_PREDICTIONS.csv,True,0.8088888888888889,0.16666666666666666,False,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__MULTIBACKBONE_COMPETENCE_UNION_F01,MB024__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E0_RESIDUAL50,OpenBMI_MI_S1_to_S2__METRIC_TRANSPORT_CONFORMER_NORM_K4_D16,METRIC_TRANSPORT_CONFORMER_NORM_K4_D16__E0_RESIDUAL50,OPENBMI_METRIC_TRANSPORT_CONFORMER_NORM_K4_D16_SEARCH_PREDICTIONS.csv,True,0.8477777777777777,0.3333333333333333,True,complete and BA >= baseline-1pp and positive_fraction >= 0.25,V8_SEARCH outcome competence; exploratory upper-bound construction only,False,False
