dataset,seed,outer_fold,alpha,policy,parameter
eegmmidb,0,0,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,0,0.1,entropy_gate_crc,0.0
eegmmidb,0,0,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,0,0,0.1,probe_set_gain_only_crc,0.0
eegmmidb,0,1,0.1,best_fixed_action_crc,official_t3a
eegmmidb,0,1,0.1,entropy_gate_crc,-0.00014497650305367316
eegmmidb,0,1,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,0,1,0.1,probe_set_gain_only_crc,0.0
eegmmidb,0,2,0.1,best_fixed_action_crc,official_t3a
eegmmidb,0,2,0.1,entropy_gate_crc,-1.9362603451200666e-05
eegmmidb,0,2,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,0,2,0.1,probe_set_gain_only_crc,0.0
eegmmidb,0,3,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,3,0.1,entropy_gate_crc,0.0
eegmmidb,0,3,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,0,3,0.1,probe_set_gain_only_crc,0.0
eegmmidb,0,4,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,4,0.1,entropy_gate_crc,-4.1124990746155277e-08
eegmmidb,0,4,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,0,4,0.1,probe_set_gain_only_crc,0.0
eegmmidb,1,0,0.1,best_fixed_action_crc,official_t3a
eegmmidb,1,0,0.1,entropy_gate_crc,-0.002092968167664633
eegmmidb,1,0,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,1,0,0.1,probe_set_gain_only_crc,0.0
eegmmidb,1,1,0.1,best_fixed_action_crc,official_t3a
eegmmidb,1,1,0.1,entropy_gate_crc,-0.0015955789834473655
eegmmidb,1,1,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,1,1,0.1,probe_set_gain_only_crc,0.0
eegmmidb,1,2,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,1,2,0.1,entropy_gate_crc,-2.02018909378765e-08
eegmmidb,1,2,0.1,agreement_gate_crc,1.0
eegmmidb,1,2,0.1,probe_set_gain_only_crc,0.0
eegmmidb,1,3,0.1,best_fixed_action_crc,official_t3a
eegmmidb,1,3,0.1,entropy_gate_crc,-0.0023415828722817555
eegmmidb,1,3,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,1,3,0.1,probe_set_gain_only_crc,0.0
eegmmidb,1,4,0.1,best_fixed_action_crc,official_t3a
eegmmidb,1,4,0.1,entropy_gate_crc,-0.0021210880239529994
eegmmidb,1,4,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,1,4,0.1,probe_set_gain_only_crc,0.0
eegmmidb,2,0,0.1,best_fixed_action_crc,official_t3a
eegmmidb,2,0,0.1,entropy_gate_crc,-0.001360627885154786
eegmmidb,2,0,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,2,0,0.1,probe_set_gain_only_crc,0.0
eegmmidb,2,1,0.1,best_fixed_action_crc,official_t3a
eegmmidb,2,1,0.1,entropy_gate_crc,0.0
eegmmidb,2,1,0.1,agreement_gate_crc,1.0
eegmmidb,2,1,0.1,probe_set_gain_only_crc,0.0
eegmmidb,2,2,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,2,0.1,entropy_gate_crc,-5.7247717788477814e-08
eegmmidb,2,2,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,2,2,0.1,probe_set_gain_only_crc,0.0
eegmmidb,2,3,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,3,0.1,entropy_gate_crc,0.0
eegmmidb,2,3,0.1,agreement_gate_crc,1.0
eegmmidb,2,3,0.1,probe_set_gain_only_crc,0.0
eegmmidb,2,4,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,4,0.1,entropy_gate_crc,0.0
eegmmidb,2,4,0.1,agreement_gate_crc,1.0
eegmmidb,2,4,0.1,probe_set_gain_only_crc,0.0
eegmmidb,3,0,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,0,0.1,entropy_gate_crc,0.0
eegmmidb,3,0,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,3,0,0.1,probe_set_gain_only_crc,0.0
eegmmidb,3,1,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,1,0.1,entropy_gate_crc,0.0
eegmmidb,3,1,0.1,agreement_gate_crc,1.0
eegmmidb,3,1,0.1,probe_set_gain_only_crc,0.0
eegmmidb,3,2,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,2,0.1,entropy_gate_crc,0.0
eegmmidb,3,2,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,3,2,0.1,probe_set_gain_only_crc,0.0
eegmmidb,3,3,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,3,0.1,entropy_gate_crc,0.0
eegmmidb,3,3,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,3,3,0.1,probe_set_gain_only_crc,0.0
eegmmidb,3,4,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,4,0.1,entropy_gate_crc,0.0
eegmmidb,3,4,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,3,4,0.1,probe_set_gain_only_crc,0.0
eegmmidb,4,0,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,0,0.1,entropy_gate_crc,0.0
eegmmidb,4,0,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,4,0,0.1,probe_set_gain_only_crc,0.0
eegmmidb,4,1,0.1,best_fixed_action_crc,official_t3a
eegmmidb,4,1,0.1,entropy_gate_crc,0.0
eegmmidb,4,1,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,4,1,0.1,probe_set_gain_only_crc,0.0
eegmmidb,4,2,0.1,best_fixed_action_crc,official_t3a
eegmmidb,4,2,0.1,entropy_gate_crc,0.0
eegmmidb,4,2,0.1,agreement_gate_crc,0.8666666666666667
eegmmidb,4,2,0.1,probe_set_gain_only_crc,0.0
eegmmidb,4,3,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,3,0.1,entropy_gate_crc,0.0
eegmmidb,4,3,0.1,agreement_gate_crc,0.9333333333333333
eegmmidb,4,3,0.1,probe_set_gain_only_crc,0.0
eegmmidb,4,4,0.1,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,4,0.1,entropy_gate_crc,0.0
eegmmidb,4,4,0.1,agreement_gate_crc,1.0
eegmmidb,4,4,0.1,probe_set_gain_only_crc,0.0
hmc,0,0,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,0,0,0.1,entropy_gate_crc,0.0
hmc,0,0,0.1,agreement_gate_crc,0.9666666666666667
hmc,0,0,0.1,probe_set_gain_only_crc,0.0
hmc,0,1,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,0,1,0.1,entropy_gate_crc,0.0
hmc,0,1,0.1,agreement_gate_crc,0.9666666666666667
hmc,0,1,0.1,probe_set_gain_only_crc,0.0
hmc,0,2,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,0,2,0.1,entropy_gate_crc,0.0
hmc,0,2,0.1,agreement_gate_crc,0.9666666666666667
hmc,0,2,0.1,probe_set_gain_only_crc,0.0
hmc,0,3,0.1,best_fixed_action_crc,official_t3a
hmc,0,3,0.1,entropy_gate_crc,-0.00866639484634213
hmc,0,3,0.1,agreement_gate_crc,0.9777777777777777
hmc,0,3,0.1,probe_set_gain_only_crc,0.0
hmc,0,4,0.1,best_fixed_action_crc,official_t3a
hmc,0,4,0.1,entropy_gate_crc,-0.005686210296190562
hmc,0,4,0.1,agreement_gate_crc,0.9555555555555556
hmc,0,4,0.1,probe_set_gain_only_crc,0.0
hmc,1,0,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,1,0,0.1,entropy_gate_crc,0.0
