dataset,seed,alpha,policy,joint_violation_rate,average_set_size,intervention_rate,sentinel_rate
eegmmidb,0,0.1,agreement_gate_crc,0.0,3.803425925925926,1.0,0.0
eegmmidb,0,0.1,best_fixed_action_crc,0.022222222222222223,3.8866666666666667,1.0,0.4
eegmmidb,0,0.1,entropy_gate_crc,0.044444444444444446,3.9207407407407406,0.9333333333333333,0.6
eegmmidb,0,0.1,no_tta_global_crc,0.0,3.803425925925926,0.0,0.0
eegmmidb,0,0.1,oracle_policy,0.0,3.2675,0.3111111111111111,0.0
eegmmidb,0,0.1,probe_set_gain_only_crc,0.044444444444444446,3.924166666666667,1.0,0.6
eegmmidb,0,0.1,probecert_v3,0.0,3.8030555555555554,0.044444444444444446,0.0
eegmmidb,0,0.1,v2_actionwise_joint,0.044444444444444446,4.0,1.0,1.0
eegmmidb,0,0.2,agreement_gate_crc,0.022222222222222223,3.3496296296296295,1.0,0.0
eegmmidb,0,0.2,best_fixed_action_crc,0.06666666666666667,3.7688888888888887,1.0,0.6
eegmmidb,0,0.2,entropy_gate_crc,0.044444444444444446,3.7688888888888887,0.7333333333333333,0.6
eegmmidb,0,0.2,no_tta_global_crc,0.022222222222222223,3.3496296296296295,0.0,0.0
eegmmidb,0,0.2,oracle_policy,0.0,2.695740740740741,0.35555555555555557,0.0
eegmmidb,0,0.2,probe_set_gain_only_crc,0.06666666666666667,3.7144444444444447,1.0,0.6
eegmmidb,0,0.2,probecert_v3,0.022222222222222223,3.3492592592592594,0.044444444444444446,0.0
eegmmidb,0,0.2,v2_actionwise_joint,0.044444444444444446,4.0,1.0,1.0
eegmmidb,1,0.1,agreement_gate_crc,0.06666666666666667,3.737134502923977,1.0,0.0
eegmmidb,1,0.1,best_fixed_action_crc,0.08888888888888889,3.7360233918128656,1.0,0.0
eegmmidb,1,0.1,entropy_gate_crc,0.08888888888888889,3.9085769980506826,0.6222222222222222,0.6
eegmmidb,1,0.1,no_tta_global_crc,0.06666666666666667,3.737134502923977,0.0,0.0
eegmmidb,1,0.1,oracle_policy,0.0,3.24551656920078,0.4888888888888889,0.0
eegmmidb,1,0.1,probe_set_gain_only_crc,0.06666666666666667,3.9007407407407406,1.0,0.6
eegmmidb,1,0.1,probecert_v3,0.06666666666666667,3.737134502923977,0.0,0.0
eegmmidb,1,0.1,v2_actionwise_joint,0.044444444444444446,4.0,1.0,1.0
eegmmidb,1,0.2,agreement_gate_crc,0.022222222222222223,3.410389863547758,1.0,0.0
eegmmidb,1,0.2,best_fixed_action_crc,0.044444444444444446,3.410019493177388,1.0,0.0
eegmmidb,1,0.2,entropy_gate_crc,0.08888888888888889,3.5366861598440544,0.4666666666666667,0.2
eegmmidb,1,0.2,no_tta_global_crc,0.022222222222222223,3.410389863547758,0.0,0.0
eegmmidb,1,0.2,oracle_policy,0.0,2.6901364522417155,0.37777777777777777,0.0
eegmmidb,1,0.2,probe_set_gain_only_crc,0.06666666666666667,3.783333333333333,1.0,0.6
eegmmidb,1,0.2,probecert_v3,0.022222222222222223,3.410389863547758,0.0,0.0
eegmmidb,1,0.2,v2_actionwise_joint,0.044444444444444446,4.0,1.0,1.0
eegmmidb,2,0.1,agreement_gate_crc,0.06666666666666667,3.662962962962963,1.0,0.0
eegmmidb,2,0.1,best_fixed_action_crc,0.044444444444444446,3.7074074074074077,1.0,0.2
eegmmidb,2,0.1,entropy_gate_crc,0.044444444444444446,3.7074074074074077,0.7777777777777778,0.2
eegmmidb,2,0.1,no_tta_global_crc,0.06666666666666667,3.662962962962963,0.0,0.0
eegmmidb,2,0.1,oracle_policy,0.0,3.297407407407407,0.13333333333333333,0.0
eegmmidb,2,0.1,probe_set_gain_only_crc,0.044444444444444446,3.757037037037037,1.0,0.4
eegmmidb,2,0.1,probecert_v3,0.06666666666666667,3.662962962962963,0.0,0.0
eegmmidb,2,0.1,v2_actionwise_joint,0.0,4.0,1.0,1.0
eegmmidb,2,0.2,agreement_gate_crc,0.022222222222222223,3.3059259259259264,1.0,0.0
eegmmidb,2,0.2,best_fixed_action_crc,0.044444444444444446,3.442592592592592,1.0,0.2
eegmmidb,2,0.2,entropy_gate_crc,0.022222222222222223,3.3059259259259264,0.6222222222222222,0.0
eegmmidb,2,0.2,no_tta_global_crc,0.022222222222222223,3.3059259259259264,0.0,0.0
eegmmidb,2,0.2,oracle_policy,0.0,2.79,0.06666666666666667,0.0
eegmmidb,2,0.2,probe_set_gain_only_crc,0.022222222222222223,3.521111111111111,1.0,0.4
eegmmidb,2,0.2,probecert_v3,0.022222222222222223,3.3059259259259264,0.0,0.0
eegmmidb,2,0.2,v2_actionwise_joint,0.0,4.0,1.0,1.0
eegmmidb,3,0.1,agreement_gate_crc,0.0,3.824381091617934,1.0,0.0
eegmmidb,3,0.1,best_fixed_action_crc,0.08888888888888889,3.9670370370370374,1.0,0.8
eegmmidb,3,0.1,entropy_gate_crc,0.06666666666666667,3.9670370370370374,1.0,0.8
eegmmidb,3,0.1,no_tta_global_crc,0.0,3.824381091617934,0.0,0.0
eegmmidb,3,0.1,oracle_policy,0.0,3.156671539961014,0.35555555555555557,0.0
eegmmidb,3,0.1,probe_set_gain_only_crc,0.022222222222222223,3.928654970760234,1.0,0.6
eegmmidb,3,0.1,probecert_v3,0.0,3.824381091617934,0.0,0.0
eegmmidb,3,0.1,v2_actionwise_joint,0.022222222222222223,4.0,1.0,1.0
eegmmidb,3,0.2,agreement_gate_crc,0.022222222222222223,3.5139717348927877,1.0,0.0
eegmmidb,3,0.2,best_fixed_action_crc,0.08888888888888889,3.886296296296296,1.0,0.8
eegmmidb,3,0.2,entropy_gate_crc,0.06666666666666667,3.8866666666666667,1.0,0.8
eegmmidb,3,0.2,no_tta_global_crc,0.022222222222222223,3.5139717348927877,0.0,0.0
eegmmidb,3,0.2,oracle_policy,0.0,2.629619883040936,0.4222222222222222,0.0
eegmmidb,3,0.2,probe_set_gain_only_crc,0.022222222222222223,3.771578947368421,1.0,0.6
eegmmidb,3,0.2,probecert_v3,0.022222222222222223,3.5139717348927877,0.0,0.0
eegmmidb,3,0.2,v2_actionwise_joint,0.022222222222222223,4.0,1.0,1.0
eegmmidb,4,0.1,agreement_gate_crc,0.022222222222222223,3.783864522417154,1.0,0.0
eegmmidb,4,0.1,best_fixed_action_crc,0.1111111111111111,3.817197855750487,1.0,0.2
eegmmidb,4,0.1,entropy_gate_crc,0.2,3.870004873294347,1.0,0.6
eegmmidb,4,0.1,no_tta_global_crc,0.022222222222222223,3.783864522417154,0.0,0.0
eegmmidb,4,0.1,oracle_policy,0.0,3.275550682261209,0.1111111111111111,0.0
eegmmidb,4,0.1,probe_set_gain_only_crc,0.15555555555555556,3.8064571150097466,1.0,0.2
eegmmidb,4,0.1,probecert_v3,0.022222222222222223,3.783864522417154,0.022222222222222223,0.0
eegmmidb,4,0.1,v2_actionwise_joint,0.13333333333333333,4.0,1.0,1.0
eegmmidb,4,0.2,agreement_gate_crc,0.08888888888888889,3.5346832358674463,1.0,0.0
eegmmidb,4,0.2,best_fixed_action_crc,0.2222222222222222,3.6727534113060427,1.0,0.4
eegmmidb,4,0.2,entropy_gate_crc,0.24444444444444444,3.752012670565302,0.8888888888888888,0.6
eegmmidb,4,0.2,no_tta_global_crc,0.08888888888888889,3.5346832358674463,0.0,0.0
eegmmidb,4,0.2,oracle_policy,0.0,2.743045808966862,0.2222222222222222,0.0
eegmmidb,4,0.2,probe_set_gain_only_crc,0.2,3.610609161793372,1.0,0.2
eegmmidb,4,0.2,probecert_v3,0.08888888888888889,3.534312865497076,0.022222222222222223,0.0
eegmmidb,4,0.2,v2_actionwise_joint,0.13333333333333333,4.0,1.0,1.0
hmc,0,0.1,agreement_gate_crc,0.05454545454545454,3.9440151515151514,1.0,0.4
hmc,0,0.1,best_fixed_action_crc,0.05454545454545454,3.94280303030303,1.0,0.4
hmc,0,0.1,entropy_gate_crc,0.05454545454545454,3.941439393939394,0.7090909090909091,0.4
hmc,0,0.1,no_tta_global_crc,0.05454545454545454,3.9440151515151514,0.0,0.4
hmc,0,0.1,oracle_policy,0.0,2.1215151515151516,0.6181818181818182,0.0
hmc,0,0.1,probe_set_gain_only_crc,0.05454545454545454,3.9404545454545454,1.0,0.4
hmc,0,0.1,probecert_v3,0.05454545454545454,3.9427272727272724,0.10909090909090909,0.4
hmc,0,0.1,v2_actionwise_joint,0.0,5.0,1.0,1.0
hmc,0,0.2,agreement_gate_crc,0.03636363636363636,2.8217424242424243,1.0,0.0
hmc,0,0.2,best_fixed_action_crc,0.03636363636363636,2.8195454545454544,1.0,0.0
hmc,0,0.2,entropy_gate_crc,0.03636363636363636,2.8163636363636364,0.7818181818181819,0.0
hmc,0,0.2,no_tta_global_crc,0.03636363636363636,2.8217424242424243,0.0,0.0
hmc,0,0.2,oracle_policy,0.0,1.6525757575757576,0.36363636363636365,0.0
hmc,0,0.2,probe_set_gain_only_crc,0.03636363636363636,2.8165151515151514,1.0,0.0
hmc,0,0.2,probecert_v3,0.03636363636363636,2.8192424242424243,0.2,0.0
hmc,0,0.2,v2_actionwise_joint,0.0,5.0,1.0,1.0
hmc,1,0.1,agreement_gate_crc,0.0,3.4132575757575756,1.0,0.0
hmc,1,0.1,best_fixed_action_crc,0.03636363636363636,4.038484848484849,1.0,0.4
hmc,1,0.1,entropy_gate_crc,0.03636363636363636,4.0385606060606065,0.41818181818181815,0.4
hmc,1,0.1,no_tta_global_crc,0.0,3.4132575757575756,0.0,0.0
hmc,1,0.1,oracle_policy,0.0,2.091439393939394,0.10909090909090909,0.0
hmc,1,0.1,probe_set_gain_only_crc,0.03636363636363636,4.0385606060606065,1.0,0.4
hmc,1,0.1,probecert_v3,0.01818181818181818,3.4132575757575756,0.01818181818181818,0.0
hmc,1,0.1,v2_actionwise_joint,0.03636363636363636,5.0,1.0,1.0
hmc,1,0.2,agreement_gate_crc,0.01818181818181818,2.7424242424242427,1.0,0.0
hmc,1,0.2,best_fixed_action_crc,0.01818181818181818,3.2064393939393936,1.0,0.2
hmc,1,0.2,entropy_gate_crc,0.03636363636363636,3.608939393939394,0.9272727272727272,0.4
hmc,1,0.2,no_tta_global_crc,0.01818181818181818,2.7424242424242427,0.0,0.0
hmc,1,0.2,oracle_policy,0.0,1.6281060606060607,0.21818181818181817,0.0
hmc,1,0.2,probe_set_gain_only_crc,0.05454545454545454,3.6090151515151514,1.0,0.4
hmc,1,0.2,probecert_v3,0.03636363636363636,2.742272727272727,0.01818181818181818,0.0
hmc,1,0.2,v2_actionwise_joint,0.03636363636363636,5.0,1.0,1.0
hmc,2,0.1,agreement_gate_crc,0.09090909090909091,2.825378787878788,1.0,0.0
hmc,2,0.1,best_fixed_action_crc,0.09090909090909091,2.8229545454545453,1.0,0.0
hmc,2,0.1,entropy_gate_crc,0.05454545454545454,3.3995454545454544,0.6545454545454545,0.2
hmc,2,0.1,no_tta_global_crc,0.09090909090909091,2.825378787878788,0.0,0.0
hmc,2,0.1,oracle_policy,0.0,2.038409090909091,0.6181818181818182,0.0
hmc,2,0.1,probe_set_gain_only_crc,0.05454545454545454,3.397878787878788,1.0,0.2
hmc,2,0.1,probecert_v3,0.03636363636363636,3.4012121212121214,0.2727272727272727,0.2
hmc,2,0.1,v2_actionwise_joint,0.01818181818181818,5.0,1.0,1.0
hmc,2,0.2,agreement_gate_crc,0.12727272727272726,2.320530303030303,1.0,0.0
hmc,2,0.2,best_fixed_action_crc,0.14545454545454545,2.4603030303030304,1.0,0.0
hmc,2,0.2,entropy_gate_crc,0.07272727272727272,2.9477272727272728,0.6909090909090909,0.2
hmc,2,0.2,no_tta_global_crc,0.12727272727272726,2.320530303030303,0.0,0.0
hmc,2,0.2,oracle_policy,0.0,1.5827272727272728,0.43636363636363634,0.0
hmc,2,0.2,probe_set_gain_only_crc,0.07272727272727272,2.9475757575757577,1.0,0.2
hmc,2,0.2,probecert_v3,0.05454545454545454,2.9502272727272727,0.2727272727272727,0.2
hmc,2,0.2,v2_actionwise_joint,0.01818181818181818,5.0,1.0,1.0
hmc,3,0.1,agreement_gate_crc,0.09090909090909091,3.4447727272727273,1.0,0.2
hmc,3,0.1,best_fixed_action_crc,0.14545454545454545,4.633863636363636,1.0,0.8
hmc,3,0.1,entropy_gate_crc,0.14545454545454545,4.634318181818181,1.0,0.8
hmc,3,0.1,no_tta_global_crc,0.09090909090909091,3.4447727272727273,0.0,0.2
hmc,3,0.1,oracle_policy,0.0,2.166439393939394,0.4727272727272727,0.0
hmc,3,0.1,probe_set_gain_only_crc,0.14545454545454545,4.634242424242424,1.0,0.8
hmc,3,0.1,probecert_v3,0.14545454545454545,3.778939393939394,0.10909090909090909,0.4
hmc,3,0.1,v2_actionwise_joint,0.12727272727272726,5.0,1.0,1.0
hmc,3,0.2,agreement_gate_crc,0.09090909090909091,2.6617424242424246,1.0,0.0
hmc,3,0.2,best_fixed_action_crc,0.18181818181818182,3.0932575757575758,1.0,0.2
hmc,3,0.2,entropy_gate_crc,0.18181818181818182,3.546287878787879,0.6,0.4
hmc,3,0.2,no_tta_global_crc,0.09090909090909091,2.6617424242424246,0.0,0.0
hmc,3,0.2,oracle_policy,0.0,1.6400000000000001,0.45454545454545453,0.0
hmc,3,0.2,probe_set_gain_only_crc,0.14545454545454545,4.160151515151515,1.0,0.6
hmc,3,0.2,probecert_v3,0.03636363636363636,3.729318181818182,0.03636363636363636,0.4
hmc,3,0.2,v2_actionwise_joint,0.12727272727272726,5.0,1.0,1.0
hmc,4,0.1,agreement_gate_crc,0.0,5.0,1.0,1.0
hmc,4,0.1,best_fixed_action_crc,0.07272727272727272,5.0,1.0,1.0
hmc,4,0.1,entropy_gate_crc,0.07272727272727272,5.0,1.0,1.0
hmc,4,0.1,no_tta_global_crc,0.0,5.0,0.0,1.0
hmc,4,0.1,oracle_policy,0.0,2.671212121212121,0.43636363636363634,0.0
hmc,4,0.1,probe_set_gain_only_crc,0.07272727272727272,5.0,1.0,1.0
hmc,4,0.1,probecert_v3,0.01818181818181818,5.0,0.10909090909090909,1.0
hmc,4,0.1,v2_actionwise_joint,0.07272727272727272,5.0,1.0,1.0
hmc,4,0.2,agreement_gate_crc,0.0,3.7824242424242422,1.0,0.0
hmc,4,0.2,best_fixed_action_crc,0.0,3.7824242424242422,1.0,0.0
hmc,4,0.2,entropy_gate_crc,0.0,3.7818939393939393,0.01818181818181818,0.0
hmc,4,0.2,no_tta_global_crc,0.0,3.7824242424242422,0.0,0.0
hmc,4,0.2,oracle_policy,0.0,2.0078030303030303,0.43636363636363634,0.0
