fold,seed,task,block,inner_split,utility_CE,BA_drop,random_draws,persistence_supported
0,0,mi,0,0,-0.0009346183403556863,-0.00782603117582914,100,True
0,0,mi,0,1,-0.003772828160064856,0.0,100,True
0,0,mi,0,2,-0.0028087952420251527,-0.0019282776719847794,100,True
0,0,mi,0,3,0.0025270618805695033,0.001880270758989333,100,True
0,0,mi,0,4,0.0019388476367541152,0.004005190727182417,100,True
0,0,mi,1,0,0.0017314919183011312,0.006494964397972924,100,True
0,0,mi,1,1,-0.0005323282049717326,0.0020000000000000018,100,True
0,0,mi,1,2,-0.004678736409808759,-4.800691299544635e-05,100,True
0,0,mi,1,3,0.0012829292736570297,-4.800691299533533e-05,100,True
0,0,mi,1,4,0.00035250313247559006,-0.0017863150643233627,100,True
0,0,mi,2,0,-0.0017346783347301775,0.004394124061838478,100,True
0,0,mi,2,1,-0.0013728933464186577,-0.0020000000000000018,100,True
0,0,mi,2,2,-0.005983879071329801,-0.016002304331823813,100,True
0,0,mi,2,3,0.0029020362811114087,-0.008145172904898246,100,True
0,0,mi,2,4,0.0014979281627488517,0.02832470882263416,100,True
0,0,mi,3,0,0.010764305328684332,0.0009461799987170449,100,True
0,0,mi,3,1,-0.0027053168422941365,0.020000000000000018,100,True
0,0,mi,3,2,0.002680502216037439,0.012433790465827044,100,True
0,0,mi,3,3,0.0016438246495321662,-0.01040949896785126,100,True
0,0,mi,3,4,0.00815254440817803,0.03783303160896523,100,True
0,0,mi,4,0,0.11550216538828029,0.12313169542626212,100,True
0,0,mi,4,1,0.09723522237462123,0.15200000000000002,100,True
0,0,mi,4,2,0.10017798819236867,0.11722488038277512,100,True
0,0,mi,4,3,0.09253853504383036,0.1279224208285994,100,True
0,0,mi,4,4,0.08331899327982428,0.13188292026466297,100,True
0,0,mi,5,0,0.03446216737742969,0.04734107383411379,100,True
0,0,mi,5,1,0.023890360547479506,0.040000000000000036,100,True
0,0,mi,5,2,0.03843866020681086,0.022027171912755383,100,True
0,0,mi,5,3,0.029884278039023826,0.043958329999520096,100,True
0,0,mi,5,4,0.03115971417950636,0.03691183774171325,100,True
0,0,mi,6,0,0.0118882531057114,0.0017159535569952755,100,False
0,0,mi,6,1,-0.0006346264101261267,0.02400000000000002,100,False
0,0,mi,6,2,0.010949794358663056,0.016098318157814706,100,False
0,0,mi,6,3,0.002324749170090845,-9.60138259908927e-05,100,False
0,0,mi,6,4,0.00142033918681983,0.010717890385940176,100,False
0,0,erp,0,0,-0.006244430924822575,0.018822275075863204,100,True
0,0,erp,0,1,-0.004148315745781783,-0.0011990407673860837,100,True
0,0,erp,0,2,-0.0012880153458939558,0.0,100,True
0,0,erp,0,3,0.0037047241947290033,0.0,100,True
0,0,erp,0,4,-3.8627717452222043e-05,0.0,100,True
0,0,erp,1,0,0.0018475350133382307,0.0048661800486617945,100,True
0,0,erp,1,1,-0.002804632625942216,-0.007223137152928327,100,True
0,0,erp,1,2,0.001619325144077588,-0.012048192771084265,100,True
0,0,erp,1,3,0.002733419449093444,-0.0011990407673860837,100,True
0,0,erp,1,4,0.00043980250640540675,0.0,100,True
0,0,erp,2,0,0.005153208863770464,0.010019410044014299,100,True
0,0,erp,2,1,-0.0039028760615446023,-0.008422177920314411,100,True
0,0,erp,2,2,0.002316641774957273,-0.010849152003698181,100,True
0,0,erp,2,3,-0.000252853949233911,-0.0023980815347721673,100,True
0,0,erp,2,4,0.0017644887417328503,0.0,100,True
0,0,erp,3,0,-0.0050410271630543235,0.005617977528089901,100,True
0,0,erp,3,1,-0.0031039896325283367,0.0060240963855421326,100,True
0,0,erp,3,2,0.0014716225953278483,0.007223137152928327,100,True
0,0,erp,3,3,0.000496698627101444,0.0,100,True
0,0,erp,3,4,0.00408879126517514,0.0024330900243308973,100,True
0,0,erp,4,0,0.00025051072149950837,0.018822275075863204,100,True
0,0,erp,4,1,-0.004285039823117676,0.007223137152928216,100,True
0,0,erp,4,2,0.006392009590189152,-0.003626014850769965,100,True
0,0,erp,4,3,-0.0010707442533686162,0.0,100,True
0,0,erp,4,4,0.0019971418070091618,0.0,100,True
0,0,erp,5,0,0.008444879835840302,0.016853932584269704,100,True
0,0,erp,5,1,0.003189168226325645,-0.0011990407673860837,100,True
0,0,erp,5,2,-6.037537762293432e-06,0.01324723353847046,100,True
0,0,erp,5,3,0.002194494625125998,-0.0023980815347721673,100,True
0,0,erp,5,4,0.0027447169827461426,0.0,100,True
0,0,erp,6,0,0.0063937330680989835,0.0156373875721042,100,False
0,0,erp,6,1,0.014434212045827954,-0.00482505561815616,100,False
0,0,erp,6,2,0.007761288647788689,-0.009650111236312098,100,False
0,0,erp,6,3,0.009089187103942797,-0.0023980815347721673,100,False
0,0,erp,6,4,0.004138388983410346,0.0,100,False
0,0,ssvep,0,0,-0.002310326432818144,0.00012610340479191073,100,True
0,0,ssvep,0,1,-9.111308762788095e-05,-0.0020801331285201785,100,True
0,0,ssvep,0,2,-0.00126530116097745,0.002083333333333437,100,True
0,0,ssvep,0,3,-0.0010122822482602212,0.00013858093126384308,100,True
0,0,ssvep,0,4,-0.003972408142903894,-0.010371865281545767,100,True
0,0,ssvep,1,0,-0.00020112860652610198,0.0,100,True
0,0,ssvep,1,1,-0.0006280761133394819,-0.008001512096774133,100,True
0,0,ssvep,1,2,-0.002328106107513772,0.004486951890644519,100,True
0,0,ssvep,1,3,0.00046074587113520415,0.004081700653072118,100,True
0,0,ssvep,1,4,-0.0015031243073185818,-0.0020161290322581182,100,True
0,0,ssvep,2,0,0.0019007345840601486,0.0040176842648766975,100,True
0,0,ssvep,2,1,0.0013995396258908999,4.0986229676853725e-06,100,True
0,0,ssvep,2,2,-0.008686500711747147,0.0004090478726552771,100,True
0,0,ssvep,2,3,-0.0036456218655334105,0.00017190093659502637,100,True
0,0,ssvep,2,4,-0.008448804952652544,0.001389786683904326,100,True
0,0,ssvep,3,0,0.001324761196022206,-0.0017969735182850055,100,True
0,0,ssvep,3,1,-0.002671113617267684,0.012228979375991544,100,True
0,0,ssvep,3,2,0.0012883614243857089,0.003132951653944005,100,True
0,0,ssvep,3,3,0.005425528492232656,0.004065040650406582,100,True
0,0,ssvep,3,4,-0.002402879903778299,-0.004472496194507736,100,True
0,0,ssvep,4,0,0.1448096611738331,0.10313421777771625,100,True
0,0,ssvep,4,1,0.1235307659064131,0.16492939154663278,100,True
0,0,ssvep,4,2,0.12601371680655338,0.15747529439611818,100,True
0,0,ssvep,4,3,0.1590491563290738,0.1130880980940957,100,True
0,0,ssvep,4,4,0.13832398273766566,0.10482175510246305,100,True
0,0,ssvep,5,0,0.14127220265584806,0.0899907217534569,100,True
0,0,ssvep,5,1,0.11347648428427348,0.10707400027700142,100,True
0,0,ssvep,5,2,0.11395764084165072,0.1407679448488076,100,True
0,0,ssvep,5,3,0.12657070776669943,0.08940136066785398,100,True
0,0,ssvep,5,4,0.14767978452524766,0.14042574269699282,100,True
0,0,ssvep,6,0,0.0096167125708152,0.004143787669668719,100,False
0,0,ssvep,6,1,0.009285380308471702,0.022114464506056253,100,False
0,0,ssvep,6,2,0.007434059183663133,0.017904905615717004,100,False
0,0,ssvep,6,3,0.006827826317216568,0.003926459719142739,100,False
0,0,ssvep,6,4,0.00751468596621907,-0.0001777634130576411,100,False
