epoch,loss,macro_f1,balanced_accuracy
1,1.2580676138640408,0.32317475764322656,0.3912671267483535
2,1.1608686617100574,0.48277349161472716,0.5302455614271654
3,1.0993063488159793,0.40008482152370844,0.5277208170237374
4,1.0901348005576306,0.3529143073172228,0.45715807544559717
5,1.0953363555980973,0.510598237878779,0.5580575111499998
6,1.04864360218546,0.49213425586928156,0.5692493560768146
7,1.0261290528209335,0.5148921421031831,0.5809540598193056
8,1.0334402473576099,0.5249748101209151,0.5747999466661284
9,1.0106365876384529,0.5557644745144484,0.5850268098128608
10,1.0222868441817272,0.5586480746452205,0.594052293232955
11,1.015437840697277,0.4850779055988039,0.549206867952844
12,1.010393021216833,0.4929778964948227,0.545832223501509
