subject,ba,run,model
11,0.645,fold-1/seed-1,control
17,0.71,fold-1/seed-1,control
19,0.81,fold-1/seed-1,control
22,0.72,fold-1/seed-1,control
3,0.89,fold-1/seed-1,control
38,0.6900000000000001,fold-1/seed-1,control
40,0.73,fold-1/seed-1,control
50,0.52,fold-1/seed-1,control
7,0.635,fold-1/seed-1,control
