subject,ba,run,model
11,0.655,fold-1/seed-1,method
17,0.68,fold-1/seed-1,method
19,0.805,fold-1/seed-1,method
22,0.725,fold-1/seed-1,method
3,0.89,fold-1/seed-1,method
38,0.7050000000000001,fold-1/seed-1,method
40,0.685,fold-1/seed-1,method
50,0.52,fold-1/seed-1,method
7,0.655,fold-1/seed-1,method
