dataset,fold,ANCHOR,CROSS_SUBJECT_K4_GUARD,RANDOM_DIRECTION_GUARD,SSPG,TASK_ONLY_MATCHED,SSPG_minus_TASK_ONLY_pp,SSPG_minus_CROSS_SUBJECT_pp,SSPG_minus_RANDOM_pp
OpenBMI,0,0.7854545454545455,0.7890909090909091,0.7899999999999999,0.7890909090909091,0.7899999999999999,-0.09090909090908594,0.0,-0.09090909090908594
OpenBMI,1,0.8318181818181819,0.8363636363636363,0.8345454545454545,0.8354545454545454,0.8345454545454545,0.09090909090909705,-0.09090909090908594,0.09090909090909705
OpenBMI,2,0.8145454545454546,0.8154545454545455,0.8145454545454546,0.8154545454545455,0.8145454545454546,0.09090909090909705,0.0,0.09090909090909705
OpenBMI,3,0.8245454545454546,0.8218181818181818,0.8209090909090908,0.8218181818181818,0.8209090909090908,0.09090909090909705,0.0,0.09090909090909705
OpenBMI,4,0.841,0.833,0.8370000000000001,0.8320000000000001,0.8370000000000001,-0.5000000000000004,-0.09999999999998899,-0.5000000000000004
WBCIC,0,0.8005555555555556,0.8061111111111111,0.8072222222222223,0.8066666666666666,0.8066666666666666,0.0,0.05555555555555314,-0.05555555555556424
WBCIC,1,0.77125,0.78625,0.785,0.7843749999999999,0.785,-0.06250000000000977,-0.1875000000000071,-0.06250000000000977
WBCIC,2,0.786875,0.79,0.79,0.786875,0.79,-0.31250000000000444,-0.31250000000000444,-0.31250000000000444
WBCIC,3,0.7854048295454545,0.7853787878787879,0.7853787878787879,0.7847537878787879,0.7853787878787879,-0.06249999999999867,-0.06249999999999867,-0.06249999999999867
WBCIC,4,0.785625,0.7893749999999999,0.788125,0.7887500000000001,0.788125,0.06250000000000977,-0.062499999999987566,0.06250000000000977
