dataset,subject_id,mean_H_task,mean_H_sspg,mean_positive_H_task,mean_positive_H_sspg,harm_frequency_task,harm_frequency_sspg,n_steps,positive_harm_reduction,harm_frequency_reduction
OpenBMI,1,-0.0003894716501235962,-0.0003194361925125122,6.070733070373535e-05,6.979207197825114e-05,0.3333333333333333,0.3333333333333333,6,-9.084741274515792e-06,0.0
OpenBMI,11,-0.0008042603731155396,-0.0008857101202011108,0.0,0.0,0.0,0.0,1,0.0,0.0
OpenBMI,12,-8.550286293029785e-05,-7.439255714416503e-05,0.00022898912429809571,0.00019484162330627442,0.4,0.2,5,3.4147500991821294e-05,0.2
OpenBMI,13,0.00019663572311401367,0.00013259053230285645,0.00019663572311401367,0.0001413300633430481,1.0,0.5,4,5.5305659770965576e-05,0.5
OpenBMI,14,-0.0007278422514597575,-0.0004082570473353068,2.1552046140034992e-05,0.0,0.3333333333333333,0.0,5,2.1552046140034992e-05,0.3333333333333333
OpenBMI,15,0.0002451390027999878,0.00013880431652069092,0.0002451390027999878,0.00013880431652069092,1.0,1.0,2,0.00010633468627929688,0.0
OpenBMI,16,-0.0001256018877029419,-9.223322073618571e-05,4.504124323527018e-05,4.95066245396932e-05,0.3333333333333333,0.3333333333333333,3,-4.465381304423019e-06,0.0
OpenBMI,17,-0.0001752227544784546,-0.000261060893535614,0.00012286007404327393,6.862729787826538e-05,0.5,0.5,3,5.4232776165008545e-05,0.0
OpenBMI,18,0.0003013424575328827,0.00017178431153297424,0.0004257224500179291,0.0003013908863067627,0.5,0.5,3,0.00012433156371116638,0.0
OpenBMI,19,0.0006108631690343221,-0.00015670557816823324,0.0006771137317021688,0.0,0.6666666666666666,0.0,3,0.0006771137317021688,0.6666666666666666
OpenBMI,2,-5.581974983215332e-05,-7.386008898417155e-05,4.2811036109924316e-05,3.2673279444376625e-05,0.3333333333333333,0.16666666666666666,4,1.0137756665547691e-05,0.16666666666666666
OpenBMI,20,-1.179426908493042e-05,-1.817941665649414e-05,7.636845111846924e-05,5.869567394256592e-05,0.75,0.75,2,1.767277717590332e-05,0.0
OpenBMI,21,0.0002828240394592285,-0.00011680647730827332,0.0002828240394592285,0.0,1.0,0.0,2,0.0002828240394592285,1.0
OpenBMI,22,0.0004969139893849691,0.00047722458839416504,0.000637898842493693,0.0005870958169301351,0.6666666666666666,0.6666666666666666,3,5.080302556355787e-05,0.0
OpenBMI,24,-0.0005480349063873291,-0.0007958014806111654,0.0,0.0,0.0,0.0,3,0.0,0.0
OpenBMI,25,6.58668577671051e-05,4.9833208322525024e-05,8.850917220115662e-05,7.230415940284729e-05,0.75,0.75,2,1.6205012798309326e-05,0.0
OpenBMI,26,-0.0002216733992099762,-9.248219430446625e-05,8.544325828552246e-05,9.820051491260529e-05,0.5,0.5,8,-1.2757256627082825e-05,0.0
