dataset,fold,seed,checkpoint_path,checkpoint_sha256,partial_checkpoint_hash_matches,source_trials_checked,source_prediction_repeat_max_abs_diff,normalizer_shape_finite_positive,state_dict_strict_load,outcome_subjects_materialized,pass
OpenBMI,0,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-0\seed-0.pt,cf2b1a715e7ed83e4b2292ef7117b9ac7d358a8d619b5924febabe1981618dfa,True,128,0.0,True,True,False,True
OpenBMI,1,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-1\seed-0.pt,a449690ec9d454f6b3521691a5ec5ed6e05490fd6fcef972b98e17e366716b87,True,128,0.0,True,True,False,True
OpenBMI,2,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-2\seed-0.pt,bac23b0ce2bee4c6139e2becf2a4e645a8d9e1bfd0fe5be0faa01a3cb2cbd18f,True,128,0.0,True,True,False,True
OpenBMI,3,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-3\seed-0.pt,4773e9207c67c0739c1cec110a7c8102cb6a6708139aae0a423d3b05e4c32739,True,128,0.0,True,True,False,True
OpenBMI,4,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\OpenBMI\fold-4\seed-0.pt,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d,True,128,0.0,True,True,False,True
WBCIC,0,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-0\seed-0.pt,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3,True,128,0.0,True,True,False,True
WBCIC,1,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-1\seed-0.pt,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543,True,128,0.0,True,True,False,True
WBCIC,2,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-2\seed-0.pt,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08,True,128,0.0,True,True,False,True
WBCIC,3,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-3\seed-0.pt,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253,True,128,0.0,True,True,False,True
WBCIC,4,0,D:\nips-temp\TotalP\P1\CRCICLR_CANONICAL_EEGNET\experiments\persist_eeg_canonical_eegnet_baseline\runtime\checkpoints\WBCIC\fold-4\seed-0.pt,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533,True,128,0.0,True,True,False,True
