fold,seed,control_id,protected_block_ids,protected_coordinate_ids,coordinate_ids,rank,match_distance,match_max_abs_z,N_rho_mean,N_rho_std,N_coordinate_variance_mean,N_coordinate_energy_mean,N_train_identity_balanced_accuracy,N_dewhitened_direction_norm_mean,N_train_task_margin_magnitude,P_rho_mean,P_rho_std,P_coordinate_variance_mean,P_coordinate_energy_mean,P_train_identity_balanced_accuracy,P_dewhitened_direction_norm_mean,P_train_task_margin_magnitude,outer_test_used,outer_membership_enumerated
0,0,N001,[5],"[12, 13, 14, 15]","[10, 16, 17, 18]",4,1.4504540561942671,3.5443415970755137,0.03977520694024861,0.03445653958837557,0.3491952121257782,0.3578483462333679,0.05205882352941177,1.5347638905909844,0.1748410548044801,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N002,[5],"[12, 13, 14, 15]","[10, 11, 16, 19]",4,1.4676364097345016,3.588471227077527,0.05658190743997693,0.03854252040329669,0.41631001234054565,0.4272182583808899,0.05176470588235294,1.4807132118477369,0.17337006632379376,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N003,[5],"[12, 13, 14, 15]","[5, 10, 16, 19]",4,1.5245095681495549,3.4460632267253875,0.08505774335935712,0.07628209359577003,0.48269569873809814,0.49048250913619995,0.07852941176470588,1.439745097336799,0.17811700229552102,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N004,[5],"[12, 13, 14, 15]","[10, 16, 17, 19]",4,1.5575324275342557,3.7092102411775163,0.03842213423922658,0.03553394297218175,0.36119431257247925,0.3709903955459595,0.05941176470588235,1.4374420794155613,0.16934543029348023,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N005,[5],"[12, 13, 14, 15]","[5, 10, 16, 18]",4,1.558052806875379,3.766927580810473,0.08641081606037915,0.07494896317773102,0.4706965982913971,0.4773404598236084,0.07352941176470587,1.537066908512222,0.16742151790780951,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N006,[5],"[12, 13, 14, 15]","[10, 16, 18, 19]",4,1.56210726310213,3.73260350360877,0.0375772996339947,0.03606189359801036,0.3723132312297821,0.3816242218017578,0.04735294117647059,1.43772432480433,0.16856565444762617,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N007,[5],"[12, 13, 14, 15]","[5, 10, 16, 17]",4,1.5667643701456035,3.7645777057878163,0.08725565066561103,0.07414199569440107,0.45957767963409424,0.46670660376548767,0.0811764705882353,1.5367846631234532,0.16749984711857385,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N008,[5],"[12, 13, 14, 15]","[10, 11, 16, 17]",4,1.5708754558327946,3.99112887383035,0.05877981474623084,0.035899555663978594,0.39319199323654175,0.4034423530101776,0.0438235294117647,1.5777527776343911,0.15994813733851462,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N009,[5],"[12, 13, 14, 15]","[7, 10, 16, 19]",4,1.57784475522713,3.6885489249122916,0.07792813377454877,0.06540189784220884,0.471817284822464,0.4838107228279114,0.08176470588235295,1.4617797392612548,0.1700341412167437,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N010,[5],"[12, 13, 14, 15]","[4, 10, 16, 19]",4,1.5812166051726593,3.642646644688356,0.0943363313563168,0.09100488880046964,0.4796980023384094,0.4950505495071411,0.06999999999999999,1.4630751330737584,0.17156421807085656,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
