task,dataset,lr,folds,task_mean_delta_pp,positive_folds,zero_folds,negative_folds,mean_selected_step,mean_selected_head_norm
OpenBMI_ERP,OpenBMI,3e-06,10,0.016666666666662,8,2,0,18.1,0.00108015513682069
OpenBMI_MI,OpenBMI,3e-06,10,0.09999999999999701,5,5,0,20.0,0.0018711925087839198
OpenBMI_SSVEP,OpenBMI,3e-06,10,0.016666666666664998,1,9,0,6.4,0.00099748649792971
WBCIC_MI,WBCIC,3e-06,10,0.04,4,6,0,20.8,0.0016157814650023098
