task,dataset,fold,lr,optimizer_step,BA,macro_F1,accuracy,XS_BA,XS_macro_F1,XS_accuracy,delta_BA,delta_BA_pp,dW_norm,db_norm,residual_head_norm,loss
OpenBMI_ERP,OpenBMI,0,3e-06,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,
OpenBMI_ERP,OpenBMI,0,3e-06,1,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,4.7999812522903085e-05,4.24263862441876e-06,4.8186948281990776e-05,0.1192764937877655
OpenBMI_ERP,OpenBMI,0,3e-06,2,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,8.846941636875272e-05,8.406027518503834e-06,8.886787344856169e-05,0.12706296145915985
OpenBMI_ERP,OpenBMI,0,3e-06,4,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.00016050909471232444,1.6571379092056304e-05,0.00016136226352645954,0.10826686024665833
OpenBMI_ERP,OpenBMI,0,3e-06,8,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.00030642581987194717,3.252656460972503e-05,0.0003081473032325703,0.11139354854822159
OpenBMI_ERP,OpenBMI,0,3e-06,16,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.00059173145564273,6.510499952128157e-05,0.0005953022564712234,0.10840017348527908
OpenBMI_ERP,OpenBMI,0,3e-06,32,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0011800292413681746,0.0001311675296165049,0.0011872969010780943,0.11488526314496994
OpenBMI_ERP,OpenBMI,0,3e-06,64,0.8701010101010102,0.8348532430607497,0.8989898989898989,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.00020202020202031434,-0.020202020202031434,0.0022320549469441175,0.000250962475547567,0.0022461191977076085,0.09908029437065125
OpenBMI_ERP,OpenBMI,0,1e-05,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,
OpenBMI_ERP,OpenBMI,0,1e-05,1,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.00015999935567378998,1.4142129657557234e-05,0.00016062314169284296,0.1192764937877655
OpenBMI_ERP,OpenBMI,0,1e-05,2,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.00029488818836398423,2.801927985274233e-05,0.0002962163460716828,0.12705004215240479
OpenBMI_ERP,OpenBMI,0,1e-05,4,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0005349778803065419,5.523271829588339e-05,0.0005378215183382244,0.10822756588459015
OpenBMI_ERP,OpenBMI,0,1e-05,8,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.001021126750856638,0.00010839321475941688,0.0010268636376466523,0.11134372651576996
OpenBMI_ERP,OpenBMI,0,1e-05,16,0.8703030303030302,0.8349098314136739,0.8989898989898989,0.8703030303030305,0.8346155418696531,0.8986531986531987,-2.220446049250313e-16,-2.220446049250313e-14,0.0019710040651261806,0.00021689616551157087,0.001982902158795928,0.10828299075365067
OpenBMI_ERP,OpenBMI,0,1e-05,32,0.8702020202020201,0.835057827518992,0.899158249158249,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.00010101010101037922,-0.010101010101037922,0.00392600754275918,0.0004365389177110046,0.003950202710302127,0.11443425714969635
OpenBMI_ERP,OpenBMI,0,1e-05,64,0.8693939393939395,0.834784996980964,0.8991582491582492,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.0009090909090909705,-0.09090909090909705,0.007395742926746607,0.0008318056352436543,0.007442372877876085,0.09825804829597473
