task,dataset,lr,folds,task_mean_delta_pp,positive_folds,zero_folds,negative_folds,mean_selected_step,mean_selected_head_norm
OpenBMI_ERP,OpenBMI,1e-05,5,0.019191919191913997,4,1,0,9.0,0.00116789345754214
OpenBMI_MI,OpenBMI,1e-05,5,0.16666666666666,4,1,0,33.6,0.00353496565092208
OpenBMI_SSVEP,OpenBMI,1e-05,5,0.033333333333329995,1,4,0,12.8,0.00199497299585942
WBCIC_MI,WBCIC,1e-05,5,0.060000000000000005,3,2,0,28.8,0.002774269920851
