task,dataset,fold,lr,optimizer_step,BA,macro_F1,accuracy,XS_BA,XS_macro_F1,XS_accuracy,delta_BA,delta_BA_pp,dW_norm,db_norm,residual_head_norm,loss,status
OpenBMI_ERP,OpenBMI,0,3e-06,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_ERP,OpenBMI,0,1e-05,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_ERP,OpenBMI,1,3e-06,8,0.8296464646464647,0.7658259994152181,0.843013468013468,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.0001010101010101,0.0101010101010157,0.000336433382472,3.205370740033686e-05,0.0003379568922209,0.1470760256052017,positive
OpenBMI_ERP,OpenBMI,1,1e-05,4,0.8296464646464647,0.7658259994152181,0.843013468013468,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.0001010101010101,0.0101010101010157,0.0005889402818866,5.4763506341259927e-05,0.0005914809356652,0.2019036412239074,positive
OpenBMI_ERP,OpenBMI,2,3e-06,32,0.7961111111111112,0.7628078037489816,0.8541245791245791,0.7959090909090909,0.762389930744643,0.8537878787878789,0.0002020202020203,0.0202020202020314,0.0009693658212199,0.0001144690468208,0.0009761010490874,0.0982526317238807,positive
OpenBMI_ERP,OpenBMI,2,1e-05,8,0.7961111111111112,0.7628078037489816,0.8541245791245791,0.7959090909090909,0.762389930744643,0.8537878787878789,0.0002020202020203,0.0202020202020314,0.0008156417752616,8.320846245624125e-05,0.0008198750842514,0.085245631635189,positive
OpenBMI_ERP,OpenBMI,3,3e-06,32,0.8450000000000001,0.8171613980424762,0.8884680134680134,0.8448484848484851,0.8168361797068387,0.8882154882154882,0.000151515151515,0.0151515151515013,0.0011754393344745,0.0001346458448097,0.0011831260002866,0.1020384728908538,positive
OpenBMI_ERP,OpenBMI,3,1e-05,1,0.844949494949495,0.8170781230392882,0.8883838383838384,0.8448484848484851,0.8168361797068387,0.8882154882154882,0.0001010101010099,0.0101010101009935,0.000159998802701,1.41421123771579e-05,0.000160622589346,0.0754365772008895,positive
OpenBMI_ERP,OpenBMI,4,3e-06,64,0.8196969696969697,0.7874670982910376,0.8712121212121212,0.8194444444444445,0.786969228762521,0.8707912457912458,0.0002525252525251,0.025252525252517,0.0024501585867255,0.0002691757690627,0.0024649001389013,0.0911722332239151,positive
OpenBMI_ERP,OpenBMI,4,1e-05,32,0.82,0.7880630422725283,0.8717171717171716,0.8194444444444445,0.786969228762521,0.8707912457912458,0.0005555555555554,0.055555555555542,0.004242873750627,0.0004576919891405,0.0042674886784481,0.0687955394387245,positive
OpenBMI_MI,OpenBMI,0,3e-06,32,0.7699999999999999,0.764632383348763,0.7699999999999999,0.7683333333333332,0.7627971665034042,0.7683333333333332,0.0016666666666667,0.1666666666666705,0.0010299838613718,0.000121256285638,0.0010370968332288,0.168324589729309,positive
OpenBMI_MI,OpenBMI,0,1e-05,8,0.7699999999999999,0.764632383348763,0.7699999999999999,0.7683333333333332,0.7627971665034042,0.7683333333333332,0.0016666666666667,0.1666666666666705,0.0009032410453073,0.0001033290900522,0.0009091321613379,0.1663426756858825,positive
OpenBMI_MI,OpenBMI,1,3e-06,0,0.81,0.8062744155005457,0.81,0.81,0.8062744155005457,0.81,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_MI,OpenBMI,1,1e-05,64,0.8116666666666666,0.8079676160517101,0.8116666666666666,0.81,0.8062744155005457,0.81,0.0016666666666665,0.1666666666666594,0.0060046771541237,0.0001091541780624,0.0060056691850154,0.2167189121246338,positive
OpenBMI_MI,OpenBMI,2,3e-06,0,0.805,0.7944971228059886,0.805,0.805,0.7944971228059886,0.805,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_MI,OpenBMI,2,1e-05,64,0.8083333333333332,0.7979619867174074,0.8083333333333332,0.805,0.7944971228059886,0.805,0.0033333333333331,0.3333333333333188,0.0069633647799491,0.0006835681851953,0.0069968360365559,0.0980155691504478,positive
OpenBMI_MI,OpenBMI,3,3e-06,0,0.8266666666666668,0.8239289128509834,0.8266666666666668,0.8266666666666668,0.8239289128509834,0.8266666666666668,0.0,0.0,0.0,0.0,0.0,,zero
