model,evidence_scope,seeds,folds_per_seed,checkpoint_replicates,true_outer_subject_equal_BA_mean,true_outer_checkpoint_BA_std,true_outer_seed_BA_std,true_outer_subject_equal_macro_F1_mean,true_outer_trial_accuracy_mean
EEGNet,5 folds x 3 seeds,3,5,15,0.7917666666666666,0.024437139962029307,0.00561990510002912,0.7873731973766496,0.7917666666666666
TCFormer,5 folds x 3 seeds,3,5,15,0.7913666666666667,0.03096972407890986,0.006986653944008731,0.7847574394078164,0.7913666666666667
CBraMod,5 folds x 3 seeds,3,5,15,0.7544666666666668,0.009204941736966728,0.004278239513320069,0.7526782385473526,0.7544666666666668
TeCh,5 folds x 3 seeds,3,5,15,0.7436666666666668,0.04149426236871561,0.004821134029803951,0.7410256538915913,0.7436666666666667
LiteBN,5 folds x seed0 only,1,5,5,0.7314999999999999,0.08137336787917777,0.0,0.7164989970477411,0.7314999999999999
ModernTCN,5 folds x seed0 only,1,5,5,0.7074,0.03032408283856253,0.0,0.7064513302694351,0.7074
Medformer,5 folds x seed0 only,1,5,5,0.7543,0.014281106399715653,0.0,0.7501541893890272,0.7543
SGN,5 folds x seed0 only,1,5,5,0.6624,0.02770694858695188,0.0,0.6604533836528445,0.6624
