model,task,fold,seed,subject_equal_BA,subject_equal_macro_F1,trial_accuracy,subjects,checkpoint_sha256
EEGNet,WBCIC_MI,0,0,0.7645,0.7531006489033999,0.7645,10,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,1,0.768,0.759890124576308,0.768,10,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,2,0.7365,0.7228738092218905,0.7365,10,a277857803966179b3234f3c30a28c8a3ee5393fdf638e70eb0b940eb4bf76f7
EEGNet,WBCIC_MI,1,0,0.8195,0.8187681097904095,0.8195,10,f3d5aa0c934a36886b9c1377ae336b7e6c636afdf344612eb61d3293db3a5d5c
EEGNet,WBCIC_MI,1,1,0.8165000000000001,0.8148728691944074,0.8165,10,8d204522faa7c08a2d36015444f5515b2c3e7fb6f363d60a491f2fcdeb991ab8
EEGNet,WBCIC_MI,1,2,0.8130000000000001,0.812220712834644,0.813,10,80bb26256b933a120494561d98e1aa600954cb03c3c67c640e219f3347369a79
EEGNet,WBCIC_MI,2,0,0.8029999999999999,0.8007608191618834,0.803,10,3c34712bdf77d0ec7a36989bf2f557c6ccc7d3e263576ec2c29fa9c06c03ed34
EEGNet,WBCIC_MI,2,1,0.813,0.8104687304614288,0.813,10,0d3c80e74c490dcb6fe5ad73b4a4e8c96b194a2dfda9fe2834e0784025cbe116
EEGNet,WBCIC_MI,2,2,0.806,0.8036051814398206,0.806,10,cb1f1e47fae12c49521b1b7be81a5e416568bdc5b88891e6f8f3d6e444ee25d1
EEGNet,WBCIC_MI,3,0,0.783,0.7821212999187426,0.783,10,0efb22336ff9ce62f16e66e5b3649bd6c8957ed5d9c630eb5de163c043dd96b3
EEGNet,WBCIC_MI,3,1,0.7729999999999999,0.7583132776902286,0.773,10,baf66ffcf624c1c81266156983de4935f27e2086c6f55453a44425dfad15093c
EEGNet,WBCIC_MI,3,2,0.7715000000000001,0.7692651081497142,0.7715,10,f8087c63f919b6063d855528fa4ec02827ac3b5812e6f94fca9e297cab015b5a
EEGNet,WBCIC_MI,4,0,0.8130000000000001,0.8119992520910133,0.813,10,73f45ad4e44f024a4f237493a8e86ea7bbd067abccb5ee7cca2dd6e5f0d8311d
EEGNet,WBCIC_MI,4,1,0.7949999999999999,0.7934178576208519,0.795,10,1c116f0aa87cefb3f42150267f2974b7d8908d6f41b474168f5d6321aca17eb9
EEGNet,WBCIC_MI,4,2,0.8009999999999999,0.7989201595950005,0.801,10,4d50f7b9b03fbe14f4c4aebf555387154a8b85fecddfcc994cec9f881e807412
TCFormer,WBCIC_MI,0,0,0.7335,0.7044136908874228,0.7335,10,0541c228825cb8838684d28044c25a6056a1693fb6f13488afd78eefca783b3a
TCFormer,WBCIC_MI,0,1,0.7795,0.7781908767485388,0.7795,10,0b37b0ce10bb0a9846ace7d543be64027559fb703d21bc49875db30bdf7966f6
TCFormer,WBCIC_MI,0,2,0.7789999999999999,0.7781074747663218,0.779,10,7814cb27237fcc2c2a75dc38f0cfc3b8ce04d6470d0f1286e5809e1693175482
TCFormer,WBCIC_MI,1,0,0.806,0.8030009812507342,0.806,10,b268a1bce5b7951d26631bfbb903670cc52b182c957ef279e710470bc8398673
TCFormer,WBCIC_MI,1,1,0.8109999999999999,0.8068565241761426,0.811,10,25c2195b26fb8161d35c607da4597017ea10ab6cd96e4ce168ce8ff5bc499f6e
TCFormer,WBCIC_MI,1,2,0.8174999999999999,0.8105773296701612,0.8175,10,0304e90645cb418bf327099c97a77f9f0654528f3cac05420fc13192efdaf593
TCFormer,WBCIC_MI,2,0,0.8149999999999998,0.8131415931724509,0.815,10,9f23aebb0087ea52d189af485c8ef470e85734790aba67e561dcca828f03fb52
TCFormer,WBCIC_MI,2,1,0.8125,0.8021998693777125,0.8125,10,e502978c5753a4f535186ee00cd9d04c1d8d87bff5dcce6d13ffeb1f2bbf5dac
TCFormer,WBCIC_MI,2,2,0.8140000000000001,0.8123265405380138,0.814,10,620508883887dc8dc50382b4a4d6b1052257e95dbc3213da3825013298a0bee9
TCFormer,WBCIC_MI,3,0,0.7515,0.73422066600712,0.7515,10,7370470785930750be1fd24b19385adad5c84691c2a135b020ec9cbd5236e832
