model,task,fold,seed,subject_id,BA,macro_F1,accuracy,trials,checkpoint_sha256
EEGNet,WBCIC_MI,0,0,sub-4,0.6699999999999999,0.6576408341114224,0.67,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-8,0.865,0.8624939522803086,0.865,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-10,0.81,0.8087761674718197,0.81,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-15,0.72,0.7144022847817217,0.72,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-20,0.48000000000000004,0.4164515767029514,0.48,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-39,0.8,0.7960016319869441,0.8,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-40,0.73,0.7149192271143491,0.73,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-43,0.935,0.9347242097863473,0.935,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-46,0.89,0.8886526976414617,0.89,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,0,sub-51,0.745,0.7369439071566731,0.745,200,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26
EEGNet,WBCIC_MI,0,1,sub-4,0.6699999999999999,0.6589499793303017,0.67,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-8,0.885,0.8839526728726759,0.885,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-10,0.81,0.8090644156366193,0.81,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-15,0.72,0.7151866544603804,0.72,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-20,0.495,0.4503550923784386,0.495,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-39,0.775,0.7714285714285715,0.775,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-40,0.745,0.73786332913572,0.745,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-43,0.925,0.9245757385292269,0.925,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-46,0.89,0.8891017239641092,0.89,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
EEGNet,WBCIC_MI,0,1,sub-51,0.765,0.7584230680270361,0.765,200,182e628a4309c314aed855580377b3de8433c6e097eb648501adc91b5d8f2fd3
