epoch,loss,macro_f1,balanced_accuracy
1,1.2377471400105304,0.37487180996804015,0.4463021906591068
2,1.1725262060574408,0.4231624903692152,0.48474872806266855
3,1.1406037196454644,0.4202106806509425,0.5094840224208255
4,1.0804735720157623,0.3848977120184094,0.46873926562483287
5,1.0938188396238382,0.43016024452356694,0.5249718610562353
6,1.0264050270972391,0.46284976614158824,0.5222949308695888
7,1.0949429606543426,0.3875493175111468,0.47424711003525877
8,0.998267548602994,0.48422633314972574,0.5492567203170468
9,1.0265028855790652,0.45202506976855156,0.5183902347044356
10,1.0121241206903338,0.4160508504801042,0.4820387051518121
11,1.0155587034245415,0.4768077538960395,0.5384106437740622
