fold,subject_id,policy,chosen_variant,future_BA,future_macro_F1,WSBA
0,15,Diagnostic-guided,B1_SAME_SCALE_63,0.8466666666666667,0.8462730936923989,0.8466666666666667
0,15,Random expectation,uniform exact expectation,0.8658333333333333,0.8652606020482246,0.8658333333333333
0,15,Validation BA,B0_FULL_EXISTING,0.8666666666666667,0.8662184362440833,0.8666666666666667
0,15,Fixed Full,B0_FULL_EXISTING,0.8666666666666667,0.8662184362440833,0.8666666666666667
0,15,Oracle,B0_FULL_EXISTING,0.8666666666666667,0.8662184362440833,0.8666666666666667
0,3,Diagnostic-guided,B1_SAME_SCALE_63,0.89,0.8897983632880995,0.8300000000000001
0,3,Random expectation,uniform exact expectation,0.8875,0.887397337359965,0.8008333333333334
0,3,Validation BA,B0_FULL_EXISTING,0.8966666666666666,0.8966302816179054,0.8433333333333334
0,3,Fixed Full,B0_FULL_EXISTING,0.8966666666666666,0.8966302816179054,0.8433333333333334
0,3,Oracle,B0_FULL_EXISTING,0.8966666666666666,0.8966302816179054,0.8433333333333334
0,32,Diagnostic-guided,B1_SAME_SCALE_63,0.6933333333333334,0.6850674551051646,0.6366666666666667
0,32,Random expectation,uniform exact expectation,0.6966666666666667,0.6926932390433144,0.6491666666666667
0,32,Validation BA,B0_FULL_EXISTING,0.7433333333333333,0.7415958201777663,0.6633333333333333
0,32,Fixed Full,B0_FULL_EXISTING,0.7433333333333333,0.7415958201777663,0.6633333333333333
0,32,Oracle,B0_FULL_EXISTING,0.7433333333333333,0.7415958201777663,0.6633333333333333
0,33,Diagnostic-guided,B1_SAME_SCALE_63,0.84,0.838471930677685,0.84
0,33,Random expectation,uniform exact expectation,0.8591666666666666,0.8579211047753609,0.8591666666666666
0,33,Validation BA,B0_FULL_EXISTING,0.8966666666666666,0.896610297273415,0.8966666666666666
0,33,Fixed Full,B0_FULL_EXISTING,0.8966666666666666,0.896610297273415,0.8966666666666666
0,33,Oracle,B0_FULL_EXISTING,0.8966666666666666,0.896610297273415,0.8966666666666666
0,38,Diagnostic-guided,B1_SAME_SCALE_63,0.7366666666666667,0.7248405814577934,0.6666666666666666
0,38,Random expectation,uniform exact expectation,0.7316666666666667,0.7209245057640222,0.6491666666666667
0,38,Validation BA,B0_FULL_EXISTING,0.7533333333333333,0.7441975109373282,0.6766666666666667
0,38,Fixed Full,B0_FULL_EXISTING,0.7533333333333333,0.7441975109373282,0.6766666666666667
0,38,Oracle,B0_FULL_EXISTING,0.7533333333333333,0.7441975109373282,0.6766666666666667
0,47,Diagnostic-guided,B1_SAME_SCALE_63,0.8966666666666666,0.8962031148320415,0.8966666666666666
0,47,Random expectation,uniform exact expectation,0.8608333333333332,0.8579728796920394,0.8608333333333332
0,47,Validation BA,B0_FULL_EXISTING,0.8799999999999999,0.8791603228763982,0.8799999999999999
0,47,Fixed Full,B0_FULL_EXISTING,0.8799999999999999,0.8791603228763982,0.8799999999999999
0,47,Oracle,B0_FULL_EXISTING,0.8799999999999999,0.8791603228763982,0.8799999999999999
0,5,Diagnostic-guided,B1_SAME_SCALE_63,0.6866666666666665,0.6752269814366892,0.6866666666666665
0,5,Random expectation,uniform exact expectation,0.7191666666666666,0.7143126892537519,0.7191666666666666
