fold,seed,variant,checkpoint,sha256,protocol_matched_to_B1_B2_B4
0,0,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,False
0,0,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,1e2e4993f771e565a3e6e4c5185b54b75a660fd9509ef041e1fe6e4591e7a6b4,True
0,0,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,8f07b191e820355569845847cea9a75f8ea0406f119d6e3185faf60b5d4a990b,True
0,0,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold0/selected.pt,51e8da57570d308193378c9bf1e2d8b3c69bcfdeab03b9ceb0009c72711520b4,True
0,1,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed1_litebn/selected_best.pt,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,False
0,1,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,82fbb88865f868433ae2947b6d548138437375ca5a5dec2e0a650266f97527ef,True
0,1,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,3a3efe142173c70ee8d6b3e228b810828f96164efcd8ed97d3364debde072376,True
0,1,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold0/selected.pt,8b6380ff0555939e4c853a32d466c22a81990001104c18eb58d105137ac14ab0,True
0,2,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed2_litebn/selected_best.pt,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac,False
0,2,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,6d387da0ebadf2ff63d8f0c872f41b77d87f5307454b5fcf3195956b861ae930,True
0,2,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,f2ab507b56403e729f4275aef7a6ad58d43c0d928ffed2ab474ea2450e46bfaa,True
0,2,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold0/selected.pt,b9573b08da6c6ae78766a18db4eee9e61441ebd0feaae9b33602711998e717ab,True
1,0,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,False
