comparison,metric,delta_mean_pp,CI95_low_pp,CI95_high_pp,biological_subjects,bootstrap_draws
Diagnostic-guided minus Random expectation,future_BA,-0.6124999999999989,-1.5187499999999994,0.29791666666666716,40,20000
Diagnostic-guided minus Random expectation,future_macro_F1,-0.7078761733450133,-1.7365677431809587,0.33590964897203746,40,20000
Diagnostic-guided minus Random expectation,WSBA,-0.32499999999999946,-1.1042187500000011,0.47916666666666663,40,20000
Diagnostic-guided minus Validation BA,future_BA,-3.074999999999999,-4.341666666666664,-1.833333333333332,40,20000
Diagnostic-guided minus Validation BA,future_macro_F1,-3.2783640484269,-4.745316160785042,-1.836185239732448,40,20000
Diagnostic-guided minus Validation BA,WSBA,-2.7249999999999988,-3.799999999999998,-1.649999999999998,40,20000
Diagnostic-guided minus Fixed Full,future_BA,-3.074999999999999,-4.341666666666664,-1.833333333333332,40,20000
Diagnostic-guided minus Fixed Full,future_macro_F1,-3.2783640484269,-4.745316160785042,-1.836185239732448,40,20000
Diagnostic-guided minus Fixed Full,WSBA,-2.7249999999999988,-3.799999999999998,-1.649999999999998,40,20000
