comparison,metric,folds,fold_cluster_delta_pp,fold_cluster_CI95_low_pp,fold_cluster_CI95_high_pp,warning
Diagnostic-guided minus Random expectation,future_BA,5,-0.6124999999999989,-1.787499999999998,1.0916666666666666,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Random expectation,future_macro_F1,5,-0.7078761733450132,-1.9651948630426594,1.1608875592365608,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Random expectation,WSBA,5,-0.32499999999999946,-1.4583333333333317,1.2520833333333325,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Validation BA,future_BA,5,-3.074999999999999,-4.299999999999998,-1.5166666666666657,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Validation BA,future_macro_F1,5,-3.2783640484269,-4.596350046266371,-1.5771246295102757,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Validation BA,WSBA,5,-2.7249999999999988,-3.933333333333331,-1.2833333333333328,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Fixed Full,future_BA,5,-3.074999999999999,-4.299999999999998,-1.5166666666666657,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Fixed Full,future_macro_F1,5,-3.2783640484269,-4.596350046266371,-1.5771246295102757,only five fold clusters; descriptive sensitivity
Diagnostic-guided minus Fixed Full,WSBA,5,-2.7249999999999988,-3.933333333333331,-1.2833333333333328,only five fold clusters; descriptive sensitivity
