task,fold,seed,variant,subject_id,session,trials,BA,macro_F1,checkpoint_sha256,normalizer_sha256
OpenBMI_MI,0,0,B0_FULL_EXISTING,3,S1,100,0.79,0.7874278773155178,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,3,S2,100,0.87,0.8699869986998701,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,5,S1,100,0.8999999999999999,0.8993558776167472,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,5,S2,100,0.75,0.7469379491851402,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,6,S1,100,0.97,0.9699729756781104,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,6,S2,100,0.9099999999999999,0.9099189270343309,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,15,S1,100,0.89,0.8886526976414617,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,15,S2,100,0.87,0.8698828946051447,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,32,S1,100,0.5700000000000001,0.5664885573142454,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,32,S2,100,0.7,0.6998799519807923,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,33,S1,100,0.9,0.898989898989899,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,33,S2,100,0.88,0.8799519807923168,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,38,S1,100,0.65,0.6368917937545389,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,38,S2,100,0.77,0.757153415690001,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,47,S1,100,0.95,0.9499549594635172,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,0,B0_FULL_EXISTING,47,S2,100,0.86,0.8579545454545454,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,3,S1,100,0.86,0.8599439775910365,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,3,S2,100,0.94,0.9399038461538461,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,5,S1,100,0.9199999999999999,0.9199679871948779,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,5,S2,100,0.72,0.7144022847817217,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,6,S1,100,0.96,0.959983993597439,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
OpenBMI_MI,0,1,B0_FULL_EXISTING,6,S2,100,0.97,0.96999699969997,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe
