dataset,fold,seed,subject_id,n_trials,EEGNet_BA,EEGNet_macro_F1,EEGNet_accuracy,LiteBN_BA,LiteBN_macro_F1,LiteBN_accuracy,Frozen_LOGIT50_BA,Frozen_LOGIT50_macro_F1,Frozen_LOGIT50_accuracy,GLOBAL-ALPHA_BA,GLOBAL-ALPHA_macro_F1,GLOBAL-ALPHA_accuracy,CFRF-v1_BA,CFRF-v1_macro_F1,CFRF-v1_accuracy
OpenBMI,0,0,15,100,0.8300000000000001,0.8298468621759583,0.83,0.87,0.8698828946051447,0.87,0.8999999999999999,0.8998397435897436,0.9,0.8999999999999999,0.8998397435897436,0.9,0.8999999999999999,0.8998397435897436,0.9
OpenBMI,0,0,38,100,0.76,0.7519636213311285,0.76,0.77,0.757153415690001,0.77,0.75,0.736036321402175,0.75,0.75,0.736036321402175,0.75,0.75,0.736036321402175,0.75
OpenBMI,0,0,6,100,0.9299999999999999,0.9298245614035088,0.93,0.9099999999999999,0.9099189270343309,0.91,0.95,0.9499949994999499,0.95,0.95,0.9499949994999499,0.95,0.95,0.9499949994999499,0.95
OpenBMI,0,0,33,100,0.76,0.7552019583843329,0.76,0.88,0.8799519807923168,0.88,0.85,0.8487750781328763,0.85,0.85,0.8487750781328763,0.85,0.85,0.8487750781328763,0.85
OpenBMI,0,0,32,100,0.65,0.6496847162446202,0.65,0.7,0.6998799519807923,0.7,0.63,0.6290726817042607,0.63,0.6200000000000001,0.6186270574066639,0.62,0.63,0.6290726817042607,0.63
OpenBMI,0,0,3,100,0.84,0.8383838383838383,0.84,0.87,0.8699869986998701,0.87,0.86,0.8590982286634461,0.86,0.86,0.8590982286634461,0.86,0.86,0.8590982286634461,0.86
OpenBMI,0,0,5,100,0.73,0.72997299729973,0.73,0.75,0.7469379491851402,0.75,0.75,0.7487689679429204,0.75,0.75,0.7487689679429204,0.75,0.75,0.7487689679429204,0.75
OpenBMI,0,0,47,100,0.8999999999999999,0.8993558776167472,0.9,0.86,0.8579545454545454,0.86,0.9199999999999999,0.9194847020933977,0.92,0.9199999999999999,0.9194847020933977,0.92,0.9199999999999999,0.9194847020933977,0.92
OpenBMI,1,0,26,100,0.86,0.859775641025641,0.86,0.85,0.84998499849985,0.85,0.87,0.8698828946051447,0.87,0.87,0.8698828946051447,0.87,0.87,0.8698828946051447,0.87
OpenBMI,1,0,2,100,0.81,0.8090644156366193,0.81,0.78,0.7796474358974359,0.78,0.79,0.78997899789979,0.79,0.79,0.78997899789979,0.79,0.79,0.78997899789979,0.79
OpenBMI,1,0,14,100,0.72,0.7126436781609196,0.72,0.75,0.7457023700539112,0.75,0.73,0.7297567811029927,0.73,0.73,0.7297567811029927,0.73,0.73,0.7297567811029927,0.73
OpenBMI,1,0,31,100,0.8,0.7960016319869441,0.8,0.79,0.7874278773155178,0.79,0.8,0.7947454844006567,0.8,0.8,0.7947454844006567,0.8,0.8,0.7947454844006567,0.8
OpenBMI,1,0,28,100,0.78,0.7726333195535345,0.78,0.9299999999999999,0.9298245614035088,0.93,0.9199999999999999,0.9197109594540345,0.92,0.9199999999999999,0.9197109594540345,0.92,0.9199999999999999,0.9197109594540345,0.92
OpenBMI,1,0,35,100,0.86,0.8590982286634461,0.86,0.8,0.7933030177759405,0.8,0.8300000000000001,0.8260869565217391,0.83,0.8300000000000001,0.8260869565217391,0.83,0.8300000000000001,0.8260869565217391,0.83
OpenBMI,1,0,40,100,0.8200000000000001,0.8197115384615384,0.82,0.81,0.8067338012409724,0.81,0.86,0.8585858585858586,0.86,0.86,0.8585858585858586,0.86,0.86,0.8585858585858586,0.86
OpenBMI,1,0,43,100,0.85,0.84998499849985,0.85,0.95,0.9499549594635172,0.95,0.94,0.9399759903961584,0.94,0.94,0.9399759903961584,0.94,0.94,0.9399759903961584,0.94
OpenBMI,2,0,50,100,0.6699999999999999,0.6697027324592133,0.67,0.63,0.6236395076797885,0.63,0.6599999999999999,0.6594551282051282,0.66,0.6599999999999999,0.6594551282051282,0.66,0.6599999999999999,0.6594551282051282,0.66
OpenBMI,2,0,52,100,0.78,0.779205138498595,0.78,0.81,0.8090644156366193,0.81,0.8400000000000001,0.8397435897435898,0.84,0.8400000000000001,0.8397435897435898,0.84,0.8500000000000001,0.849624060150376,0.85
OpenBMI,2,0,23,100,0.7,0.6980676328502415,0.7,0.74,0.7348021215830274,0.74,0.77,0.7660461804495982,0.77,0.77,0.7660461804495982,0.77,0.76,0.7552019583843329,0.76
OpenBMI,2,0,1,100,0.63,0.6254681647940075,0.63,0.65,0.6266666666666667,0.65,0.65,0.6266666666666667,0.65,0.65,0.6266666666666667,0.65,0.66,0.6392190152801358,0.66
OpenBMI,2,0,30,100,0.69,0.6862030569895738,0.69,0.75,0.7493734335839599,0.75,0.78,0.7796474358974359,0.78,0.78,0.7796474358974359,0.78,0.78,0.7796474358974359,0.78
OpenBMI,2,0,48,100,0.6699999999999999,0.6624040920716112,0.67,0.66,0.6565656565656566,0.66,0.7,0.7,0.7,0.69,0.6899689968996899,0.69,0.69,0.6899689968996899,0.69
OpenBMI,2,0,11,100,0.71,0.6991389148251893,0.71,0.73,0.7286704853783539,0.73,0.74,0.7348021215830274,0.74,0.74,0.7348021215830274,0.74,0.74,0.7348021215830274,0.74
OpenBMI,2,0,8,100,0.65,0.6496847162446202,0.65,0.8500000000000001,0.8492613807657522,0.85,0.8400000000000001,0.8389694041867954,0.84,0.8300000000000001,0.8291628982011858,0.83,0.8200000000000001,0.818840579710145,0.82
OpenBMI,3,0,45,100,0.76,0.7596153846153846,0.76,0.74,0.74,0.74,0.79,0.78997899789979,0.79,0.78,0.7799119647859143,0.78,0.78,0.7799119647859143,0.78
OpenBMI,3,0,34,100,0.6599999999999999,0.6594551282051282,0.66,0.61,0.5953937130407718,0.61,0.73,0.7237851662404092,0.73,0.73,0.7237851662404092,0.73,0.73,0.7237851662404092,0.73
OpenBMI,3,0,27,100,0.9199999999999999,0.9197109594540345,0.92,0.95,0.9499549594635172,0.95,0.95,0.9499549594635172,0.95,0.95,0.9499549594635172,0.95,0.95,0.9499549594635172,0.95
OpenBMI,3,0,49,100,0.84,0.84,0.84,0.84,0.8383838383838383,0.84,0.8400000000000001,0.839421918908069,0.84,0.8400000000000001,0.8397435897435898,0.84,0.8400000000000001,0.8397435897435898,0.84
OpenBMI,3,0,10,100,0.71,0.7097387648883995,0.71,0.81,0.8095238095238095,0.81,0.81,0.8090644156366193,0.81,0.8,0.7992773986350863,0.8,0.8,0.7992773986350863,0.8
OpenBMI,3,0,22,100,0.66,0.6550324675324675,0.66,0.7,0.6980676328502415,0.7,0.6799999999999999,0.6767676767676768,0.68,0.6799999999999999,0.6767676767676768,0.68,0.6799999999999999,0.6767676767676768,0.68
OpenBMI,3,0,19,100,0.73,0.7253585596582239,0.73,0.78,0.7799119647859143,0.78,0.76,0.7591328783621036,0.76,0.76,0.7591328783621036,0.76,0.76,0.7591328783621036,0.76
OpenBMI,3,0,16,100,0.8,0.7996794871794872,0.8,0.87,0.8699869986998701,0.87,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
OpenBMI,4,0,9,100,0.61,0.6068152031454783,0.61,0.6,0.586606035551881,0.6,0.62,0.6124031007751938,0.62,0.62,0.6124031007751938,0.62,0.62,0.6124031007751938,0.62
OpenBMI,4,0,53,100,0.77,0.767182913250329,0.77,0.8200000000000001,0.818840579710145,0.82,0.8200000000000001,0.8193496587715776,0.82,0.8200000000000001,0.8193496587715776,0.82,0.8200000000000001,0.8193496587715776,0.82
OpenBMI,4,0,7,100,0.72,0.72,0.72,0.73,0.7237851662404092,0.73,0.74,0.7383252818035426,0.74,0.74,0.7383252818035426,0.74,0.74,0.7383252818035426,0.74
OpenBMI,4,0,20,100,0.88,0.88,0.88,0.9099999999999999,0.9095568284594513,0.91,0.9099999999999999,0.9095568284594513,0.91,0.9099999999999999,0.9095568284594513,0.91,0.9099999999999999,0.9095568284594513,0.91
OpenBMI,4,0,41,100,0.6799999999999999,0.6767676767676768,0.68,0.77,0.7647058823529411,0.77,0.75,0.7487689679429204,0.75,0.75,0.7487689679429204,0.75,0.75,0.7487689679429204,0.75
OpenBMI,4,0,46,100,0.66,0.6458333333333333,0.66,0.69,0.6615351020853806,0.69,0.6799999999999999,0.6567996567996568,0.68,0.6799999999999999,0.6567996567996568,0.68,0.6799999999999999,0.6567996567996568,0.68
OpenBMI,4,0,21,100,0.84,0.84,0.84,0.9099999999999999,0.9097744360902256,0.91,0.91,0.90999099909991,0.91,0.91,0.90999099909991,0.91,0.91,0.90999099909991,0.91
OpenBMI,4,0,44,100,0.67,0.66996699669967,0.67,0.84,0.8368013055895553,0.84,0.82,0.8173701298701299,0.82,0.82,0.8173701298701299,0.82,0.82,0.8173701298701299,0.82
WBCIC,0,0,sub-6,200,0.9099999999999999,0.9097744360902256,0.91,0.935,0.934998374959374,0.935,0.9299999999999999,0.9299719887955182,0.93,0.9299999999999999,0.9299719887955182,0.93,0.94,0.9399759903961584,0.94
WBCIC,0,0,sub-22,200,0.72,0.7177134791813691,0.72,0.78,0.7794486215538847,0.78,0.765,0.7628598097832942,0.765,0.765,0.7623802421699234,0.765,0.77,0.7685185185185186,0.77
WBCIC,0,0,sub-44,200,0.77,0.7685185185185186,0.77,0.785,0.7826032002831214,0.785,0.795,0.7922525398393758,0.795,0.795,0.7922525398393758,0.795,0.79,0.7869318181818181,0.79
WBCIC,0,0,sub-35,200,0.925,0.9249080123150859,0.925,0.885,0.8841630782402861,0.885,0.9299999999999999,0.9299719887955182,0.93,0.925,0.9249530956848031,0.925,0.905,0.9048072346501665,0.905
WBCIC,0,0,sub-18,200,0.61,0.5953937130407718,0.61,0.645,0.6410424934907354,0.645,0.675,0.6743405395926751,0.675,0.6699999999999999,0.6694711538461539,0.67,0.675,0.6747967479674797,0.675
WBCIC,0,0,sub-9,200,0.5900000000000001,0.5729166666666666,0.59,0.55,0.5471014492753623,0.55,0.6,0.5931237920862578,0.6,0.595,0.5874818568409259,0.595,0.585,0.5772962236765042,0.585
WBCIC,0,0,sub-49,200,0.875,0.8749968749218731,0.875,0.875,0.8744696342045141,0.875,0.895,0.8947869435607105,0.895,0.895,0.8947869435607105,0.895,0.8799999999999999,0.8795664391810518,0.88
WBCIC,1,0,sub-28,200,0.675,0.6747967479674797,0.675,0.545,0.4326506437233081,0.545,0.575,0.49161159125571935,0.575,0.575,0.49161159125571935,0.575,0.575,0.49161159125571935,0.575
WBCIC,1,0,sub-37,200,0.885,0.8849280800500312,0.885,0.855,0.8547057792028858,0.855,0.8999999999999999,0.899749373433584,0.9,0.8999999999999999,0.899749373433584,0.9,0.8999999999999999,0.899749373433584,0.9
WBCIC,1,0,sub-12,200,0.715,0.7148217636022514,0.715,0.75,0.74997499749975,0.75,0.73,0.72997299729973,0.73,0.73,0.72997299729973,0.73,0.735,0.7349933748343709,0.735
WBCIC,1,0,sub-30,200,0.835,0.8342999171499585,0.835,0.77,0.7622984704423315,0.77,0.8049999999999999,0.8013801532937791,0.805,0.8049999999999999,0.8013801532937791,0.805,0.8049999999999999,0.8013801532937791,0.805
WBCIC,1,0,sub-45,200,0.935,0.9349853717086345,0.935,0.925,0.9249981249531238,0.925,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
