dataset,fold,seed,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,delta_vs_Frozen_LOGIT50_pp,median_subject_delta_vs_EEGNet_pp,median_subject_delta_vs_Frozen_LOGIT50_pp,harm_le_minus_1pp_vs_EEGNet,harm_le_minus_1pp_vs_Frozen_LOGIT50,n_subjects
OpenBMI,0,0,GLOBAL-ALPHA,0.825,0.8225781373413966,0.825,2.4999999999999996,-0.12499999999999872,2.0000000000000018,0.0,0.25,0.0,8
OpenBMI,1,0,GLOBAL-ALPHA,0.8425,0.8410904903707968,0.8425,3.0,0.0,1.0000000000000009,0.0,0.25,0.0,8
OpenBMI,2,0,GLOBAL-ALPHA,0.745,0.7406866272057903,0.745,5.7500000000000036,-0.2500000000000002,4.5000000000000036,0.0,0.125,0.25,8
OpenBMI,3,0,GLOBAL-ALPHA,0.8,0.7985717042497871,0.8,4.000000000000001,-0.2500000000000002,2.9999999999999973,0.0,0.0,0.25,8
OpenBMI,4,0,GLOBAL-ALPHA,0.78125,0.7765705779402978,0.78125,5.250000000000001,0.0,4.0000000000000036,0.0,0.0,0.0,8
OpenBMI,0,0,CFRF-v1,0.8262499999999999,0.8238838403785962,0.8262499999999999,2.6249999999999982,0.0,2.0000000000000018,0.0,0.25,0.0,8
OpenBMI,1,0,CFRF-v1,0.8425,0.8410904903707968,0.8425,3.0,0.0,1.0000000000000009,0.0,0.25,0.0,8
OpenBMI,2,0,CFRF-v1,0.745,0.7408449120137839,0.745,5.7500000000000036,-0.2500000000000002,4.5000000000000036,0.0,0.125,0.375,8
OpenBMI,3,0,CFRF-v1,0.8,0.7985717042497871,0.8,4.000000000000001,-0.2500000000000002,2.9999999999999973,0.0,0.0,0.25,8
OpenBMI,4,0,CFRF-v1,0.78125,0.7765705779402978,0.78125,5.250000000000001,0.0,4.0000000000000036,0.0,0.0,0.0,8
WBCIC,0,0,GLOBAL-ALPHA,0.7964285714285714,0.7944711172482014,0.7964285714285714,2.499999999999999,-0.21428571428571608,2.0000000000000018,0.0,0.0,0.0,7
WBCIC,1,0,GLOBAL-ALPHA,0.7933333333333333,0.7787601629097951,0.7933333333333333,-1.9166666666666703,0.0,-0.7500000000000007,0.0,0.5,0.0,6
WBCIC,2,0,GLOBAL-ALPHA,0.7558333333333332,0.7548687286960861,0.7558333333333332,0.6666666666666654,-0.08333333333333526,0.2500000000000002,0.0,0.16666666666666666,0.0,6
WBCIC,3,0,GLOBAL-ALPHA,0.8405839646464647,0.8400137762081895,0.840534188034188,2.5902777777777812,1.850371707708594e-15,1.7500000000000016,0.0,0.0,0.0,6
WBCIC,4,0,GLOBAL-ALPHA,0.7791666666666668,0.7762627277510461,0.7791666666666668,1.1666666666666679,-0.0833333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,6
WBCIC,0,0,CFRF-v1,0.7921428571428571,0.7902704246530996,0.7921428571428571,2.0714285714285685,-0.6428571428571466,2.0000000000000018,-0.5000000000000004,0.14285714285714285,0.42857142857142855,7
WBCIC,1,0,CFRF-v1,0.7933333333333333,0.7787533091476645,0.7933333333333333,-1.916666666666672,-1.850371707708594e-15,-1.0000000000000064,0.0,0.5,0.0,6
WBCIC,2,0,CFRF-v1,0.7541666666666665,0.753107433620599,0.7541666666666665,0.5000000000000004,-0.2500000000000002,0.0,-0.2500000000000002,0.3333333333333333,0.0,6
WBCIC,3,0,CFRF-v1,0.8397159090909091,0.8391802920396768,0.8396794871794873,2.503472222222225,-0.08680555555555433,1.5000000000000013,0.0,0.0,0.16666666666666666,6
WBCIC,4,0,CFRF-v1,0.7774999999999999,0.7743922627994472,0.7774999999999999,1.0000000000000029,-0.24999999999999836,-0.24999999999999467,-0.2500000000000002,0.0,0.3333333333333333,6
