fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_subject_split,probe
2,1,mi,0,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.00562219423929094,"[-0.00767826247651902, -0.003687822658276704]",0.0,"{'mean': -0.00562219423929094, 'ci95': [-0.00767826247651902, -0.003687822658276704], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,1,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.00515223103792116,"[-0.00658229872810368, -0.0039030068284076572]",0.0,"{'mean': -0.00515223103792116, 'ci95': [-0.00658229872810368, -0.0039030068284076572], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,2,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.014613471959379724,"[-0.022288372879318074, -0.007509579693126138]",0.0,"{'mean': -0.014613471959379724, 'ci95': [-0.022288372879318074, -0.007509579693126138], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,3,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.024474089027768466,"[-0.03011199346827181, -0.019155590290984365]",0.0,"{'mean': -0.024474089027768466, 'ci95': [-0.03011199346827181, -0.019155590290984365], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,4,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.06518130160259061,"[0.04781366161705484, 0.08349750841985173]",1.0,"{'mean': 0.06518130160259061, 'ci95': [0.04781366161705484, 0.08349750841985173], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,5,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0012513400414642809,"[-0.0064466998049889515, 0.008974429097535012]",0.6183,"{'mean': 0.0012513400414642809, 'ci95': [-0.0064466998049889515, 0.008974429097535012], 'sign_probability': 0.6183, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,mi,6,2,False,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.013405007572057679,"[0.005358966140869009, 0.021897333210358562]",0.9996,"{'mean': 0.013405007572057679, 'ci95': [0.005358966140869009, 0.021897333210358562], 'sign_probability': 0.9996, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,0,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.0018552729278644656,"[-0.005461189052269647, 0.0012438697480758787]",0.1347,"{'mean': -0.0018552729278644656, 'ci95': [-0.005461189052269647, 0.0012438697480758787], 'sign_probability': 0.1347, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,1,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.00038416708236866607,"[-0.005208478467190496, 0.0037040949567843026]",0.4655,"{'mean': -0.00038416708236866607, 'ci95': [-0.005208478467190496, 0.0037040949567843026], 'sign_probability': 0.4655, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,2,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.00010162010579211635,"[-0.00332747885147625, 0.0036808639046739923]",0.5146,"{'mean': 0.00010162010579211635, 'ci95': [-0.00332747885147625, 0.0036808639046739923], 'sign_probability': 0.5146, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,3,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.002025085455061757,"[-0.005257924927780445, 0.0012725940699881695]",0.1133,"{'mean': -0.002025085455061757, 'ci95': [-0.005257924927780445, 0.0012725940699881695], 'sign_probability': 0.1133, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,4,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.003130844905145037,"[-0.0012443211592293646, 0.0075707677949005065]",0.9197,"{'mean': 0.003130844905145037, 'ci95': [-0.0012443211592293646, 0.0075707677949005065], 'sign_probability': 0.9197, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,5,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.001003522368477733,"[-0.0043057500056801045, 0.0023054240106455135]",0.2748,"{'mean': -0.001003522368477733, 'ci95': [-0.0043057500056801045, 0.0023054240106455135], 'sign_probability': 0.2748, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,erp,6,2,False,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.0026459142224300614,"[-0.0012697165198396108, 0.006661677502454419]",0.9076,"{'mean': 0.0026459142224300614, 'ci95': [-0.0012697165198396108, 0.006661677502454419], 'sign_probability': 0.9076, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,0,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.009116423145360764,"[-0.010896430362306099, -0.007370741232048665]",0.0,"{'mean': -0.009116423145360764, 'ci95': [-0.010896430362306099, -0.007370741232048665], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,1,1,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.007256610242196538,"[-0.008691550993357677, -0.005927384439652959]",0.0,"{'mean': -0.007256610242196538, 'ci95': [-0.008691550993357677, -0.005927384439652959], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,2,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.03831481326113259,"[-0.04431920456077246, -0.03285356897970189]",0.0,"{'mean': -0.03831481326113259, 'ci95': [-0.04431920456077246, -0.03285356897970189], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,3,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.03696752100070458,"[-0.04609004179197757, -0.02816896106340867]",0.0,"{'mean': -0.03696752100070458, 'ci95': [-0.04609004179197757, -0.02816896106340867], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,4,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.021999152619958967,"[0.011419274180497558, 0.03348369675142302]",1.0,"{'mean': 0.021999152619958967, 'ci95': [0.011419274180497558, 0.03348369675142302], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,5,4,True,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,0.18547415715365345,"[0.16309604857093277, 0.20913000854184477]",1.0,"{'mean': 0.18547415715365345, 'ci95': [0.16309604857093277, 0.20913000854184477], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
2,1,ssvep,6,2,False,32,85,unique_subject_aggregate_across_inner_splits_then_subject_bootstrap,-0.010384628868044608,"[-0.013468113133505955, -0.006993613268371777]",0.0,"{'mean': -0.010384628868044608, 'ci95': [-0.013468113133505955, -0.006993613268371777], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100,full_128D_ridge
