epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task,train_persistence,train_order,train_budget,train_total,train_grad_norm,lambda_p_effective,lambda_order_effective,lambda_budget_effective,orthogonality_error,gate_mean_mi,gate_mean_erp,gate_mean_ssvep,gate_active_mi,gate_active_erp,gate_active_ssvep,elapsed_seconds
0,0.6021212121212122,0.5427777777777778,0.5280303030303031,0.7355555555555555,0.9006937926060685,1.1885822348505537,0.1500819826794562,0.4987976356087444,0.9006937926060685,0.9602592609753119,0.0,0.0,0.0,4.172325134277344e-07,0.49823206663131714,0.4978475570678711,0.5009731650352478,0,0,3,21.960532188415527
1,0.7061616161616161,0.6588888888888889,0.5457070707070707,0.913888888888889,0.614895645146058,1.450528037882297,0.2575236556128921,0.5005086409711392,0.614895645146058,1.0698262352809729,0.0,0.0,0.0,1.1920928955078125e-07,0.49735432863235474,0.4964647889137268,0.5100775957107544,0,0,4,42.1307487487793
2,0.7252020202020203,0.7105555555555556,0.5239393939393939,0.9411111111111112,0.5341464988539152,1.623702999587371,0.3072556670859595,0.5013800970861845,0.5341464988539152,1.1098288297653198,0.0,0.0,0.0,2.384185791015625e-07,0.49656617641448975,0.4953892230987549,0.5126686692237854,0,0,4,62.263017416000366
3,0.7259652076318742,0.6827777777777777,0.5556734006734007,0.9394444444444444,0.5048409424652563,1.7304842839731234,0.3256818295639252,0.501674750697947,0.5048409424652563,1.1340250835240444,0.0,0.0,0.0,1.1920928955078125e-07,0.49536988139152527,0.494474858045578,0.5147956609725952,0,0,4,82.06228494644165
4,0.7367003367003365,0.7238888888888888,0.5473232323232323,0.9388888888888889,0.48875521833651536,1.8178884158624666,0.34437206276109283,0.5016872253373404,0.48875521833651536,1.0602748594551443,0.0,0.0,0.0,1.1920928955078125e-07,0.4952036142349243,0.4934406876564026,0.5163662433624268,0,0,4,102.05335354804993
5,0.7305499438832772,0.6972222222222222,0.5538720538720538,0.9405555555555556,0.4811095545225054,0.636663899243435,0.028160935150302737,0.5010222419400081,0.5217810788444269,1.1150575959793876,0.0625,0.03125,0.0,2.384185791015625e-07,0.4937698245048523,0.49030959606170654,0.5168454647064209,0,0,4,122.01837015151978
6,0.745493827160494,0.7438888888888889,0.5448148148148149,0.9477777777777778,0.4692444918311645,0.5198069938989444,0.009544741283997755,0.49968118701025704,0.5348169090591859,1.0400970216109373,0.125,0.0625,0.0,3.5762786865234375e-07,0.49183914065361023,0.48837214708328247,0.5173628926277161,0,0,4,141.95982694625854
7,0.7517732884399551,0.735,0.5775420875420876,0.9427777777777777,0.4587580121566202,0.49844882031467475,0.009173023314258762,0.49862254139418916,0.5530771329024128,1.0626469449462177,0.1875,0.09375,0.0,1.7881393432617188e-07,0.48966243863105774,0.486905962228775,0.517396092414856,0,0,4,161.8769543170929
8,0.7473681257014592,0.7288888888888889,0.5543265993265993,0.9588888888888889,0.4555090005709746,0.45362450725564335,0.01020650726647299,0.4975171039037615,0.5701909385551917,1.1154415106104913,0.25,0.125,0.0,1.7881393432617188e-07,0.4885174334049225,0.48614293336868286,0.5164631605148315,0,0,4,181.83035039901733
9,0.7566273849607184,0.7494444444444444,0.5787710437710437,0.9416666666666667,0.4511305831860159,0.41205574391044186,0.011202001226108486,0.4963685597214743,0.5816483185670086,1.1607216980969794,0.3125,0.15625,0.0,2.384185791015625e-07,0.48708784580230713,0.48418450355529785,0.5156393051147461,0,0,4,201.6829264163971
