frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,purpose,group_count_before,selected_count
15160,15160,ssvep,12,1,6.67,1,0,train_geometry,25,25
15161,15161,ssvep,12,1,5.45,1,0,train_geometry,25,25
15162,15162,ssvep,12,1,5.45,1,0,train_geometry,25,25
15163,15163,ssvep,12,1,8.57,1,0,train_geometry,25,25
15164,15164,ssvep,12,1,8.57,1,0,train_geometry,25,25
15165,15165,ssvep,12,1,5.45,1,0,train_geometry,25,25
15166,15166,ssvep,12,1,6.67,1,0,train_geometry,25,25
15167,15167,ssvep,12,1,6.67,1,0,train_geometry,25,25
15168,15168,ssvep,12,1,8.57,1,0,train_geometry,25,25
15169,15169,ssvep,12,1,6.67,1,0,train_geometry,25,25
15170,15170,ssvep,12,1,6.67,1,0,train_geometry,25,25
15171,15171,ssvep,12,1,5.45,1,0,train_geometry,25,25
15172,15172,ssvep,12,1,5.45,1,0,train_geometry,25,25
15173,15173,ssvep,12,1,5.45,1,0,train_geometry,25,25
15174,15174,ssvep,12,1,12.0,1,0,train_geometry,25,25
15175,15175,ssvep,12,1,6.67,1,0,train_geometry,25,25
15176,15176,ssvep,12,1,8.57,1,0,train_geometry,25,25
15177,15177,ssvep,12,1,8.57,1,0,train_geometry,25,25
15178,15178,ssvep,12,1,12.0,1,0,train_geometry,25,25
15179,15179,ssvep,12,1,12.0,1,0,train_geometry,25,25
15180,15180,ssvep,12,1,5.45,1,0,train_geometry,25,25
15181,15181,ssvep,12,1,8.57,1,0,train_geometry,25,25
15182,15182,ssvep,12,1,8.57,1,0,train_geometry,25,25
15183,15183,ssvep,12,1,5.45,1,0,train_geometry,25,25
15184,15184,ssvep,12,1,8.57,1,0,train_geometry,25,25
15185,15185,ssvep,12,1,8.57,1,0,train_geometry,25,25
15186,15186,ssvep,12,1,6.67,1,0,train_geometry,25,25
15187,15187,ssvep,12,1,12.0,1,0,train_geometry,25,25
15188,15188,ssvep,12,1,6.67,1,0,train_geometry,25,25
15189,15189,ssvep,12,1,8.57,1,0,train_geometry,25,25
15190,15190,ssvep,12,1,8.57,1,0,train_geometry,25,25
15191,15191,ssvep,12,1,5.45,1,0,train_geometry,25,25
15192,15192,ssvep,12,1,8.57,1,0,train_geometry,25,25
15193,15193,ssvep,12,1,5.45,1,0,train_geometry,25,25
15194,15194,ssvep,12,1,12.0,1,0,train_geometry,25,25
15195,15195,ssvep,12,1,12.0,1,0,train_geometry,25,25
15196,15196,ssvep,12,1,8.57,1,0,train_geometry,25,25
15197,15197,ssvep,12,1,5.45,1,0,train_geometry,25,25
15198,15198,ssvep,12,1,12.0,1,0,train_geometry,25,25
15199,15199,ssvep,12,1,12.0,1,0,train_geometry,25,25
15200,15200,ssvep,12,1,6.67,1,0,train_geometry,25,25
15201,15201,ssvep,12,1,8.57,1,0,train_geometry,25,25
15202,15202,ssvep,12,1,5.45,1,0,train_geometry,25,25
15203,15203,ssvep,12,1,8.57,1,0,train_geometry,25,25
15204,15204,ssvep,12,1,8.57,1,0,train_geometry,25,25
15205,15205,ssvep,12,1,5.45,1,0,train_geometry,25,25
15206,15206,ssvep,12,1,6.67,1,0,train_geometry,25,25
15207,15207,ssvep,12,1,12.0,1,0,train_geometry,25,25
15208,15208,ssvep,12,1,5.45,1,0,train_geometry,25,25
15209,15209,ssvep,12,1,6.67,1,0,train_geometry,25,25
15210,15210,ssvep,12,1,5.45,1,0,train_geometry,25,25
15211,15211,ssvep,12,1,8.57,1,0,train_geometry,25,25
15212,15212,ssvep,12,1,12.0,1,0,train_geometry,25,25
15213,15213,ssvep,12,1,6.67,1,0,train_geometry,25,25
15214,15214,ssvep,12,1,6.67,1,0,train_geometry,25,25
15215,15215,ssvep,12,1,6.67,1,0,train_geometry,25,25
15216,15216,ssvep,12,1,12.0,1,0,train_geometry,25,25
15217,15217,ssvep,12,1,5.45,1,0,train_geometry,25,25
15218,15218,ssvep,12,1,12.0,1,0,train_geometry,25,25
15219,15219,ssvep,12,1,12.0,1,0,train_geometry,25,25
15220,15220,ssvep,12,1,12.0,1,0,train_geometry,25,25
15221,15221,ssvep,12,1,12.0,1,0,train_geometry,25,25
15222,15222,ssvep,12,1,5.45,1,0,train_geometry,25,25
15223,15223,ssvep,12,1,12.0,1,0,train_geometry,25,25
15224,15224,ssvep,12,1,5.45,1,0,train_geometry,25,25
15225,15225,ssvep,12,1,6.67,1,0,train_geometry,25,25
15226,15226,ssvep,12,1,12.0,1,0,train_geometry,25,25
15227,15227,ssvep,12,1,6.67,1,0,train_geometry,25,25
15228,15228,ssvep,12,1,12.0,1,0,train_geometry,25,25
15229,15229,ssvep,12,1,5.45,1,0,train_geometry,25,25
15230,15230,ssvep,12,1,8.57,1,0,train_geometry,25,25
15231,15231,ssvep,12,1,6.67,1,0,train_geometry,25,25
15232,15232,ssvep,12,1,8.57,1,0,train_geometry,25,25
