scope,subjects,mean_Delta_S2_BA,mean_Delta_S3_BA,Spearman,Spearman_CI95_low,Spearman_CI95_high,sign_concordance,harm_always,harm_certified,coverage
EEGNet,41,0.0007625030795762466,0.003136805042292838,0.1862005884778532,-0.17220300096048202,0.5058472909096499,0.4634146341463415,0.4146341463414634,0.4,0.4878048780487805
EEGConformer,41,0.0017955982590128873,0.002721832142563849,0.3106889427991859,-0.016330818429902437,0.5914186526326393,0.6585365853658537,0.3902439024390244,0.16666666666666666,0.43902439024390244
Pooled,41,0.0012790506692945665,0.0029293185924283436,0.3149962980469522,-0.018261218132392776,0.5985674364356889,0.5365853658536586,0.3902439024390244,0.35,0.4878048780487805
