scope,backbone,subject_id,anchor_S1_validation_confidence,anchor_S1_validation_BA,adapted_S1_validation_BA,parameter_relative_change,anchor_S2_BA,adapted_S2_BA,Delta_S2_BA,anchor_S3_BA,adapted_S3_BA,Delta_S3_BA,Delta_S2_macro_F1,Delta_S3_macro_F1,S1_validation_BA_delta,LCB_S2_90
EEGConformer,EEGConformer,1,0.759051696536746,0.8777777777777779,0.8722222222222223,0.2299306889375051,0.9316666666666666,0.9316666666666666,-1.0003572044799587e-16,0.8966666666666666,0.8966666666666666,3.3248866622888805e-17,-7.62082339466665e-05,-3.782929046749952e-05,-0.005555555555555536,-0.006666666666666667
EEGConformer,EEGConformer,11,0.9054659169254092,0.888888888888889,0.9055555555555556,0.33092582225799555,0.79,0.7949999999999999,0.004999999999999967,0.6866666666666666,0.71,0.0233333333333333,0.005733138390267502,0.022183257283374336,0.016666666666666607,-0.006666666666666667
EEGConformer,EEGConformer,12,0.7389157572993041,0.5777777777777778,0.5833333333333334,0.20147487521171567,0.54,0.5383333333333333,-0.0016666666666667006,0.7366666666666667,0.7333333333333334,-0.003333333333333296,0.0007783821812620667,-0.0029112562780008668,0.005555555555555536,-0.013333333333333332
EEGConformer,EEGConformer,13,0.9384414724039303,0.9222222222222222,0.9500000000000002,0.32896075894435245,0.5633333333333334,0.56,-0.003333333333333334,0.8533333333333334,0.87,0.016666666666666666,-0.004158509042917001,0.016517352297394535,0.027777777777778012,-0.018333333333333337
EEGConformer,EEGConformer,14,0.7064087497412933,0.6222222222222222,0.6555555555555556,0.15480601787567133,0.5,0.5133333333333333,0.013333333333333334,0.5833333333333334,0.5766666666666667,-0.006666666666666633,0.014756066706600434,-0.0031569024015250997,0.033333333333333326,-0.001666666666666667
EEGConformer,EEGConformer,16,0.6712358213670312,0.5444444444444444,0.5777777777777778,0.21141687532265976,0.54,0.5583333333333335,0.018333333333333368,0.5383333333333333,0.54,0.0016666666666666668,0.0152904447574164,0.0003075219881962996,0.03333333333333344,2.7105054312137672e-18
EEGConformer,EEGConformer,17,0.8167631368752021,0.7388888888888889,0.75,0.282178151110808,0.8333333333333334,0.8316666666666667,-0.001666666666666667,0.8000000000000002,0.7983333333333333,-0.0016666666666666993,-0.0014408699535280003,-0.0017413648669247217,0.011111111111111072,-0.013333333333333332
EEGConformer,EEGConformer,18,0.7378754806738138,0.5222222222222221,0.5222222222222223,0.3208635325233141,0.6783333333333333,0.6633333333333334,-0.015,0.605,0.6133333333333333,0.008333333333333333,-0.015884894479373267,0.006332461267972533,1.1102230246251565e-16,-0.028333333333333332
EEGConformer,EEGConformer,19,0.650872750886608,0.5388888888888889,0.5444444444444444,0.14562052488327018,0.9683333333333333,0.9733333333333333,0.005,0.9383333333333334,0.9383333333333334,3.3248866622888805e-17,0.004995705424093915,6.242784993200125e-06,0.005555555555555536,0.0
EEGConformer,EEGConformer,2,0.8390106610173872,0.7055555555555556,0.7166666666666667,0.36437919239203137,0.59,0.5733333333333333,-0.0166666666666667,0.7516666666666666,0.745,-0.006666666666666667,-0.0217450641677977,-0.008000989509852334,0.011111111111111072,-0.03166666666666667
