scope,confidence,subjects,certificate_positive_subjects,coverage,future_harm_given_LCB_positive,primary_gate_use,bootstrap_resamples_within_subject
EEGNet,90% one-sided,41,4,0.0975609756097561,0.25,False,2000
EEGConformer,90% one-sided,41,9,0.21951219512195122,0.1111111111111111,False,2000
Pooled,90% one-sided,41,8,0.1951219512195122,0.25,False,2000
