backbone,fold,seed,subject_id,target_seen_by_anchor,adaptation_session,S2_or_S3_used_for_training_or_selection,selected_lr,best_epoch_S1_validation,parameter_relative_change,anchor_S1_validation_confidence,anchor_S1_validation_BA,adapted_S1_validation_BA,n_S2,anchor_S2_BA,adapted_S2_BA,Delta_S2_BA,anchor_S2_macro_F1,adapted_S2_macro_F1,Delta_S2_macro_F1,n_S3,anchor_S3_BA,adapted_S3_BA,Delta_S3_BA,anchor_S3_macro_F1,adapted_S3_macro_F1,Delta_S3_macro_F1
EEGConformer,0,0,1,False,S1,False,0.001,11,0.12003490328788757,0.8165410060603543,0.8833333333333333,0.9,200,0.935,0.94,0.004999999999999893,0.9349202773397411,0.9398496240601504,0.004929346720409233,200,0.9099999999999999,0.895,-0.014999999999999902,0.9097744360902256,0.8945544927317919,-0.015219943358433685
EEGConformer,0,1,1,False,S1,False,0.001,16,0.1261172592639923,0.7808278417559028,0.8333333333333334,0.8,200,0.915,0.915,0.0,0.9149978749468737,0.9148275257396228,-0.0001703492072508972,200,0.895,0.915,0.020000000000000018,0.8949343339587242,0.9149808706959066,0.020046536737182374
EEGConformer,0,2,1,False,S1,False,0.001,50,0.4436399042606354,0.6797862417939807,0.9166666666666667,0.9166666666666667,200,0.9450000000000001,0.94,-0.0050000000000001155,0.9449876222149984,0.94,-0.004987622214998488,200,0.885,0.88,-0.0050000000000000044,0.8849280800500312,0.87998799879988,-0.004940081250151218
EEGConformer,1,0,2,False,S1,False,0.001,24,0.23589132726192474,0.8120779717178425,0.75,0.75,200,0.615,0.59,-0.025000000000000022,0.6142187930559382,0.5858585858585859,-0.028360207197352327,200,0.75,0.76,0.010000000000000009,0.75,0.7596153846153846,0.009615384615384581
EEGConformer,1,1,2,False,S1,False,0.001,50,0.5145993232727051,0.8857092537482121,0.6833333333333333,0.6833333333333333,200,0.5800000000000001,0.5599999999999999,-0.02000000000000013,0.5798319327731092,0.5524361712948835,-0.027395761478225644,200,0.755,0.745,-0.010000000000000009,0.7549938748468712,0.7421572840567254,-0.012836590790145763
EEGConformer,1,2,2,False,S1,False,0.001,27,0.34264692664146423,0.819244757586107,0.6833333333333333,0.7166666666666667,200,0.575,0.57,-0.0050000000000000044,0.5731967562953478,0.5637175324675325,-0.009479223827815297,200,0.75,0.73,-0.020000000000000018,0.7474747474747474,0.7266929851199515,-0.020781762354795896
EEGConformer,0,0,3,False,S1,False,0.001,50,0.3877343237400055,0.8578549989119562,0.9333333333333333,0.9166666666666667,200,0.86,0.865,0.0050000000000000044,0.8599859985998599,0.8642363293526085,0.00425033075274861,200,0.8200000000000001,0.8300000000000001,0.010000000000000009,0.8197115384615384,0.8286117552172598,0.00890021675572139
EEGConformer,0,1,3,False,S1,False,0.001,50,0.5065677762031555,0.872999094881536,0.9333333333333333,0.95,200,0.835,0.835,0.0,0.8349958748968724,0.8346651970239736,-0.00033067787289886574,200,0.75,0.81,0.06000000000000005,0.7497747973175859,0.8098288459613652,0.06005404864377928
EEGConformer,0,2,3,False,S1,False,0.001,50,0.33619773387908936,0.7546631549814635,0.8833333333333333,0.95,200,0.7949999999999999,0.81,0.015000000000000124,0.7899536361074823,0.8099239695878351,0.01997033348035282,200,0.8049999999999999,0.7849999999999999,-0.020000000000000018,0.8028261583963194,0.7840877708317642,-0.01873838756455526
EEGConformer,0,0,5,False,S1,False,0.001,10,0.1275341808795929,0.8368172195968655,0.8166666666666667,0.8,200,0.905,0.89,-0.015000000000000013,0.9048834822657756,0.8899559823929573,-0.014927499872818384,200,0.77,0.75,-0.020000000000000018,0.7691690084303493,0.7493734335839599,-0.019795574846389385
