scope,predictor,Spearman_with_Delta_S3
EEGNet,target_history_Delta_S2,0.1862005884778532
EEGNet,anchor_S1_validation_confidence,0.05002397193242524
EEGNet,S1_parameter_relative_change,0.19599984821607033
EEGNet,S1_validation_BA_delta,0.31518778589165364
EEGConformer,target_history_Delta_S2,0.3106889427991859
EEGConformer,anchor_S1_validation_confidence,0.09054467090479684
EEGConformer,S1_parameter_relative_change,0.009150327666028557
EEGConformer,S1_validation_BA_delta,0.2143573887042236
Pooled,target_history_Delta_S2,0.3149962980469522
Pooled,anchor_S1_validation_confidence,0.16898954703832755
Pooled,S1_parameter_relative_change,0.10000000000000002
Pooled,S1_validation_BA_delta,0.2335308611707916
