scope,subjects,concordant,sign_concordance,exact_CI95_low,exact_CI95_high,exact_binomial_p_two_sided,zero_rule
EEGNet,41,19,0.4634146341463415,0.3065594328514013,0.6257515716862521,0.755228657504631,np.sign; zero only concordant with zero
EEGConformer,41,27,0.6585365853658537,0.4940525263943234,0.7991658862829181,0.05958388801809633,np.sign; zero only concordant with zero
Pooled,41,22,0.5365853658536586,0.37424842831374805,0.6934405671485987,0.755228657504631,np.sign; zero only concordant with zero
