Task,fold,seed,K,J_U_overlap,J_P_overlap,joint_coordinates,utility_coordinates,persistence_coordinates
OpenBMI_MI,0,0,4,1.0,0.0,"[8, 9, 10, 11]","[8, 9, 10, 11]","[0, 1, 2, 3]"
OpenBMI_MI,1,0,8,1.0,0.5,"[7, 8, 9, 10, 11, 12, 13, 14]","[7, 8, 9, 10, 11, 12, 13, 14]","[3, 4, 5, 6, 7, 8, 9, 10]"
OpenBMI_MI,2,0,8,1.0,0.5,"[5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12]","[0, 1, 2, 3, 5, 6, 7, 8]"
OpenBMI_MI,3,0,4,1.0,0.0,"[5, 6, 7, 8]","[5, 6, 7, 8]","[0, 1, 3, 4]"
OpenBMI_MI,4,0,4,1.0,0.0,"[7, 8, 9, 10]","[7, 8, 9, 10]","[3, 4, 5, 6]"
OpenBMI_ERP,0,0,8,1.0,0.5,"[4, 5, 6, 7, 8, 9, 10, 11]","[4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2, 3, 4, 5, 6, 7]"
OpenBMI_ERP,1,0,8,1.0,1.0,"[3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 5, 6, 7, 8, 9, 10]"
OpenBMI_ERP,2,0,4,1.0,0.0,"[7, 8, 9, 10]","[7, 8, 9, 10]","[3, 4, 5, 6]"
OpenBMI_ERP,3,0,7,1.0,0.42857142857142855,"[4, 5, 6, 7, 8, 9, 10]","[4, 5, 6, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 6]"
OpenBMI_ERP,4,0,8,1.0,0.5,"[4, 5, 6, 7, 8, 9, 10, 11]","[4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2, 3, 4, 5, 6, 7]"
OpenBMI_SSVEP,0,0,4,1.0,0.0,"[8, 9, 10, 11]","[8, 9, 10, 11]","[0, 1, 2, 3]"
OpenBMI_SSVEP,1,0,12,1.0,1.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
OpenBMI_SSVEP,2,0,4,0.0,0.0,"[7, 8, 9, 10]","[11, 12, 13, 14]","[3, 4, 5, 6]"
OpenBMI_SSVEP,3,0,8,0.5,0.5,"[4, 5, 6, 7, 8, 9, 10, 11]","[8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7]"
OpenBMI_SSVEP,4,0,8,1.0,1.0,"[3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 5, 6, 7, 8, 9, 10]","[3, 4, 5, 6, 7, 8, 9, 10]"
WBCIC_MI,0,0,4,1.0,1.0,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]"
WBCIC_MI,1,0,4,1.0,0.0,"[6, 7, 8, 9]","[6, 7, 8, 9]","[2, 3, 4, 5]"
WBCIC_MI,2,0,8,1.0,0.5,"[5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12]","[0, 1, 2, 3, 5, 6, 7, 8]"
WBCIC_MI,3,0,4,1.0,1.0,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]"
WBCIC_MI,4,0,4,1.0,0.0,"[4, 5, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]"
