Future_BA,Model,Task,WS_BA,fold,seed,selector,subject_id
0.5625,TeCh,OpenBMI_MI,0.359375,0,0,PERSISTENCE_ONLY,4
0.59375,TeCh,OpenBMI_MI,0.515625,0,0,PERSISTENCE_ONLY,12
0.5,TeCh,OpenBMI_MI,0.5,0,0,PERSISTENCE_ONLY,13
0.578125,TeCh,OpenBMI_MI,0.578125,0,0,PERSISTENCE_ONLY,17
0.5,TeCh,OpenBMI_MI,0.5,0,0,PERSISTENCE_ONLY,18
0.5,TeCh,OpenBMI_MI,0.5,0,0,PERSISTENCE_ONLY,24
0.640625,TeCh,OpenBMI_MI,0.640625,0,0,PERSISTENCE_ONLY,25
0.734375,TeCh,OpenBMI_MI,0.65625,0,0,PERSISTENCE_ONLY,29
0.625,TeCh,OpenBMI_MI,0.625,0,0,PERSISTENCE_ONLY,36
0.484375,TeCh,OpenBMI_MI,0.484375,0,0,PERSISTENCE_ONLY,37
0.59375,TeCh,OpenBMI_MI,0.59375,0,0,PERSISTENCE_ONLY,39
0.4375,TeCh,OpenBMI_MI,0.375,0,0,PERSISTENCE_ONLY,42
0.53125,TeCh,OpenBMI_MI,0.53125,0,0,PERSISTENCE_ONLY,51
0.484375,TeCh,OpenBMI_MI,0.453125,0,0,PERSISTENCE_ONLY,54
0.71875,TeCh,OpenBMI_MI,0.59375,0,0,UTILITY_ONLY,4
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,UTILITY_ONLY,12
0.671875,TeCh,OpenBMI_MI,0.65625,0,0,UTILITY_ONLY,13
0.546875,TeCh,OpenBMI_MI,0.546875,0,0,UTILITY_ONLY,17
0.609375,TeCh,OpenBMI_MI,0.609375,0,0,UTILITY_ONLY,18
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,UTILITY_ONLY,24
0.90625,TeCh,OpenBMI_MI,0.734375,0,0,UTILITY_ONLY,25
0.71875,TeCh,OpenBMI_MI,0.578125,0,0,UTILITY_ONLY,29
0.84375,TeCh,OpenBMI_MI,0.734375,0,0,UTILITY_ONLY,36
0.71875,TeCh,OpenBMI_MI,0.640625,0,0,UTILITY_ONLY,37
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,UTILITY_ONLY,39
0.625,TeCh,OpenBMI_MI,0.625,0,0,UTILITY_ONLY,42
0.5625,TeCh,OpenBMI_MI,0.5625,0,0,UTILITY_ONLY,51
0.671875,TeCh,OpenBMI_MI,0.671875,0,0,UTILITY_ONLY,54
0.71875,TeCh,OpenBMI_MI,0.59375,0,0,JOINT,4
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,JOINT,12
0.671875,TeCh,OpenBMI_MI,0.65625,0,0,JOINT,13
0.546875,TeCh,OpenBMI_MI,0.546875,0,0,JOINT,17
0.609375,TeCh,OpenBMI_MI,0.609375,0,0,JOINT,18
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,JOINT,24
0.90625,TeCh,OpenBMI_MI,0.734375,0,0,JOINT,25
0.71875,TeCh,OpenBMI_MI,0.578125,0,0,JOINT,29
0.84375,TeCh,OpenBMI_MI,0.734375,0,0,JOINT,36
0.71875,TeCh,OpenBMI_MI,0.640625,0,0,JOINT,37
0.65625,TeCh,OpenBMI_MI,0.65625,0,0,JOINT,39
0.625,TeCh,OpenBMI_MI,0.625,0,0,JOINT,42
0.5625,TeCh,OpenBMI_MI,0.5625,0,0,JOINT,51
0.671875,TeCh,OpenBMI_MI,0.671875,0,0,JOINT,54
0.635,TeCh,OpenBMI_MI,0.5553125,0,0,RANDOM,4
0.59125,TeCh,OpenBMI_MI,0.53953125,0,0,RANDOM,12
0.5415625,TeCh,OpenBMI_MI,0.509375,0,0,RANDOM,13
0.53453125,TeCh,OpenBMI_MI,0.5009375,0,0,RANDOM,17
0.5846875,TeCh,OpenBMI_MI,0.5559375,0,0,RANDOM,18
0.5396875,TeCh,OpenBMI_MI,0.5071875,0,0,RANDOM,24
0.7090625,TeCh,OpenBMI_MI,0.59890625,0,0,RANDOM,25
0.6396875,TeCh,OpenBMI_MI,0.58203125,0,0,RANDOM,29
