Task,fold,seed,selector,K,block_ids,coordinate_ids,selector_score,selector_freeze_sha256
OpenBMI_MI,0,0,PERSISTENCE_ONLY,4,"[0, 1]","[0, 1, 2, 3]",0.7776413571089507,06f2dbaeeb242b875f68b65955735bb174a5fec038563f5ccf8ffe927315e30e
OpenBMI_MI,0,0,UTILITY_ONLY,4,[3],"[8, 9, 10, 11]",0.1372882272592397,06f2dbaeeb242b875f68b65955735bb174a5fec038563f5ccf8ffe927315e30e
OpenBMI_MI,0,0,JOINT,4,[3],"[8, 9, 10, 11]",,06f2dbaeeb242b875f68b65955735bb174a5fec038563f5ccf8ffe927315e30e
OpenBMI_MI,0,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,06f2dbaeeb242b875f68b65955735bb174a5fec038563f5ccf8ffe927315e30e
OpenBMI_MI,1,0,PERSISTENCE_ONLY,8,"[2, 3]","[3, 4, 5, 6, 7, 8, 9, 10]",0.21639107884839182,b022b7d6e5e05ff066a4a70549f0d5faa7961e84a69c56507013a754cee238b9
OpenBMI_MI,1,0,UTILITY_ONLY,8,"[3, 4]","[7, 8, 9, 10, 11, 12, 13, 14]",0.08971735907322279,b022b7d6e5e05ff066a4a70549f0d5faa7961e84a69c56507013a754cee238b9
OpenBMI_MI,1,0,JOINT,8,"[3, 4]","[7, 8, 9, 10, 11, 12, 13, 14]",,b022b7d6e5e05ff066a4a70549f0d5faa7961e84a69c56507013a754cee238b9
OpenBMI_MI,1,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,b022b7d6e5e05ff066a4a70549f0d5faa7961e84a69c56507013a754cee238b9
OpenBMI_MI,2,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3, 5]","[0, 1, 2, 3, 5, 6, 7, 8]",1.3626954867504542,44619e2f03fad07df1dc0ad8e3ae104de616678e7f7f28308e59b37d791e69fa
OpenBMI_MI,2,0,UTILITY_ONLY,8,"[5, 6]","[5, 6, 7, 8, 9, 10, 11, 12]",0.10573436664224768,44619e2f03fad07df1dc0ad8e3ae104de616678e7f7f28308e59b37d791e69fa
OpenBMI_MI,2,0,JOINT,8,"[5, 6]","[5, 6, 7, 8, 9, 10, 11, 12]",,44619e2f03fad07df1dc0ad8e3ae104de616678e7f7f28308e59b37d791e69fa
OpenBMI_MI,2,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,44619e2f03fad07df1dc0ad8e3ae104de616678e7f7f28308e59b37d791e69fa
OpenBMI_MI,3,0,PERSISTENCE_ONLY,4,"[0, 1, 3]","[0, 1, 3, 4]",0.9028070963919168,62bf913ae4954b3a6950225f8298d3dd302b77df0c64821abb778d6a4c3c29c0
OpenBMI_MI,3,0,UTILITY_ONLY,4,[4],"[5, 6, 7, 8]",0.1088332515547716,62bf913ae4954b3a6950225f8298d3dd302b77df0c64821abb778d6a4c3c29c0
OpenBMI_MI,3,0,JOINT,4,[4],"[5, 6, 7, 8]",,62bf913ae4954b3a6950225f8298d3dd302b77df0c64821abb778d6a4c3c29c0
OpenBMI_MI,3,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,62bf913ae4954b3a6950225f8298d3dd302b77df0c64821abb778d6a4c3c29c0
OpenBMI_MI,4,0,PERSISTENCE_ONLY,4,[3],"[3, 4, 5, 6]",0.1643203966319561,459c1a717f770a3a7f48f7567698962c9a19483ce6cb6a7b0586418ed175b66f
OpenBMI_MI,4,0,UTILITY_ONLY,4,[4],"[7, 8, 9, 10]",0.11284249299790773,459c1a717f770a3a7f48f7567698962c9a19483ce6cb6a7b0586418ed175b66f
OpenBMI_MI,4,0,JOINT,4,[4],"[7, 8, 9, 10]",,459c1a717f770a3a7f48f7567698962c9a19483ce6cb6a7b0586418ed175b66f
OpenBMI_MI,4,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,459c1a717f770a3a7f48f7567698962c9a19483ce6cb6a7b0586418ed175b66f
OpenBMI_ERP,0,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7]",0.8752804012037817,cac351cb61baa634464b2a378c8c139dfd2f467fb4246d6a49b9ddb94da69af8
OpenBMI_ERP,0,0,UTILITY_ONLY,8,"[4, 5]","[4, 5, 6, 7, 8, 9, 10, 11]",0.10647650485301617,cac351cb61baa634464b2a378c8c139dfd2f467fb4246d6a49b9ddb94da69af8
OpenBMI_ERP,0,0,JOINT,8,"[4, 5]","[4, 5, 6, 7, 8, 9, 10, 11]",,cac351cb61baa634464b2a378c8c139dfd2f467fb4246d6a49b9ddb94da69af8
OpenBMI_ERP,0,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,cac351cb61baa634464b2a378c8c139dfd2f467fb4246d6a49b9ddb94da69af8
OpenBMI_ERP,1,0,PERSISTENCE_ONLY,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",0.11944738207384947,5d5416b687dae0c78b81c020b78bc238e7807b79bd20294e5319c200ab7c1dc1
OpenBMI_ERP,1,0,UTILITY_ONLY,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",0.10156767060355366,5d5416b687dae0c78b81c020b78bc238e7807b79bd20294e5319c200ab7c1dc1
OpenBMI_ERP,1,0,JOINT,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",,5d5416b687dae0c78b81c020b78bc238e7807b79bd20294e5319c200ab7c1dc1
OpenBMI_ERP,1,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,5d5416b687dae0c78b81c020b78bc238e7807b79bd20294e5319c200ab7c1dc1
OpenBMI_ERP,2,0,PERSISTENCE_ONLY,4,[3],"[3, 4, 5, 6]",0.09632649030536414,3d414e08ff6c6b65658ac8219772bf2e7ced1cb089fa98ec063bf5fe23fbd0ea
OpenBMI_ERP,2,0,UTILITY_ONLY,4,[4],"[7, 8, 9, 10]",0.046936637440222105,3d414e08ff6c6b65658ac8219772bf2e7ced1cb089fa98ec063bf5fe23fbd0ea
OpenBMI_ERP,2,0,JOINT,4,[4],"[7, 8, 9, 10]",,3d414e08ff6c6b65658ac8219772bf2e7ced1cb089fa98ec063bf5fe23fbd0ea
OpenBMI_ERP,2,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,3d414e08ff6c6b65658ac8219772bf2e7ced1cb089fa98ec063bf5fe23fbd0ea
OpenBMI_ERP,3,0,PERSISTENCE_ONLY,7,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6]",0.7962663042359056,62ae394bd797e7c1b52f5fa6a3abe26beea928032d1f4ddef030ba42b2f090a4
OpenBMI_ERP,3,0,UTILITY_ONLY,7,"[4, 5]","[4, 5, 6, 7, 8, 9, 10]",0.10176817262254817,62ae394bd797e7c1b52f5fa6a3abe26beea928032d1f4ddef030ba42b2f090a4
OpenBMI_ERP,3,0,JOINT,7,"[4, 5]","[4, 5, 6, 7, 8, 9, 10]",,62ae394bd797e7c1b52f5fa6a3abe26beea928032d1f4ddef030ba42b2f090a4
OpenBMI_ERP,3,0,RANDOM,7,,100 exact-rank draws in corrected PSWA artifact,,62ae394bd797e7c1b52f5fa6a3abe26beea928032d1f4ddef030ba42b2f090a4
OpenBMI_ERP,4,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",0.6572865338996053,0efff255fa60c6d36ba16e3b8f9440d487af0e3a610cb76c6d696e42ff8431a5
OpenBMI_ERP,4,0,UTILITY_ONLY,8,"[3, 4]","[4, 5, 6, 7, 8, 9, 10, 11]",0.11761215007144771,0efff255fa60c6d36ba16e3b8f9440d487af0e3a610cb76c6d696e42ff8431a5
OpenBMI_ERP,4,0,JOINT,8,"[3, 4]","[4, 5, 6, 7, 8, 9, 10, 11]",,0efff255fa60c6d36ba16e3b8f9440d487af0e3a610cb76c6d696e42ff8431a5
OpenBMI_ERP,4,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,0efff255fa60c6d36ba16e3b8f9440d487af0e3a610cb76c6d696e42ff8431a5
OpenBMI_SSVEP,0,0,PERSISTENCE_ONLY,4,"[0, 1, 2, 3]","[0, 1, 2, 3]",0.425371577218175,066c7db9ed9b1a271c25a60710939036a1948dd1dbb05fe2af8e5ef68882abd4
OpenBMI_SSVEP,0,0,UTILITY_ONLY,4,[5],"[8, 9, 10, 11]",0.22497919945465972,066c7db9ed9b1a271c25a60710939036a1948dd1dbb05fe2af8e5ef68882abd4
OpenBMI_SSVEP,0,0,JOINT,4,[5],"[8, 9, 10, 11]",,066c7db9ed9b1a271c25a60710939036a1948dd1dbb05fe2af8e5ef68882abd4
OpenBMI_SSVEP,0,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,066c7db9ed9b1a271c25a60710939036a1948dd1dbb05fe2af8e5ef68882abd4
OpenBMI_SSVEP,1,0,PERSISTENCE_ONLY,12,"[3, 4, 5]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.0476612764177844,b18c94c4224754fc13526e0f772d0d98f69ed8a197f239160c16462be2ccb819
OpenBMI_SSVEP,1,0,UTILITY_ONLY,12,"[3, 4, 5]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.19497521651271996,b18c94c4224754fc13526e0f772d0d98f69ed8a197f239160c16462be2ccb819
OpenBMI_SSVEP,1,0,JOINT,12,"[3, 4, 5]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,b18c94c4224754fc13526e0f772d0d98f69ed8a197f239160c16462be2ccb819
OpenBMI_SSVEP,1,0,RANDOM,12,,100 exact-rank draws in corrected PSWA artifact,,b18c94c4224754fc13526e0f772d0d98f69ed8a197f239160c16462be2ccb819
OpenBMI_SSVEP,2,0,PERSISTENCE_ONLY,4,[3],"[3, 4, 5, 6]",0.0298374196048826,5c2589aa8ba90b4b4fb9b49ae0aa395cbdf489ea6c2385b3c426eeab766dd36e
OpenBMI_SSVEP,2,0,UTILITY_ONLY,4,[5],"[11, 12, 13, 14]",0.1620021191744286,5c2589aa8ba90b4b4fb9b49ae0aa395cbdf489ea6c2385b3c426eeab766dd36e
OpenBMI_SSVEP,2,0,JOINT,4,[4],"[7, 8, 9, 10]",,5c2589aa8ba90b4b4fb9b49ae0aa395cbdf489ea6c2385b3c426eeab766dd36e
OpenBMI_SSVEP,2,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,5c2589aa8ba90b4b4fb9b49ae0aa395cbdf489ea6c2385b3c426eeab766dd36e
OpenBMI_SSVEP,3,0,PERSISTENCE_ONLY,8,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",0.4408543657744305,066313258a0b082955c77ce3f82a2d0cbb1816214528b4d11edb1116a94e8947
OpenBMI_SSVEP,3,0,UTILITY_ONLY,8,"[4, 5]","[8, 9, 10, 11, 12, 13, 14, 15]",0.17340196414172301,066313258a0b082955c77ce3f82a2d0cbb1816214528b4d11edb1116a94e8947
OpenBMI_SSVEP,3,0,JOINT,8,"[3, 4]","[4, 5, 6, 7, 8, 9, 10, 11]",,066313258a0b082955c77ce3f82a2d0cbb1816214528b4d11edb1116a94e8947
OpenBMI_SSVEP,3,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,066313258a0b082955c77ce3f82a2d0cbb1816214528b4d11edb1116a94e8947
OpenBMI_SSVEP,4,0,PERSISTENCE_ONLY,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",0.04139966191723943,3dc1c23570cf0dfb4be7cc7b3a9a64f010b880361b8c93daa089caeab37bb82f
OpenBMI_SSVEP,4,0,UTILITY_ONLY,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",0.13948689440141812,3dc1c23570cf0dfb4be7cc7b3a9a64f010b880361b8c93daa089caeab37bb82f
OpenBMI_SSVEP,4,0,JOINT,8,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",,3dc1c23570cf0dfb4be7cc7b3a9a64f010b880361b8c93daa089caeab37bb82f
OpenBMI_SSVEP,4,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,3dc1c23570cf0dfb4be7cc7b3a9a64f010b880361b8c93daa089caeab37bb82f
WBCIC_MI,0,0,PERSISTENCE_ONLY,4,[0],"[0, 1, 2, 3]",0.08037963453680277,ccbc00cdedfe7c14bf9f3cebeb6a46a5013762d814742ae27481e9a64f2f598c
WBCIC_MI,0,0,UTILITY_ONLY,4,[0],"[0, 1, 2, 3]",0.008219721469066677,ccbc00cdedfe7c14bf9f3cebeb6a46a5013762d814742ae27481e9a64f2f598c
WBCIC_MI,0,0,JOINT,4,[0],"[0, 1, 2, 3]",,ccbc00cdedfe7c14bf9f3cebeb6a46a5013762d814742ae27481e9a64f2f598c
WBCIC_MI,0,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,ccbc00cdedfe7c14bf9f3cebeb6a46a5013762d814742ae27481e9a64f2f598c
WBCIC_MI,1,0,PERSISTENCE_ONLY,4,[1],"[2, 3, 4, 5]",0.289203815534711,292e75f16403cbf875770665997a50a405fee19a9cc231738f0ab298fe70ef0c
WBCIC_MI,1,0,UTILITY_ONLY,4,[2],"[6, 7, 8, 9]",0.12509344713764425,292e75f16403cbf875770665997a50a405fee19a9cc231738f0ab298fe70ef0c
WBCIC_MI,1,0,JOINT,4,[2],"[6, 7, 8, 9]",,292e75f16403cbf875770665997a50a405fee19a9cc231738f0ab298fe70ef0c
WBCIC_MI,1,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,292e75f16403cbf875770665997a50a405fee19a9cc231738f0ab298fe70ef0c
WBCIC_MI,2,0,PERSISTENCE_ONLY,8,"[0, 2]","[0, 1, 2, 3, 5, 6, 7, 8]",0.555214237421751,6fb872a8a8bf0458ad564282b209cc1836b8ad7357c4b4ea2e5f0750b4346f05
WBCIC_MI,2,0,UTILITY_ONLY,8,"[2, 3]","[5, 6, 7, 8, 9, 10, 11, 12]",0.09341786546051874,6fb872a8a8bf0458ad564282b209cc1836b8ad7357c4b4ea2e5f0750b4346f05
WBCIC_MI,2,0,JOINT,8,"[2, 3]","[5, 6, 7, 8, 9, 10, 11, 12]",,6fb872a8a8bf0458ad564282b209cc1836b8ad7357c4b4ea2e5f0750b4346f05
WBCIC_MI,2,0,RANDOM,8,,100 exact-rank draws in corrected PSWA artifact,,6fb872a8a8bf0458ad564282b209cc1836b8ad7357c4b4ea2e5f0750b4346f05
WBCIC_MI,3,0,PERSISTENCE_ONLY,4,[0],"[0, 1, 2, 3]",0.10684999097138648,2479d2636e0177f69ad9eae1686528543af606dd6b81df37cca5e341bcf64854
WBCIC_MI,3,0,UTILITY_ONLY,4,[0],"[0, 1, 2, 3]",0.04221269255488245,2479d2636e0177f69ad9eae1686528543af606dd6b81df37cca5e341bcf64854
WBCIC_MI,3,0,JOINT,4,[0],"[0, 1, 2, 3]",,2479d2636e0177f69ad9eae1686528543af606dd6b81df37cca5e341bcf64854
WBCIC_MI,3,0,RANDOM,4,,100 exact-rank draws in corrected PSWA artifact,,2479d2636e0177f69ad9eae1686528543af606dd6b81df37cca5e341bcf64854
WBCIC_MI,4,0,PERSISTENCE_ONLY,4,[0],"[0, 1, 2, 3]",0.4132085777819159,ffd876bffa5f0300b78896da95233a8d31622ed1fe97d8d4683bed16c1d618d4
WBCIC_MI,4,0,UTILITY_ONLY,4,[1],"[4, 5, 6, 7]",0.10560432821402815,ffd876bffa5f0300b78896da95233a8d31622ed1fe97d8d4683bed16c1d618d4
WBCIC_MI,4,0,JOINT,4,[1],"[4, 5, 6, 7]",,ffd876bffa5f0300b78896da95233a8d31622ed1fe97d8d4683bed16c1d618d4
