Task,subject_id,contrast,WS_delta,Future_delta
OpenBMI_ERP,29,U-R,0.08156249999999998,0.07534375000000004
OpenBMI_ERP,36,J-U,0.0,0.0
OpenBMI_ERP,36,J-P,0.08124999999999993,0.09062499999999996
OpenBMI_ERP,36,P-R,0.049687499999999996,0.033499999999999974
OpenBMI_ERP,36,U-R,0.13093749999999993,0.12412499999999993
OpenBMI_ERP,37,J-U,0.0,0.0
OpenBMI_ERP,37,J-P,0.009375000000000022,0.07500000000000007
OpenBMI_ERP,37,P-R,-0.002875000000000072,0.019718750000000007
OpenBMI_ERP,37,U-R,0.00649999999999995,0.09471875000000007
OpenBMI_ERP,39,J-U,0.0,0.0
OpenBMI_ERP,39,J-P,0.02499999999999991,-0.012499999999999956
OpenBMI_ERP,39,P-R,0.02446875000000004,0.06049999999999989
OpenBMI_ERP,39,U-R,0.04946874999999995,0.04799999999999993
OpenBMI_ERP,42,J-U,0.0,0.0
OpenBMI_ERP,42,J-P,0.05312499999999998,0.05312499999999998
OpenBMI_ERP,42,P-R,0.049093749999999936,0.03431250000000008
OpenBMI_ERP,42,U-R,0.10221874999999991,0.08743750000000006
OpenBMI_ERP,51,J-U,0.0,0.0
OpenBMI_ERP,51,J-P,0.06562500000000004,0.06562500000000004
OpenBMI_ERP,51,P-R,0.04556250000000006,0.03815624999999989
OpenBMI_ERP,51,U-R,0.1111875000000001,0.10378124999999994
OpenBMI_ERP,54,J-U,0.0,0.0
OpenBMI_ERP,54,J-P,0.08437499999999998,0.03749999999999998
OpenBMI_ERP,54,P-R,-0.006093750000000009,0.03499999999999992
OpenBMI_ERP,54,U-R,0.07828124999999997,0.0724999999999999
OpenBMI_SSVEP,4,J-U,0.0019999999999998908,-0.004000000000000115
OpenBMI_SSVEP,4,J-P,0.11199999999999988,0.07200000000000006
OpenBMI_SSVEP,4,P-R,-0.010479999999999934,-0.022720000000000184
OpenBMI_SSVEP,4,U-R,0.09952000000000005,0.053279999999999994
OpenBMI_SSVEP,12,J-U,-0.016000000000000014,-0.016000000000000014
OpenBMI_SSVEP,12,J-P,0.07200000000000006,0.07200000000000006
OpenBMI_SSVEP,12,P-R,0.04491999999999985,0.044300000000000006
OpenBMI_SSVEP,12,U-R,0.13291999999999993,0.13230000000000008
