task,fold,anchor_sha256,v1_refit_baseline_sha256,split_sha256,discovery_normalizer_sha256,canonical_selected_epoch
OpenBMI_MI,0,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,47709dfb51a71085a30b7e7c3a0630e03f6ede2f81148988f3d383328568ffb4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,49
OpenBMI_MI,1,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,66ea1044181e5e8a816b87f0f93e011e0613233e1de9e8bd12c74e9d791e6cf2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,58
OpenBMI_MI,2,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,af96aa26aded8340c30684808373828e8759e2dbec11fc7afc3e5993695a6eb3,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,46
OpenBMI_MI,3,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,ae1255135750f076b6e3d0b710a93efda6f09b1f42c861015121cac1750e36ca,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,36
OpenBMI_MI,4,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,1e46394f1dcbc7e7a7c1499d8c1135dba41a35016ae3f8d92014b40754f3d026,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,58
OpenBMI_ERP,0,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,164f7400819ad4b7b5a1bbd44ad9eb47042e0f30f53196ebc14b840931b0e484,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,29
OpenBMI_ERP,1,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,6a25cc1fee3e0ae5e124aa6b01eb1b558cfb8836220453742bffcd84b7ec2a28,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,39
OpenBMI_ERP,2,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,cca30fd67ed2da428172cfff14c4f818100f177dda473b80c6a66301968bbe51,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,54
OpenBMI_ERP,3,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,0f3865e08dee1a280adb5667eb1dd2ffd7e21646d90dfdaf9ce9bbcca7e9336b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,32
OpenBMI_ERP,4,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,2cba89d35f5d16980c40599f6498a2d72d3e91a0b774bfc0331ba9bf24f4babe,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,46
