task,session,variant,subjects,BA,macro_F1,NLL
OpenBMI_MI,S1,BASELINE,14,0.7142857142857142,0.7123347124632876,0.5777274753366198
OpenBMI_MI,S1,P_ONLY_TRANSFER_GATE,14,0.7142857142857142,0.7123347124632876,0.5777143303837095
OpenBMI_MI,S1,RANDOM_TRANSFER_GATE,14,0.7142857142857142,0.7123347124632876,0.5777497674737658
OpenBMI_MI,S1,PROTECTED_NATIVE_TRANSFER_GATE,14,0.7142857142857142,0.7123347124632876,0.5777420891182763
OpenBMI_MI,S2,BASELINE,14,0.7114285714285715,0.7070341530180103,0.6204518015895572
OpenBMI_MI,S2,P_ONLY_TRANSFER_GATE,14,0.7114285714285715,0.7070382986906809,0.6205365929220404
OpenBMI_MI,S2,RANDOM_TRANSFER_GATE,14,0.7121428571428572,0.7077466528394211,0.6204822773912123
OpenBMI_MI,S2,PROTECTED_NATIVE_TRANSFER_GATE,14,0.7121428571428572,0.7077545131692716,0.6205345668963024
OpenBMI_ERP,S1,BASELINE,14,0.8633100606690662,0.8210671435045951,0.2723009171230452
OpenBMI_ERP,S1,P_ONLY_TRANSFER_GATE,14,0.8639161737797274,0.8226848167656095,0.2697974273136684
OpenBMI_ERP,S1,RANDOM_TRANSFER_GATE,14,0.8628555677191214,0.8221980200295108,0.2698305238570486
OpenBMI_ERP,S1,PROTECTED_NATIVE_TRANSFER_GATE,14,0.8634399964296872,0.8230305066718507,0.26836855177368435
OpenBMI_ERP,S2,BASELINE,14,0.8644805194805195,0.824000661817416,0.26806578252996716
OpenBMI_ERP,S2,P_ONLY_TRANSFER_GATE,14,0.8641125541125543,0.8251213691684169,0.26530539244413376
OpenBMI_ERP,S2,RANDOM_TRANSFER_GATE,14,0.8636580086580087,0.8248831032974276,0.2654358537069389
OpenBMI_ERP,S2,PROTECTED_NATIVE_TRANSFER_GATE,14,0.8641558441558441,0.8257188311361562,0.264040191258703
OpenBMI_SSVEP,S1,BASELINE,14,0.9492857142857142,0.9487573255728122,0.16587236076260783
OpenBMI_SSVEP,S1,P_ONLY_TRANSFER_GATE,14,0.9492857142857142,0.9487573255728122,0.16589868475317157
OpenBMI_SSVEP,S1,RANDOM_TRANSFER_GATE,14,0.9492857142857142,0.9487573255728122,0.16588589802683731
OpenBMI_SSVEP,S1,PROTECTED_NATIVE_TRANSFER_GATE,14,0.9492857142857142,0.9487573255728122,0.1658270229485684
OpenBMI_SSVEP,S2,BASELINE,14,0.9199999999999999,0.9189599493200945,0.3042569781287706
OpenBMI_SSVEP,S2,P_ONLY_TRANSFER_GATE,14,0.9199999999999999,0.9189599493200945,0.3041317954755089
OpenBMI_SSVEP,S2,RANDOM_TRANSFER_GATE,14,0.9199999999999999,0.9189599493200945,0.304291593391099
OpenBMI_SSVEP,S2,PROTECTED_NATIVE_TRANSFER_GATE,14,0.9200000000000002,0.9190683457970297,0.3039945785567397
WBCIC_MI,S0,BASELINE,10,0.7780000000000001,0.7597819784978013,0.5863003760576249
WBCIC_MI,S0,P_ONLY_TRANSFER_GATE,10,0.7775000000000001,0.7590874291050587,0.5854802668094635
WBCIC_MI,S0,RANDOM_TRANSFER_GATE,10,0.7785,0.76033442385927,0.5862799495458603
WBCIC_MI,S0,PROTECTED_NATIVE_TRANSFER_GATE,10,0.7785,0.7604058779431095,0.5854304999113082
WBCIC_MI,S1,BASELINE,10,0.7815000000000001,0.7718832714149031,0.5884116291999817
WBCIC_MI,S1,P_ONLY_TRANSFER_GATE,10,0.7815000000000001,0.7720462325731158,0.5876456588506699
WBCIC_MI,S1,RANDOM_TRANSFER_GATE,10,0.7809999999999999,0.7714400876758902,0.5883902221918106
WBCIC_MI,S1,PROTECTED_NATIVE_TRANSFER_GATE,10,0.7809999999999999,0.7716270017711245,0.5875922292470932
WBCIC_MI,S2,BASELINE,10,0.7905,0.7760732219806268,0.5847154498100281
WBCIC_MI,S2,P_ONLY_TRANSFER_GATE,10,0.7905,0.7760732219806268,0.5840092658996582
WBCIC_MI,S2,RANDOM_TRANSFER_GATE,10,0.791,0.7766818020863633,0.5846849203109741
WBCIC_MI,S2,PROTECTED_NATIVE_TRANSFER_GATE,10,0.7915,0.7771845228202083,0.5839175939559936
