task,fold,stage,status,protected_rank,spatial_rank,successor_rank,canonical_basis_hash,train_data_hash,projector_hash,spatial_orth_error,successor_orth_error
OpenBMI_MI,0,discovery,COMPLETE,4,4,4,b2e1748418ebacd0aa8d0fcade9bc7fbd4424bded2a1b6e0ea79867f036f0e71,2b851cc181788ae3e29619ea462477291c4d2fa861692f4d0dfbc779586ad5f4,ed0f04fc0bb4fa8af1c569524f6bbe7a5b2216b61fff4c1640771534827242dd,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_MI,0,refit,COMPLETE,5,5,5,ac8ac3745139b1d743436840bfabc6f93e07e8b089c5ddf4033eabb189e350b0,14fdef5b5ea04dd7a7e0261d315e68fb88cc9e3741e39cfdf035c2d8239d736e,e1b489736ecb9141e3743639c7e63cf77310fd354d9430977120f0113d1197f4,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_MI,1,discovery,COMPLETE,3,3,3,ae2a3d6efff9f71a01a8783ca1b72d3c975addec83f6aa7c9988e999452c8cb3,02a83ed57274e56fcf902cc6063902a0623f4e42ca99d64869b98eeb6ee1a5d3,688234e44d41b73baf7651470c7dbddd74d49c797cb02376121f0797f0fbc1e8,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_MI,1,refit,COMPLETE,6,6,6,b857e430a49aab3eeb511c4b44bf9017f890dd9e8e6693b6481a8c9dec06c631,4e9566d222a642c42b3272834c2d37ae51f5c02d1e82d43eabc43bfa574a9eb5,d66d573471291b1e349e9ff4b27dbd33615e8ab46882cd6eb226a85534507b18,2.384185791015625e-07,3.5762786865234375e-07
OpenBMI_MI,2,discovery,COMPLETE,4,4,4,dc740de5b9f1bae81614b1aa5079313a04d02c23a15a5e90b2bc40ced3e8a94e,268db7951a3575884e8667cb7d7330b27ec01dc1c739d2f8d1e3f7423d5062c1,f0f8a47bcf71f9e764e9da510a52a0e7d3525d736973e8a98c5d8253244a03cc,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_MI,2,refit,COMPLETE,4,4,4,da1b89ef8a8eda3e1b8c5668cbfa6b923b53f7c0457e388bd4dac5568d337e5a,324ee820e909b52461991698e2fec38a1fcf49531e040b4a62f3fc9a062898d6,de694da5e719443d56ce9e927db55f7122c88a17455649e6499e92241467addf,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_MI,3,discovery,COMPLETE,8,8,8,b142718f5020679e95f6753ab85b19102fa57d4117b29bc79a245f4f265d14ae,3dcc021d6150583a741c73d3f569560d04626bf06f96613bd6e2c9ab759fdda7,8da39f9f8b850a9bf38ea333546446df73e92bea6842917315ef52e2746429a0,1.1920928955078125e-07,4.172325134277344e-07
OpenBMI_MI,3,refit,COMPLETE,4,4,4,cf4d3788d9b105f286f606151d7cdb4882b75a9a388562eb49507d88fa7f581e,82d33960ae8d7f4cf5183944db080b8f228c46e535259454c16b0812a4ebfd78,06840f5f514d78435fa860065040eea5b5d1fcb8d52e443b3724eca0d9f74ab4,1.1920928955078125e-07,4.76837158203125e-07
OpenBMI_MI,4,discovery,COMPLETE,5,5,5,631f870264318410cfbb70dd34a8ca6af6213654a4a38e12f3a075c7395473e1,ad2c50d16315775fd1f219c1b7412eb276807646a6b663a9af38eabb7fa0e01e,9731d8e577fbd18a63195c4f5eaa3cffd64a9c5905b99433c790cfff92d04e21,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_MI,4,refit,COMPLETE,4,4,4,0b58c742d5047578ce01d60247f287f7dd3fd22ff5694dc6ce6dd4218001b7f7,c9074207c04309f83e6e1af197e8344c0cad8d595ff088508450afda36f906d0,b9a9ff10081680e080861b3c6f222c0fe12e4f63d3630c463dad0d4636c49b35,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_ERP,0,discovery,COMPLETE,6,6,6,f0404fcd8d17e897614d30cf97c76e22c409197dafff285bcbb7fa028f5996bf,306adc90c71f9bdc51f6982df4e37ee3768e68141c83a5c66b6eb448c07e4045,d4f0c77cc9bb7854659a7947f81e9e1e04f8149f79400fbbd3c696a0554a7bcf,2.384185791015625e-07,1.7881393432617188e-07
OpenBMI_ERP,0,refit,COMPLETE,9,9,9,ef609b005e743e40f6bf81b08d1a8bd46bb2c9753e5c6cce190b4be410a789cc,f6ef94cbc7376c9b9f31a067028619eb9df18ea4bc630b6e02d1dafad60bff56,8bde2267bd0605bb25014e15ef66b84e3b60b624f9bfb88b25f2348582be6f4c,2.384185791015625e-07,2.384185791015625e-07
OpenBMI_ERP,1,discovery,COMPLETE,9,9,9,06798d014f7c6ba814c9fc918338cec55a5900912face500d5266c514ce81279,69319babb52994b136119cf1b113cdf43989a14fe05585b558eaf007d40eec9e,b35f03909e13944207d5c144abb624bee18b5bfeead3ed09521b5dab79f49a70,2.980232238769531e-07,2.384185791015625e-07
OpenBMI_ERP,1,refit,COMPLETE,9,9,9,2a42213d6c378f7ebf7be8a37a50f778c0b82a99b417ca60cea7a32694f71cf9,435f3cdc4b310614690e5bd5d62da946a44cf6e25e08df7093e5a94c132c7692,858112f208eb7520f03a1bec53e2758fe23b854ea4c6b41c2725d0b8478af5ef,1.7881393432617188e-07,2.384185791015625e-07
OpenBMI_ERP,2,discovery,COMPLETE,8,8,8,676e008408a91994304d9cc4e0f5df3b820c28bffcdbd87bdddf76b4818e2401,c78fc4ee9c56e2eecef8b5770abc2a28a101824d7c4ece499eafe9e1cae776a2,afef5952b0af95fcb79c141df4bbb9d5f1bf4931b6cb2fab50cce4cb93de6841,1.7881393432617188e-07,2.384185791015625e-07
OpenBMI_ERP,2,refit,COMPLETE,8,8,8,46f0c69e2dc2ae81a7710c2386c39e36782afe48d9b1009efa1d21e3c4916dbe,d460759a352ce587f1f4750f8126a29d6bfbd924b5c62ad559ddd68cb2b12a6a,72c629d1b6e39c4f8a9ceb6bcbc553debf87f52422d8793e8f3955d38151ae91,3.5762786865234375e-07,1.7881393432617188e-07
OpenBMI_ERP,3,discovery,COMPLETE,4,4,4,8977958150e3f8f8321b29fd8e7bdcb279c1c42f351a7d0ac186ddecd1cf92cc,f466d3dbeb9e394d19526706c728b9844b3b1ee4c8de06901cbe69ce38886579,028809ff2da874553949c8158094528403e2d3cb66017c49fa441febb701e17e,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_ERP,3,refit,COMPLETE,4,4,4,6cfdb50de2666c46cd4b7bb39a83ad9e388603c7bcc8aee02cdd9f845b41717d,02b04a6ff1eacd0b97a6b6fef9bffa5536cd823dc6ca3dc3f67ed119e9162c9a,e60b3231af545541abab2f922d3dee88aea7ba93990a8eb2bab009158da6b876,1.7881393432617188e-07,3.5762786865234375e-07
OpenBMI_ERP,4,discovery,COMPLETE,5,5,5,11a2898a85ef37246190d63874fb66dbeb6ba2248db6ec16d2907b512930e82d,2b2a4115acac16a804121c37f5f43659bc243112a1c2d5eab1cd05fa57c14ba4,eaf16e9b8b9b69cb1d548409c9d1ccecfde432d289c3c5f0bd09f1325428c898,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_ERP,4,refit,COMPLETE,4,4,4,ce9a89d867e4b642e20d3520577b3115501e8f3ad3aeb6b400ec39d92f3189f1,b94b6f2ee0f5335ad7f9c2e0ddc8df08b4a0fbf88733a0cf158f300d9e20ed83,531add4a388ab73da4c4757fc47f8bc1aeb881853c997159c94ba07704a967ea,1.1920928955078125e-07,1.1920928955078125e-07
