task,subject,session,variant,BA,macro_F1,NLL,trials
OpenBMI_MI,4,S1,BASELINE,0.71,0.7064480210547626,0.6134390830993652,100
OpenBMI_MI,4,S1,P_ONLY_TRANSFER_GATE,0.71,0.7064480210547626,0.6141940951347351,100
OpenBMI_MI,4,S1,RANDOM_TRANSFER_GATE,0.71,0.7064480210547626,0.6134122014045715,100
OpenBMI_MI,4,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.71,0.7064480210547626,0.6143329739570618,100
OpenBMI_MI,12,S1,BASELINE,0.79,0.78997899789979,0.4288530647754669,100
OpenBMI_MI,12,S1,P_ONLY_TRANSFER_GATE,0.79,0.78997899789979,0.42893460392951965,100
OpenBMI_MI,12,S1,RANDOM_TRANSFER_GATE,0.79,0.78997899789979,0.42884913086891174,100
OpenBMI_MI,12,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.79,0.78997899789979,0.4291207194328308,100
OpenBMI_MI,13,S1,BASELINE,0.72,0.7189883580891208,0.5729124546051025,100
OpenBMI_MI,13,S1,P_ONLY_TRANSFER_GATE,0.72,0.7189883580891208,0.571880578994751,100
OpenBMI_MI,13,S1,RANDOM_TRANSFER_GATE,0.72,0.7189883580891208,0.5729178786277771,100
OpenBMI_MI,13,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.72,0.7189883580891208,0.5722441673278809,100
OpenBMI_MI,17,S1,BASELINE,0.77,0.769792813532179,0.46122023463249207,100
OpenBMI_MI,17,S1,P_ONLY_TRANSFER_GATE,0.77,0.769792813532179,0.46091189980506897,100
OpenBMI_MI,17,S1,RANDOM_TRANSFER_GATE,0.77,0.769792813532179,0.4612683057785034,100
OpenBMI_MI,17,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.77,0.769792813532179,0.46075794100761414,100
OpenBMI_MI,18,S1,BASELINE,0.65,0.6496847162446202,0.6491414904594421,100
OpenBMI_MI,18,S1,P_ONLY_TRANSFER_GATE,0.65,0.6496847162446202,0.6494541764259338,100
OpenBMI_MI,18,S1,RANDOM_TRANSFER_GATE,0.65,0.6496847162446202,0.6491363048553467,100
OpenBMI_MI,18,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.65,0.6496847162446202,0.6496325731277466,100
OpenBMI_MI,24,S1,BASELINE,0.62,0.6100164203612479,0.7074960470199585,100
OpenBMI_MI,24,S1,P_ONLY_TRANSFER_GATE,0.62,0.6100164203612479,0.7075545787811279,100
OpenBMI_MI,24,S1,RANDOM_TRANSFER_GATE,0.62,0.6100164203612479,0.7079440355300903,100
OpenBMI_MI,24,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.62,0.6100164203612479,0.7071599364280701,100
OpenBMI_MI,25,S1,BASELINE,0.79,0.7851662404092072,0.4537980556488037,100
OpenBMI_MI,25,S1,P_ONLY_TRANSFER_GATE,0.79,0.7851662404092072,0.45339882373809814,100
OpenBMI_MI,25,S1,RANDOM_TRANSFER_GATE,0.79,0.7851662404092072,0.45363277196884155,100
OpenBMI_MI,25,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.79,0.7851662404092072,0.4536232352256775,100
OpenBMI_MI,29,S1,BASELINE,0.5700000000000001,0.5664885573142454,0.8159250020980835,100
OpenBMI_MI,29,S1,P_ONLY_TRANSFER_GATE,0.5700000000000001,0.5664885573142454,0.8163043856620789,100
OpenBMI_MI,29,S1,RANDOM_TRANSFER_GATE,0.5700000000000001,0.5664885573142454,0.816026508808136,100
OpenBMI_MI,29,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.5700000000000001,0.5664885573142454,0.8167324662208557,100
OpenBMI_MI,36,S1,BASELINE,0.91,0.90999099909991,0.35879868268966675,100
OpenBMI_MI,36,S1,P_ONLY_TRANSFER_GATE,0.91,0.90999099909991,0.3586329221725464,100
OpenBMI_MI,36,S1,RANDOM_TRANSFER_GATE,0.91,0.90999099909991,0.3588876724243164,100
OpenBMI_MI,36,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.91,0.90999099909991,0.3587748408317566,100
OpenBMI_MI,37,S1,BASELINE,0.63,0.6296667000300271,0.7239886522293091,100
OpenBMI_MI,37,S1,P_ONLY_TRANSFER_GATE,0.63,0.6296667000300271,0.7239177823066711,100
OpenBMI_MI,37,S1,RANDOM_TRANSFER_GATE,0.63,0.6296667000300271,0.7239731550216675,100
OpenBMI_MI,37,S1,PROTECTED_NATIVE_TRANSFER_GATE,0.63,0.6296667000300271,0.7234563231468201,100
OpenBMI_MI,39,S1,BASELINE,0.8,0.7987117552334944,0.45530444383621216,100
