task,variant,subjects,primary_session,BA,macro_F1,worst_session_BA,NLL
OpenBMI_MI,BASELINE,14,S2,0.7114285714285715,0.7070341530180103,0.6807142857142857,0.6204518015895572
OpenBMI_MI,P_ONLY_TRANSFER_GATE,14,S2,0.7114285714285715,0.7070382986906809,0.6814285714285714,0.6205365929220404
OpenBMI_MI,RANDOM_TRANSFER_GATE,14,S2,0.7121428571428572,0.7077466528394211,0.6807142857142857,0.6204822773912123
OpenBMI_MI,PROTECTED_NATIVE_TRANSFER_GATE,14,S2,0.7121428571428572,0.7077545131692716,0.6814285714285714,0.6205345668963024
OpenBMI_ERP,BASELINE,14,S2,0.8644805194805195,0.824000661817416,0.8307126580716636,0.26806578252996716
OpenBMI_ERP,P_ONLY_TRANSFER_GATE,14,S2,0.8641125541125543,0.8251213691684169,0.8311239659875197,0.26530539244413376
OpenBMI_ERP,RANDOM_TRANSFER_GATE,14,S2,0.8636580086580087,0.8248831032974276,0.8303447452082988,0.2654358537069389
OpenBMI_ERP,PROTECTED_NATIVE_TRANSFER_GATE,14,S2,0.8641558441558441,0.8257188311361562,0.8308425938322844,0.264040191258703
OpenBMI_SSVEP,BASELINE,14,S2,0.9199999999999999,0.9189599493200945,0.9042857142857142,0.3042569781287706
OpenBMI_SSVEP,P_ONLY_TRANSFER_GATE,14,S2,0.9199999999999999,0.9189599493200945,0.9042857142857142,0.3041317954755089
OpenBMI_SSVEP,RANDOM_TRANSFER_GATE,14,S2,0.9199999999999999,0.9189599493200945,0.9042857142857142,0.304291593391099
OpenBMI_SSVEP,PROTECTED_NATIVE_TRANSFER_GATE,14,S2,0.9200000000000002,0.9190683457970297,0.9035714285714286,0.3039945785567397
WBCIC_MI,BASELINE,10,S2,0.7905,0.7760732219806268,0.7115,0.5847154498100281
WBCIC_MI,P_ONLY_TRANSFER_GATE,10,S2,0.7905,0.7760732219806268,0.7105,0.5840092658996582
WBCIC_MI,RANDOM_TRANSFER_GATE,10,S2,0.791,0.7766818020863633,0.7115,0.5846849203109741
WBCIC_MI,PROTECTED_NATIVE_TRANSFER_GATE,10,S2,0.7915,0.7771845228202083,0.712,0.5839175939559936
