task,fold,session,variant,dimension,mean_gate,std_gate,Pr_gate_lt_0p9,Pr_gate_gt_1p1,label
OpenBMI_MI,0,S2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.9894285202026367,0.027802184224128723,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PROTECTED_NATIVE_TRANSFER_GATE,2,0.9974331259727478,0.011563128791749477,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9907358288764954,0.026927532628178596,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PROTECTED_NATIVE_TRANSFER_GATE,4,0.9886994361877441,0.017882904037833214,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,0,S2,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9915741086006165,0.022568168118596077,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,0,0.9787337779998779,0.029872501268982887,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,1,0.9724404215812683,0.028900660574436188,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,2,1.0111793279647827,0.01477125845849514,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,3,0.9874487519264221,0.023630008101463318,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,4,0.9901919960975647,0.010409697890281677,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,5,1.0157948732376099,0.019136177375912666,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,P_ONLY_TRANSFER_GATE,ALL,0.9926314949989319,0.027364635840058327,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,0,1.0002508163452148,0.0018191976705566049,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,1,1.000251293182373,0.0013241104315966368,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,2,1.0003066062927246,0.0011283077765256166,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,3,0.9996510744094849,0.0009456964326091111,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,4,0.999690055847168,0.000674768234603107,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,5,0.9998356699943542,0.00040261633694171906,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,RANDOM_TRANSFER_GATE,ALL,0.9999975562095642,0.0011770408600568771,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9839195609092712,0.023060554638504982,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,1,0.9833850264549255,0.019198134541511536,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,2,1.0074162483215332,0.011270485818386078,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9943239092826843,0.009454366751015186,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,4,0.9940585494041443,0.0082321772351861,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,5,1.0070205926895142,0.008628994226455688,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S1,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9950206875801086,0.01740056835114956,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,0,0.9825592637062073,0.028652546927332878,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,1,0.9755789041519165,0.02943355403840542,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,2,1.0102105140686035,0.01613978110253811,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,3,0.9904865622520447,0.021254612132906914,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,4,0.990104079246521,0.010990729555487633,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
