task,fold,variant,baseline_params,trainable_params,total_params,baseline_MACs_estimate,extra_MACs_estimate,total_MACs_estimate,extra_F0_forwards,full_F0_forwards,MAC_definition
OpenBMI_ERP,3,P_ONLY_TRANSFER_GATE,9586,64,9650,8223040,37120,8260160,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,3,RANDOM_TRANSFER_GATE,9586,96,9682,8223040,37152,8260192,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,3,PROTECTED_NATIVE_TRANSFER_GATE,9586,96,9682,8223040,37152,8260192,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,4,BASELINE,9586,0,9586,8223040,0,8223040,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,4,P_ONLY_TRANSFER_GATE,9586,64,9650,8223040,37120,8260160,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,4,RANDOM_TRANSFER_GATE,9586,96,9682,8223040,37152,8260192,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,4,PROTECTED_NATIVE_TRANSFER_GATE,9586,96,9682,8223040,37152,8260192,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,0,BASELINE,34292,0,34292,32896000,0,32896000,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,0,P_ONLY_TRANSFER_GATE,34292,64,34356,32896000,150016,33046016,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,0,RANDOM_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,0,PROTECTED_NATIVE_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,1,BASELINE,34292,0,34292,32896000,0,32896000,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,1,P_ONLY_TRANSFER_GATE,34292,128,34420,32896000,172032,33068032,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,1,RANDOM_TRANSFER_GATE,34292,192,34484,32896000,172096,33068096,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,1,PROTECTED_NATIVE_TRANSFER_GATE,34292,192,34484,32896000,172096,33068096,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,2,BASELINE,34292,0,34292,32896000,0,32896000,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,2,P_ONLY_TRANSFER_GATE,34292,64,34356,32896000,150016,33046016,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,2,RANDOM_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,2,PROTECTED_NATIVE_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,3,BASELINE,34292,0,34292,32896000,0,32896000,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,3,P_ONLY_TRANSFER_GATE,34292,128,34420,32896000,172032,33068032,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,3,RANDOM_TRANSFER_GATE,34292,192,34484,32896000,172096,33068096,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,3,PROTECTED_NATIVE_TRANSFER_GATE,34292,192,34484,32896000,172096,33068096,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,4,BASELINE,34292,0,34292,32896000,0,32896000,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,4,P_ONLY_TRANSFER_GATE,34292,64,34356,32896000,150016,33046016,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,4,RANDOM_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_SSVEP,4,PROTECTED_NATIVE_TRANSFER_GATE,34292,96,34388,32896000,150048,33046048,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,0,BASELINE,34098,0,34098,30783872,0,30783872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,0,P_ONLY_TRANSFER_GATE,34098,32,34130,30783872,139008,30922880,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,0,RANDOM_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,0,PROTECTED_NATIVE_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,1,BASELINE,34098,0,34098,30783872,0,30783872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,1,P_ONLY_TRANSFER_GATE,34098,32,34130,30783872,139008,30922880,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,1,RANDOM_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,1,PROTECTED_NATIVE_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,2,BASELINE,34098,0,34098,30783872,0,30783872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,2,P_ONLY_TRANSFER_GATE,34098,32,34130,30783872,139008,30922880,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,2,RANDOM_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,2,PROTECTED_NATIVE_TRANSFER_GATE,34098,48,34146,30783872,139024,30922896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,3,BASELINE,34098,0,34098,30783872,0,30783872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,3,P_ONLY_TRANSFER_GATE,34098,16,34114,30783872,133504,30917376,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,3,RANDOM_TRANSFER_GATE,34098,24,34122,30783872,133512,30917384,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,3,PROTECTED_NATIVE_TRANSFER_GATE,34098,24,34122,30783872,133512,30917384,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,4,BASELINE,34098,0,34098,30783872,0,30783872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,4,P_ONLY_TRANSFER_GATE,34098,16,34114,30783872,133504,30917376,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,4,RANDOM_TRANSFER_GATE,34098,24,34122,30783872,133512,30917384,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
WBCIC_MI,4,PROTECTED_NATIVE_TRANSFER_GATE,34098,24,34122,30783872,133512,30917384,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
