task,fold,stage,status,protected_rank,spatial_rank,successor_rank,canonical_basis_hash,train_data_hash,random_projector_hash,spatial_orth_error,successor_orth_error
OpenBMI_MI,0,discovery,COMPLETE,4,4,4,b2e1748418ebacd0aa8d0fcade9bc7fbd4424bded2a1b6e0ea79867f036f0e71,2b851cc181788ae3e29619ea462477291c4d2fa861692f4d0dfbc779586ad5f4,cf1e0a873b51eb85afd599bfaaf23466f2332f5a57d05bbd9b4eaede0325b8fc,2.384185791015625e-07,2.980232238769531e-07
OpenBMI_MI,0,refit,COMPLETE,5,5,5,ac8ac3745139b1d743436840bfabc6f93e07e8b089c5ddf4033eabb189e350b0,14fdef5b5ea04dd7a7e0261d315e68fb88cc9e3741e39cfdf035c2d8239d736e,4d4ca62e8ed423ac12819d28db0bf3ce7ed44b80b5db3e45c745722c8809fec2,1.1920928955078125e-07,4.76837158203125e-07
OpenBMI_MI,1,discovery,COMPLETE,3,3,3,ae2a3d6efff9f71a01a8783ca1b72d3c975addec83f6aa7c9988e999452c8cb3,02a83ed57274e56fcf902cc6063902a0623f4e42ca99d64869b98eeb6ee1a5d3,9d107965e824ecd91d2f06cec18fc4d5129393d1eb23698c8a5cc385c060d82b,5.960464477539063e-08,2.384185791015625e-07
OpenBMI_MI,1,refit,COMPLETE,6,6,6,b857e430a49aab3eeb511c4b44bf9017f890dd9e8e6693b6481a8c9dec06c631,4e9566d222a642c42b3272834c2d37ae51f5c02d1e82d43eabc43bfa574a9eb5,1982e95f44e905138cf0dcdffdf8a34b5e8929cb18456352b541d9141194cd21,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_MI,2,discovery,COMPLETE,4,4,4,dc740de5b9f1bae81614b1aa5079313a04d02c23a15a5e90b2bc40ced3e8a94e,268db7951a3575884e8667cb7d7330b27ec01dc1c739d2f8d1e3f7423d5062c1,9b6bb92b891c1f128bd18c52f0a0e9d1631be2eee5d41e978c828cb29fd63f44,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_MI,2,refit,COMPLETE,4,4,4,da1b89ef8a8eda3e1b8c5668cbfa6b923b53f7c0457e388bd4dac5568d337e5a,324ee820e909b52461991698e2fec38a1fcf49531e040b4a62f3fc9a062898d6,257830b490df3628d5ef44811a2e89d65e2921cbc6d343386440577ae20b2756,2.384185791015625e-07,2.384185791015625e-07
OpenBMI_MI,3,discovery,COMPLETE,8,8,8,b142718f5020679e95f6753ab85b19102fa57d4117b29bc79a245f4f265d14ae,3dcc021d6150583a741c73d3f569560d04626bf06f96613bd6e2c9ab759fdda7,0d5721ac14d4c434ed84972401e541e06765bf6bfc7aeccca662bdf4c6af8222,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_MI,3,refit,COMPLETE,4,4,4,cf4d3788d9b105f286f606151d7cdb4882b75a9a388562eb49507d88fa7f581e,82d33960ae8d7f4cf5183944db080b8f228c46e535259454c16b0812a4ebfd78,f959dc2f1b7524cbe9c4effb95d2c3fc2b79b9da7f291848c235ed180181ad2f,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_MI,4,discovery,COMPLETE,5,5,5,631f870264318410cfbb70dd34a8ca6af6213654a4a38e12f3a075c7395473e1,ad2c50d16315775fd1f219c1b7412eb276807646a6b663a9af38eabb7fa0e01e,0585b7176ba0755686105f8ea9b5f8033c7a51ad0d478815f23b61e6e553d290,2.384185791015625e-07,2.384185791015625e-07
OpenBMI_MI,4,refit,COMPLETE,4,4,4,0b58c742d5047578ce01d60247f287f7dd3fd22ff5694dc6ce6dd4218001b7f7,c9074207c04309f83e6e1af197e8344c0cad8d595ff088508450afda36f906d0,f4eb3c614b91977959d67ccff026725c74c59b852a8bc5de4e413b188421ff10,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_ERP,0,discovery,COMPLETE,6,6,6,f0404fcd8d17e897614d30cf97c76e22c409197dafff285bcbb7fa028f5996bf,306adc90c71f9bdc51f6982df4e37ee3768e68141c83a5c66b6eb448c07e4045,1adb0338d7deb7ecbe5676b1d1d682bb547e233cca1f7fda52b86b51d9374367,2.384185791015625e-07,1.7881393432617188e-07
OpenBMI_ERP,0,refit,COMPLETE,9,9,9,ef609b005e743e40f6bf81b08d1a8bd46bb2c9753e5c6cce190b4be410a789cc,f6ef94cbc7376c9b9f31a067028619eb9df18ea4bc630b6e02d1dafad60bff56,60d0de444ff9fd3c7331fac1155e7f538376bf774f47e1bd424c7164af6c73ea,3.5762786865234375e-07,1.1920928955078125e-07
OpenBMI_ERP,1,discovery,COMPLETE,9,9,9,06798d014f7c6ba814c9fc918338cec55a5900912face500d5266c514ce81279,69319babb52994b136119cf1b113cdf43989a14fe05585b558eaf007d40eec9e,cf22aec942522e14a40815232f859ae51537e78c6430a07c907c53077e64521c,2.384185791015625e-07,3.5762786865234375e-07
