task,fold,variant,selected_epoch,BA,macro_F1,NLL,checkpoint_sha256
OpenBMI_ERP,2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.8001010101010101,0.7642976224998366,0.35654328763484955,0b4b2a75e4e95bc09340e021a004efe094e96745c2896d7d989a76f3fe08209b
OpenBMI_ERP,3,BASELINE,0,0.8409090909090909,0.8019607299728242,0.2989148149887721,
OpenBMI_ERP,3,P_ONLY_TRANSFER_GATE,13,0.8420707070707071,0.8020657872313356,0.2999277015527089,e576cd45be0726c7962182d965acb303d9716a0810d143f0523c5110c4eba18b
OpenBMI_ERP,3,RANDOM_TRANSFER_GATE,1,0.841060606060606,0.8019336303757164,0.2992652878165245,9918e8f4013f193305134ed17900b4186cbece8d34e753e77a936f83dfdf549f
OpenBMI_ERP,3,PROTECTED_NATIVE_TRANSFER_GATE,20,0.8418686868686867,0.8023453544095336,0.2987369919816653,ef776f3e11e512007a5e09b4fffa6871503b173ded270a3d51a90f83c7f7a557
OpenBMI_ERP,4,BASELINE,0,0.842070707070707,0.8011507198159077,0.3011721335351467,
OpenBMI_ERP,4,P_ONLY_TRANSFER_GATE,2,0.8417171717171716,0.8020654215534848,0.298885565251112,404d919a622aac9c5e1f97c97848a402552e031ec0bcc4e43d36c52d46e4281c
OpenBMI_ERP,4,RANDOM_TRANSFER_GATE,7,0.8425252525252526,0.8036863571167815,0.296915628015995,ed2d093833e768821adc7fe21dbd26d491ddffdd45822e445750a889c5714309
OpenBMI_ERP,4,PROTECTED_NATIVE_TRANSFER_GATE,2,0.8418181818181818,0.8035487528716546,0.2957606079677741,8ea607d77f50f79cbdcca69c645f4679d15af05c37464e0df611a75ae4fe13a5
OpenBMI_SSVEP,0,BASELINE,0,0.965,0.9646271651265382,0.15318942784021297,
OpenBMI_SSVEP,0,P_ONLY_TRANSFER_GATE,1,0.965,0.9646271651265382,0.15319847843299308,97998e3f084ab6cac17013d73ba9d0107d11f06396f606bdfea84aecfd0d9862
OpenBMI_SSVEP,0,RANDOM_TRANSFER_GATE,9,0.965,0.9646271651265382,0.15318609432627758,f88c8823a02f5e6c4d5488d1694b5e0f8183a4e6ed82bd1829be216075e92391
OpenBMI_SSVEP,0,PROTECTED_NATIVE_TRANSFER_GATE,1,0.965,0.9646271651265382,0.1531892530620098,ae1163edbacc962d877c71f2eeed546a40cc47f7fe56e50750b9a9b1ec91332f
OpenBMI_SSVEP,1,BASELINE,0,0.9033333333333333,0.8979378458010898,0.3412035437456022,
OpenBMI_SSVEP,1,P_ONLY_TRANSFER_GATE,4,0.9049999999999999,0.8996537063107509,0.34111906471662223,acf7aaaad650a1eac3c1d7daaaf59c108fc1e64be14965531601731473e266fc
OpenBMI_SSVEP,1,RANDOM_TRANSFER_GATE,11,0.9049999999999999,0.8996537063107509,0.3413009340098749,843502fb1bd8b3187f08c7e63f98f3adbfe09810f0116cea8e288283dbeaec5a
OpenBMI_SSVEP,1,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9033333333333333,0.8979378458010898,0.34120948798954487,fd067b46486d091eb42841b2135e0eb684b428d24814b46074c211964d423cb2
OpenBMI_SSVEP,2,BASELINE,0,0.935,0.9349459978242067,0.2273184104512135,
OpenBMI_SSVEP,2,P_ONLY_TRANSFER_GATE,1,0.935,0.9349459978242067,0.22734390765738985,57d5c14b3e6375ec8322e498f75c6c600c62f2f342d08ed3ae0b19c2e98628d2
OpenBMI_SSVEP,2,RANDOM_TRANSFER_GATE,1,0.935,0.9349459978242067,0.2273205443440626,1cd93813394a303d23425b2e7bade6414fbd3f77ce81ca052d99496b78af6ca4
OpenBMI_SSVEP,2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.935,0.9349459978242067,0.22732451589157185,6871cdd7fce5594b05628dcab6387891277f11bdd76b1c4848363927e42094f4
OpenBMI_SSVEP,3,BASELINE,0,0.8683333333333333,0.859961114822411,0.5102174942730926,
OpenBMI_SSVEP,3,P_ONLY_TRANSFER_GATE,17,0.8683333333333333,0.859961114822411,0.5060178898468924,171a1c31152c0b87088205ac6e0845aa1afe6123375ac23c246cf5984105a15f
OpenBMI_SSVEP,3,RANDOM_TRANSFER_GATE,1,0.8683333333333333,0.859961114822411,0.5102220053280083,a8130091b37daf2bab05b4c812819e95cc17eb3c58a931a2d453103b666cab5e
OpenBMI_SSVEP,3,PROTECTED_NATIVE_TRANSFER_GATE,20,0.8683333333333333,0.859961114822411,0.5089026820108605,8bb198750a6b6a733a8a33ec80052a685bf1c7c0aeabd7929bdf2d0b5a784753
OpenBMI_SSVEP,4,BASELINE,0,0.9049999999999999,0.9001988174254661,0.29780071911712486,
